book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Protrusion_Area,DTW_Shape,DTW_Time,Total_Sales
15の愛情物語_original,1.0659854,1.8686669,18.934263,68.22307,50.600246,45.919193,0.84375,12.04059,13.63678380945098,2.4939759036144578,79.0
171.T'beau7_original,2.843003,3.5207202,60.765953,181.9522,99.96148,114.22654,0.59375,47.571564,27.19485898616297,22.160714285714285,316.0
2024J1_J2J3選手名鑑original,0.03692922,0.12999454,0.85280347,2.36347,68.29353,23.836601,1.0,0.0,1.01973159740549,1.4864864864864864,1.0
2024プロ野球オール写真_名鑑,0.008645263,0.0111692995,0.38042748,0.5532968,91.53166,30.821795,0.96875,0.009032071,0.0893543934592327,0.0,0.0
20代で得た知見_original,0.97126925,1.2369462,17.827705,62.161232,33.571796,37.853577,0.71875,6.682517,9.084847770738172,7.863157894736842,81.0
3分クッキング_original,5.664106,7.7854066,118.11179,362.50278,266.96094,249.19183,0.59375,128.02222,48.86181315760979,3.9456521739130435,742.0
47都道府県_女ひとりで行ってみよう,0.63649154,0.8034414,9.17875,40.73546,24.244986,24.719732,0.9375,2.6001906,6.231302379828864,1.267605633802817,38.0
52ヘルツのクジラたち_original,1.0410521,1.4561559,23.469784,66.627335,41.662968,43.92003,0.796875,13.076279,10.564581329617958,6.219512195121951,109.0
63.3年卓上日誌_original,3.235168,4.383158,56.317772,207.05075,159.2409,140.86981,0.484375,76.29587,34.890592406378104,10.896907216494846,278.0
70歳からのスマホの使いこなし術_original,3.9017954,5.373214,93.426254,249.7149,135.47437,159.53851,0.8125,40.603024,37.442157234467885,12.669724770642201,560.0
80パターン_英語が止まらない！,0.9165068,1.2378635,17.19667,58.656437,34.09823,36.650444,0.609375,7.886938,9.729683589795137,2.7142857142857144,82.0
87歳現役トレーダーシゲルさんの教え_original,0.49229157,0.6970659,5.603987,31.50666,28.599213,21.903288,0.71875,1.2279737,5.477745705662942,6.425,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.6154189,2.4936783,38.127903,103.38681,67.972115,69.82894,0.84375,24.371168,18.308497812483136,3.588888888888889,161.0
AIRLINE_original,1.5468936,2.4479573,26.733103,99.00119,74.400665,66.71165,0.703125,32.463844,17.29966831458409,5.091836734693878,128.0
B.L.T._original,1.0660203,1.7218755,21.881205,68.225296,56.38626,48.83092,0.96875,0.042937636,12.463579072800643,1.486842105263158,103.0
BE-PAL_original,5.4790263,11.502668,114.79092,350.65768,226.9222,230.79027,0.8125,79.25275,89.19874494569328,3.5161290322580645,563.0
BEGIN_original,1.5301105,2.3996084,24.339956,97.92707,52.59771,58.28825,0.828125,12.325714,18.105456038268663,1.632183908045977,126.0
CAPA_original,1.4770288,2.4784203,26.509779,94.52985,52.935307,57.991642,0.75,18.454294,18.199230698036416,4.677083333333333,120.0
CARandDRIVER_original,0.79483795,1.4652679,13.705521,50.86963,35.931694,33.50228,0.796875,8.606962,10.804179200327843,3.0470588235294116,59.0
CARトップ_original,1.6091793,2.730474,33.965393,102.98747,54.03646,63.663105,0.78125,10.348151,19.98391960062395,3.552941176470588,147.0
CQハムラジオ_original,0.39994806,0.7179982,4.4075317,25.596676,44.479076,24.82776,1.0,0.0,5.7439860016957125,0.0,0.0
Cut_original,0.9301093,2.6260283,20.65802,59.526997,55.287724,45.157578,0.96875,12.1426735,20.462395010032285,1.7972972972972974,72.0
Cuugal_original,1.2968822,2.7966886,22.708242,83.00046,57.755207,54.487972,0.859375,9.459797,20.36502737785905,4.47,90.0
ESSE_original,6.16759,9.337573,125.96817,394.72577,190.21129,236.96843,0.734375,85.45842,61.20383051073308,6.347368421052631,662.0
EX大衆_original,1.5857556,4.1342864,28.136517,101.48836,80.95906,70.19465,0.890625,29.967983,31.678802808494265,2.744186046511628,138.0
FINEBOYS_original,1.6363263,2.445215,25.126717,104.724884,76.720345,68.85731,0.90625,5.2545853,14.90081643548701,2.5591397849462365,120.0
FPの教科書_3級,1.1268406,1.5455805,27.624874,72.1178,39.571926,46.4382,0.859375,8.01589,11.258614818291932,2.4634146341463414,131.0
G-works_original,0.8390862,1.4615902,17.142202,53.701515,34.850784,35.231503,0.875,6.183947,10.622312812094691,3.32183908045977,72.0
GIANKILLING_original,0.92931914,1.344031,19.15201,59.476425,45.142754,41.25706,1.0,0.0,9.987340046497268,11.377358490566039,60.0
GIAN_KILLINGoriginal,9.008765,21.50997,115.83281,576.561,722.9934,471.79575,0.71875,373.09406,172.00056285940866,24.23076923076923,577.0
GINZA_original,1.0463268,1.6253728,22.359268,66.96491,36.310417,41.8782,0.90625,4.097085,12.063951199655055,2.0602409638554215,95.0
