book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,DTW_Shape,DTW_Time,Total_Sales
15の愛情物語_original,1.4357994,2.1818888,38.382435,91.89116,70.90402,67.059204,0.953125,17.455111678652855,0.0,79.0
171.T'beau7_original,3.4306617,4.1958475,77.034004,219.56235,178.4868,158.36104,0.40625,30.132891200717875,21.428571428571427,316.0
2024J1_J2J3選手名鑑original,0.015625,0.125,111.862755,1.0,111.46275,74.77517,1.0,1.0,0.0,1.0
2024プロ野球オール写真_名鑑,1.2235005,1.2535777,51.15939,78.30403,82.481,70.64814,1.0,10.028621455423862,0.0,0.0
20代で得た知見_original,0.960814,1.2245849,18.726316,61.492096,33.313347,37.84392,0.875,9.538459957812123,14.655555555555555,81.0
3分クッキング_original,6.1429033,8.602396,129.70578,393.1458,336.838,286.5632,0.625,67.56299320753806,16.863247863247864,742.0
47都道府県_女ひとりで行ってみよう,0.65102655,0.80469376,24.640476,41.6657,26.643742,30.983307,0.953125,5.841553634348057,3.1375,38.0
52ヘルツのクジラたち_original,1.0078807,1.4727085,78.91324,64.504364,64.72128,69.37963,0.984375,10.147979223868976,1.0975609756097562,109.0
63.3年卓上日誌_original,3.7178025,4.8610706,72.95878,237.93936,228.47824,179.79211,0.40625,37.36840207391345,4.41,278.0
70歳からのスマホの使いこなし術_original,3.6541986,5.20182,84.83505,233.86871,168.53154,162.41176,0.71875,37.71188426390824,27.521008403361346,560.0
80パターン_英語が止まらない！,1.0048816,1.2467794,18.260683,64.31242,34.287685,38.953598,0.84375,9.974235678920675,0.0,82.0
87歳現役トレーダーシゲルさんの教え_original,0.6511101,0.76550335,21.64416,41.671047,32.36284,31.892683,0.984375,5.28737300251704,15.571428571428571,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.5403342,2.1789389,47.0718,98.58139,64.17297,69.942055,0.921875,15.292621063193051,0.8157894736842105,161.0
AIRLINE_original,1.6884999,2.504861,43.57933,108.063995,78.10906,76.58413,0.78125,19.870683260347445,18.47,128.0
B.L.T._original,1.7898979,2.5427895,57.440586,114.55347,88.9095,86.96786,0.9375,20.17201815360452,0.09090909090909091,103.0
BE-PAL_original,8.45528,15.02521,237.90292,541.13794,489.1324,422.72446,0.90625,119.72561585066572,1.5774647887323943,563.0
BEGIN_original,2.1286526,3.0016859,48.94416,136.23376,97.75139,94.30978,0.890625,23.790895914371724,22.853211009174313,126.0
CAPA_original,1.7052717,2.9035273,53.77318,109.13739,94.1891,85.69989,0.859375,22.297876175144676,19.51923076923077,120.0
CARandDRIVER_original,1.0290318,1.7375546,35.716606,65.85803,60.746216,54.106953,0.953125,13.891801992907585,27.73109243697479,59.0
CARトップ_original,2.079134,3.5609226,66.860825,133.06458,119.666885,106.53076,0.9375,26.98753020750284,23.241071428571427,147.0
CQハムラジオ_original,1.6865947,1.6910124,39.85688,107.94206,83.03371,76.94422,1.0,13.528099524129921,0.0,0.0
Cut_original,1.6788085,2.9438438,60.179264,107.44374,99.84367,89.155556,0.9375,23.318684599198164,11.39240506329114,72.0
Cuugal_original,1.848681,3.5366333,73.16429,118.31558,126.2805,105.92013,0.953125,28.16382855442306,1.4788732394366197,90.0
ESSE_original,6.3066864,10.751527,170.39267,403.62793,339.83334,304.618,0.8125,86.01221219235829,0.0,662.0
EX大衆_original,2.2359867,4.7478504,60.637516,143.10315,135.28601,113.00889,0.875,37.96821216715912,2.3636363636363638,138.0
FINEBOYS_original,2.9370272,3.4682355,111.00834,187.96974,166.13182,155.03664,0.984375,25.364899832915757,15.902912621359222,120.0
FPの教科書_3級,1.1652505,1.5382138,30.737432,74.576035,41.189796,48.834423,0.765625,11.009169548608225,17.07,131.0
G-works_original,1.1747128,1.8094248,37.138145,75.18162,58.669823,56.996532,0.90625,14.467431409725783,7.270588235294118,72.0
GIANKILLING_original,3.0111167,3.1986153,155.6333,192.71147,232.71788,193.68756,1.0,17.42574034735515,26.34453781512605,60.0
GIAN_KILLINGoriginal,9.015625,21.51562,115.399994,577.0,1038.6,577.0,0.359375,172.12495461146824,0.0,577.0
GINZA_original,1.6599711,2.2241635,46.895866,106.23815,76.67559,76.6032,0.953125,16.75449787144018,22.563636363636363,95.0
Gファンタジー_original,2.9377089,4.985846,99.80684,188.01337,174.99698,154.27238,0.9375,39.88677018160561,0.0,165.0
J-Wings_original,1.6246822,2.8354769,40.996582,103.97966,89.99528,78.323845,0.859375,22.493409770872457,6.5,105.0
JOOJ_original,5.8125,20.248457,74.4,372.0,669.6,372.0,0.78125,161.9876538505327,0.0,372.0
JOUU_ジュール,1.5684662,2.583412,47.383205,100.381836,91.958786,79.90794,0.9375,20.667296301477453,0.0,83.0
JR時刻表_original,2.3767297,2.6464226,83.10679,152.1107,131.00853,122.07534,1.0,16.77882790853068,25.07758620689655,121.0
JTB_小さな時刻表,2.0854864,3.0108566,131.65338,133.47113,101.528465,122.21766,0.96875,24.072605569018123,0.5230769230769231,184.0
JTB時刻表_original,2.9481664,3.5647054,83.584656,188.68265,142.76917,138.34549,0.96875,26.139715547662902,27.433333333333334,185.0
KINGダム_original,45.659054,95.25369,1314.3485,2922.1794,3090.0344,2442.1875,0.875,758.274047509049,15.145631067961165,2729.0
Kiss_original,3.3786771,6.147823,101.20213,216.23534,199.66331,172.36693,0.921875,49.18130693744982,0.24615384615384617,167.0
LDK_original,3.2987022,4.751694,83.34896,211.11694,136.2276,143.5645,0.84375,36.29080240693131,13.191919191919192,374.0
LEE_original,10.850683,22.661995,252.44986,694.4437,727.67664,558.19006,0.796875,181.15036678645816,14.782608695652174,779.0
MIX_original,2.1511104,2.229352,146.82004,137.67107,201.88846,162.12651,1.0,12.614541802834237,27.793388429752067,22.0
MOE_original,4.5656633,9.93417,88.264496,292.20245,291.64108,224.03601,0.8125,79.47335697857325,0.0,338.0
MONOQLO_monocro,1.9832146,2.7311685,47.024834,126.925735,80.44658,84.79905,0.859375,21.63275847654328,16.485148514851485,197.0
Myojo_ちっこいMyojo,4.0718975,7.5682716,281.14673,260.60144,295.91833,279.22217,0.96875,58.42845321150289,18.17391304347826,259.0
NHK_きょうの健康,5.604394,6.6818624,103.32756,358.6812,187.76382,216.59087,0.84375,52.20832769035864,22.94392523364486,629.0
NHK_しあわせ気分のフランス語,1.7780001,2.455879,38.882744,113.79201,82.95357,78.54277,0.796875,18.956400001795775,25.196581196581196,137.0
NHK_すてきにハンドメイド,5.2414427,7.115043,124.58869,335.45233,212.49423,224.17842,0.890625,56.9031218781575,2.289473684210526,596.0
NHK_ハングル講座書いてマスター！,1.4673471,1.661047,18.073654,93.91022,53.106216,55.03003,0.984375,12.35577983317461,27.322314049586776,39.0
NHK_俳句,2.4980774,3.6768153,64.90456,159.87695,119.34208,114.70786,0.96875,28.262950628902704,24.618181818181817,140.0
NHK_短歌,0.86095405,1.1822981,28.245247,55.10106,42.69285,42.01305,0.984375,8.804287886736272,22.38738738738739,51.0
NHKテキスト_囲碁講座,1.8542109,1.9314138,20.88399,118.669495,68.35179,69.30176,1.0,13.114516799712327,25.88235294117647,18.0
NHKテレビハングルッ！_ナビ,2.9883952,3.6161346,44.672108,191.2573,109.15254,115.02731,0.96875,27.065310055247817,24.49122807017544,208.0
NHKテレビ中国語！_ナビ,2.7210536,3.5020912,44.39052,174.14743,112.251236,110.26306,0.890625,25.330919672138535,20.14018691588785,150.0
NHKラジオ_まいにちイタリア語,3.0616503,4.1669965,68.19838,195.94562,136.01605,133.38667,0.9375,33.32934331175673,0.2923076923076923,213.0
NHKラジオ_まいにちスペイン語,3.4925978,4.4489346,65.42734,223.52626,136.61649,141.8567,0.890625,35.59147709838465,0.0,199.0
NHKラジオ_まいにちドイツ語,2.65807,3.3072793,59.110886,170.11649,103.09921,110.775536,0.921875,26.39509261334969,6.113924050632911,177.0
NHKラジオ_まいにちハングル講座,2.5105963,2.9119499,50.16017,160.67816,89.68187,100.1734,0.96875,23.278716697751847,5.265060240963855,182.0
NHKラジオ_まいにちフランス語,4.2049775,5.3324876,75.82076,269.11856,163.75595,169.5651,0.9375,42.65990089577367,0.0,290.0
NHKラジオ_まいにちロシア語,1.0985243,1.4862959,24.697033,70.30556,44.474766,46.49245,0.84375,10.819964629727554,19.94392523364486,67.0
