book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,1.1385882,2.0375767,22.433308,72.869644,54.039864,49.780933,0.765625,79.0
171.T'beau7_original,2.9905615,3.6991339,62.252098,191.39594,106.63623,120.09476,0.53125,316.0
2024J1_J2J3選手名鑑original,0.032961495,0.12793641,1.0266979,2.1095357,44.817787,15.9846735,1.0,1.0
2024プロ野球オール写真_名鑑,0.014939722,0.018217567,0.27139214,0.9561422,45.61933,15.6156225,1.0,0.0
20代で得た知見_original,0.9588901,1.2375075,17.830355,61.368965,32.74879,37.316036,0.71875,81.0
3分クッキング_original,5.803075,7.90884,114.48768,371.3968,300.2881,262.05753,0.546875,742.0
47都道府県_女ひとりで行ってみよう,0.647269,0.8049158,9.33535,41.425217,24.977566,25.246042,0.9375,38.0
52ヘルツのクジラたち_original,1.0382832,1.4622287,23.050909,66.45013,41.71544,43.738827,0.75,109.0
63.3年卓上日誌_original,3.2293391,4.3781295,55.305527,206.6777,143.11562,135.03294,0.53125,278.0
70歳からのスマホの使いこなし術_original,4.079733,5.8893642,106.97667,261.1029,137.4221,168.50056,0.828125,560.0
80パターン_英語が止まらない！,0.8985694,1.252021,16.651396,57.508442,34.50438,36.221405,0.75,82.0
87歳現役トレーダーシゲルさんの教え_original,0.49427342,0.7092802,6.786701,31.6335,26.921284,21.780495,0.375,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.7071218,2.6193376,35.80153,109.2558,73.53479,72.86404,0.796875,161.0
AIRLINE_original,1.6262457,2.5789335,28.425583,104.07973,90.05304,74.18612,0.65625,128.0
B.L.T._original,1.2436711,2.305816,21.297596,79.59495,65.4449,55.445816,0.9375,103.0
BE-PAL_original,5.6300626,13.08183,105.879326,360.324,318.72336,261.64224,0.78125,563.0
BEGIN_original,1.543472,2.5018086,26.527412,98.78221,67.928986,64.41287,0.640625,126.0
CAPA_original,1.5435363,2.6273189,27.872007,98.78632,67.283585,64.64731,0.765625,120.0
CARandDRIVER_original,0.8453421,1.579245,15.7097435,54.101894,41.95212,37.25459,0.8125,59.0
CARトップ_original,1.6654819,2.930695,33.6632,106.59084,71.118546,70.45753,0.875,147.0
CQハムラジオ_original,0.30631196,0.45379952,5.801055,19.603966,32.534103,19.313042,1.0,0.0
Cut_original,1.0523851,2.8102775,21.060528,67.352646,65.41352,51.275562,0.9375,72.0
Cuugal_original,1.3070421,3.0542738,24.187893,83.650696,71.29968,59.712757,0.875,90.0
ESSE_original,5.41214,9.339174,108.208,346.37695,206.76999,220.45166,0.78125,662.0
EX大衆_original,1.7313197,4.3374143,28.080074,110.80446,86.44606,75.1102,0.84375,138.0
FINEBOYS_original,1.6020969,2.490169,30.899298,102.5342,72.65254,68.69535,0.890625,120.0
FPの教科書_3級,1.1227846,1.5026922,26.468176,71.858215,38.31857,45.54832,0.8125,131.0
G-works_original,0.9032829,1.6734608,17.828995,57.810104,41.94909,39.196064,0.828125,72.0
GIANKILLING_original,0.8953416,1.1502473,16.578766,57.30186,54.749386,42.876675,1.0,60.0
GIAN_KILLINGoriginal,8.983002,21.494867,115.55072,574.9121,758.6062,483.02304,0.6875,577.0
GINZA_original,1.1536348,1.8941787,21.725025,73.83263,44.82113,46.792927,0.84375,95.0
Gファンタジー_original,2.1079245,4.5669055,39.24944,134.90717,112.21869,95.458435,0.8125,165.0
J-Wings_original,1.2953349,2.6433146,22.0629,82.901436,77.62354,60.86263,0.75,105.0
JOOJ_original,5.8250294,20.223385,74.596886,372.80188,488.5691,311.9893,0.703125,372.0
JOUU_ジュール,1.1681627,2.2445872,20.344135,74.76241,56.030994,50.37918,0.875,83.0
JR時刻表_original,1.3264724,1.7193305,29.854454,84.89423,47.015213,53.9213,0.8125,121.0
JTB_小さな時刻表,2.318314,3.3769057,38.790627,148.3721,103.07888,96.7472,0.703125,184.0
JTB時刻表_original,1.6217768,2.7954512,35.67119,103.79372,84.661705,74.70887,0.890625,185.0
KINGダム_original,39.217842,100.168434,555.2711,2509.942,3822.1592,2295.7908,0.765625,2729.0
Kiss_original,2.0440862,5.444454,38.445793,130.82152,134.15337,101.14022,0.90625,167.0
LDK_original,2.4791434,3.9828339,59.675705,158.66518,98.87375,105.73821,0.828125,374.0
LEE_original,10.722166,23.26012,159.55951,686.2186,851.1618,565.64667,0.578125,779.0
MIX_original,0.3753476,0.61172277,6.1469374,24.022247,15.720216,15.296467,0.953125,22.0
MOE_original,3.9585805,10.081284,70.05875,253.34915,288.8953,204.10107,0.703125,338.0
MONOQLO_monocro,1.7168659,2.5262058,36.64203,109.87942,63.929356,70.15027,0.75,197.0
Myojo_ちっこいMyojo,9.06192,9.924655,131.49548,579.9629,1304.1765,671.8783,0.421875,259.0
NHK_きょうの健康,4.131757,5.284548,97.66223,264.43243,119.60958,160.56808,0.734375,629.0
NHK_しあわせ気分のフランス語,1.7042972,2.20696,35.98335,109.07502,62.64169,69.23335,0.640625,137.0
NHK_すてきにハンドメイド,3.8773723,5.45803,96.53883,248.15182,128.14268,157.61113,0.78125,596.0
NHK_ハングル講座書いてマスター！,1.2635591,1.5967506,24.917587,80.86778,43.69291,49.82609,0.6875,39.0
NHK_俳句,1.2137995,2.849067,26.986816,77.68317,72.29591,58.988632,0.921875,140.0
NHK_短歌,0.65342987,1.0179944,12.104483,41.81951,26.476425,26.80014,0.890625,51.0
NHKテキスト_囲碁講座,1.6643589,2.234336,64.93098,106.51897,48.37222,73.274055,0.53125,18.0
NHKテレビハングルッ！_ナビ,1.7190306,2.69498,37.368145,110.01796,80.29166,75.892586,0.875,208.0
NHKテレビ中国語！_ナビ,1.6918728,2.7964556,35.378746,108.27986,72.69913,72.11924,0.703125,150.0
NHKラジオ_まいにちイタリア語,1.8036351,3.3131843,42.76825,115.43265,90.25529,82.818726,0.8125,213.0
NHKラジオ_まいにちスペイン語,2.170824,3.2602494,44.98793,138.93274,79.713104,87.87793,0.71875,199.0
NHKラジオ_まいにちドイツ語,1.8110285,2.4926777,40.822235,115.90582,55.30735,70.67847,0.765625,177.0
