book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,1.152307,2.1745255,16.586882,73.74765,69.28496,53.206497,0.8125,79.0
171.T'beau7_original,3.521918,4.313293,64.810165,225.40276,114.106155,134.77303,0.59375,316.0
2024J1_J2J3選手名鑑original,0.16621223,0.2072259,2.356733,10.637583,15.172575,9.388964,0.0,1.0
2024プロ野球オール写真_名鑑,0.17029959,0.17034502,2.401687,10.899174,1.1962738,4.832378,0.9375,0.0
20代で得た知見_original,0.9886305,1.213353,16.86542,63.27235,36.211853,38.783207,0.8125,81.0
3分クッキング_original,5.7938805,7.940792,120.99863,370.80835,234.93712,242.24803,0.71875,742.0
47都道府県_女ひとりで行ってみよう,0.69528437,0.83434534,10.6936245,44.4982,27.732243,27.641357,0.953125,38.0
52ヘルツのクジラたち_original,0.9595204,1.3593765,22.606522,61.409306,37.83499,40.61694,0.8125,109.0
63.3年卓上日誌_original,4.0208244,5.2395654,57.16916,257.33276,197.2699,170.5906,0.546875,278.0
70歳からのスマホの使いこなし術_original,4.1057568,6.1503954,111.08058,262.76843,161.67767,178.5089,0.828125,560.0
80パターン_英語が止まらない！,0.9458735,1.2345158,16.76817,60.535904,35.06589,37.456654,0.8125,82.0
87歳現役トレーダーシゲルさんの教え_original,0.562943,0.7020778,9.728044,36.02835,28.822063,24.859488,0.96875,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.5960593,2.4383233,32.52098,102.1478,66.26689,66.97855,0.828125,161.0
AIRLINE_original,1.8826754,2.8839016,26.050478,120.49123,85.857635,77.466446,0.734375,128.0
B.L.T._original,1.540739,2.659978,21.714382,98.6073,93.3309,71.21753,0.734375,103.0
BE-PAL_original,6.3779793,15.092102,99.93169,408.19067,445.7306,317.951,0.796875,563.0
BEGIN_original,1.8319818,2.974008,27.769644,117.24683,91.18952,78.73533,0.828125,126.0
CAPA_original,1.8177042,3.2991164,25.88264,116.33307,104.41485,82.21018,0.859375,120.0
CARandDRIVER_original,0.9701333,1.8926463,12.687642,62.08853,57.78797,44.18805,0.75,59.0
CARトップ_original,1.9148283,3.80596,32.381233,122.54901,123.358376,92.76287,0.71875,147.0
CQハムラジオ_original,0.19119848,0.19968024,1.8336391,12.236703,24.530388,12.86691,1.0,0.0
Cut_original,1.2398438,3.0441363,16.60985,79.350006,90.363495,62.107784,0.890625,72.0
Cuugal_original,1.4685984,3.7052922,19.192211,93.990295,118.078285,77.08694,0.421875,90.0
ESSE_original,6.648574,11.530211,115.646645,425.50873,391.49872,310.8847,0.703125,662.0
EX大衆_original,2.1262612,4.9798794,29.299236,136.08072,141.24283,102.2076,0.703125,138.0
FINEBOYS_original,1.5309556,2.8320935,24.95581,97.981155,89.81906,70.91868,0.859375,120.0
FPの教科書_3級,1.0629532,1.4254506,26.034584,68.02901,43.8465,45.97003,0.890625,131.0
G-works_original,1.142751,1.9845709,15.556738,73.13606,60.573135,49.75531,0.859375,72.0
GIANKILLING_original,0.8828866,1.134579,17.716967,56.50474,48.362366,40.86136,1.0,60.0
GIAN_KILLINGoriginal,9.498358,21.6888,122.03146,607.8949,397363.5,132697.81,1.0,577.0
GINZA_original,1.3927557,2.322375,20.059984,89.13637,70.492195,59.89618,0.796875,95.0
Gファンタジー_original,2.551173,5.3211827,36.14298,163.27507,165.37003,121.59603,0.796875,165.0
J-Wings_original,1.499054,2.9583821,22.410763,95.93945,79.00924,65.78649,0.859375,105.0
JOOJ_original,5.7555623,20.125969,81.03146,368.356,397404.5,132617.95,1.0,372.0
JOUU_ジュール,1.2544894,2.747641,18.68736,80.28732,87.16507,62.046585,0.828125,83.0
JR時刻表_original,1.5839715,1.9330392,32.39659,101.374176,64.95835,66.24304,0.6875,121.0
JTB_小さな時刻表,2.1918683,2.8953056,42.0713,140.27957,81.23431,87.861725,0.875,184.0
JTB時刻表_original,2.0169368,2.940665,41.690113,129.08395,94.58028,88.45145,0.8125,185.0
KINGダム_original,39.253998,99.22592,536.7042,2512.2559,3787.8577,2278.9392,0.703125,2729.0
Kiss_original,2.5917907,6.474581,34.645424,165.8746,190.9628,130.49428,0.71875,167.0
LDK_original,2.499281,4.384563,61.297752,159.95398,120.24272,113.83148,0.828125,374.0
LEE_original,11.50124,23.521841,160.61726,736.07935,963.76685,620.1545,0.390625,779.0
MIX_original,0.42162666,0.5820459,6.4596043,26.984106,20.757517,18.067076,0.96875,22.0
MOE_original,4.3846703,10.057938,68.22171,280.6189,289.15503,212.6652,0.6875,338.0
MONOQLO_monocro,1.8255364,2.5641992,37.58748,116.83433,73.15474,75.85885,0.890625,197.0
Myojo_ちっこいMyojo,3.799747,8.019874,55.98855,243.1838,263.92227,187.6982,0.59375,259.0
NHK_きょうの健康,5.481081,6.6325984,112.932,350.78918,175.62419,213.11513,0.6875,629.0
NHK_しあわせ気分のフランス語,1.9165082,2.433529,30.188845,122.656525,71.3882,74.74452,0.796875,137.0
NHK_すてきにハンドメイド,6.3791256,8.280189,122.59834,408.26404,239.73212,256.86484,0.78125,596.0
NHK_ハングル講座書いてマスター！,1.390219,1.6076614,11.333294,88.974014,58.291187,52.866165,0.953125,39.0
NHK_俳句,1.8430693,3.6585095,29.668293,117.956436,105.78648,84.470406,0.875,140.0
NHK_短歌,0.7605016,1.1944708,11.262205,48.672104,37.724075,32.552795,0.984375,51.0
NHKテキスト_囲碁講座,1.7742798,2.1320581,42.778564,113.55391,65.47082,73.934425,0.515625,18.0
NHKテレビハングルッ！_ナビ,2.1944788,3.0407887,41.997314,140.44664,96.62033,93.02142,0.8125,208.0
NHKテレビ中国語！_ナビ,2.000473,3.2527468,30.445133,128.03027,99.69176,86.055725,0.84375,150.0
NHKラジオ_まいにちイタリア語,2.2218082,3.639164,49.780857,142.19572,109.26998,100.41552,0.859375,213.0
NHKラジオ_まいにちスペイン語,2.6332033,3.8730893,45.61272,168.52501,116.44019,110.192635,0.828125,199.0
NHKラジオ_まいにちドイツ語,2.1431818,3.018841,36.987274,137.16364,93.96528,89.37206,0.796875,177.0
NHKラジオ_まいにちハングル講座,2.073247,2.8147495,41.13813,132.6878,83.61764,85.81452,0.828125,182.0
NHKラジオ_まいにちフランス語,3.0444784,4.7134733,65.78685,194.84662,132.9451,131.19286,0.78125,290.0
NHKラジオ_まいにちロシア語,1.0807981,1.5294596,14.715591,69.17108,45.61485,43.167175,0.890625,67.0
NHKラジオ_まいにち中国語,3.4199371,4.7755737,69.32712,218.87598,124.301025,137.50137,0.75,299.0
NHKラジオ_エンジョイ・シンプル・イン,1.4041288,1.7515861,31.981333,89.86424,61.37814,61.07457,0.75,126.0
NHKラジオ_サブノート1日1文！集中ト,1.982141,2.3397632,39.258797,126.857025,73.68326,79.93302,0.859375,205.0
NYLON_JAPAN,3.2348647,8.934828,43.713303,207.03134,269.33014,173.35826,0.828125,208.0
N_original,1.7596941,2.1964624,29.59552,112.62042,82.81082,75.00892,0.90625,167.0
ONEPIECE_magazine,0.35091877,0.50105584,4.378871,22.458801,15.415828,14.0845,0.90625,15.0
ONEPIECE_original,73.04626,144.1914,1041.6523,4674.9604,7058.0586,4258.224,0.5,5334.0
OZmagazine_original,2.0992334,2.9648738,32.345028,134.35094,100.72937,89.141785,0.734375,147.0
PASH_original,1.4841408,3.6319892,19.077293,94.98501,111.53079,75.1977,0.78125,92.0
PHP_original,2.5505583,4.185688,55.059067,163.23573,114.79765,111.03082,0.859375,299.0
PHPくらしラク～る_original,1.3205279,2.2095659,23.63999,84.51379,65.55013,57.901306,0.859375,110.0
POTATO_original,3.145441,6.2412844,46.00274,201.30823,182.7732,143.36139,0.765625,194.0
RADIOLIFE_original,2.1116567,3.9568472,30.600578,135.14603,125.65987,97.1355,0.828125,154.0
SCALE_Aviationoriginal,1.2962358,3.4743896,15.707069,82.95909,107.40269,68.68961,0.890625,67.0
STORY_original,3.2895846,5.938839,64.45445,210.53342,150.76451,141.91747,0.75,330.0
THE21_original,1.0239189,1.4986458,15.787001,65.53081,44.321682,41.879833,0.953125,71.0
TOEICL&RTEST_出る単特急銀,0.8916509,1.0969805,13.808502,57.06566,30.455519,33.77656,0.921875,62.0
TOEICL&RTEST出る単特急金_original,2.0870895,2.4345117,42.48932,133.57373,68.4307,81.49792,0.78125,270.0
TVLIFE_首都圏版,25.095049,44.56757,339.1444,1606.0831,1509.0923,1151.44,0.703125,1664.0
TVfan_original,11.983364,22.589031,192.72386,766.9353,559.97076,506.5433,0.828125,981.0
TVnavi_首都圏版,8.191996,15.930648,123.27313,524.2877,412.77805,353.4463,0.90625,619.0
TVstation_関東版,16.868645,29.58597,221.65048,1079.5933,799.6975,700.3138,0.8125,1099.0
TVステーション東版_original,1.1015214,1.1175829,5.7073245,70.49737,88.54558,54.91676,1.0,0.0
UOMO_original,2.2055073,3.9213505,37.418518,141.15247,123.321396,100.6308,0.890625,178.0
VOCÉ_original,5.3855696,15.375813,89.064926,344.67645,392.8519,275.5311,0.5625,340.0
VTuberスタイル_original,1.5769601,2.8723128,21.668373,100.925446,83.96802,68.85394,0.84375,103.0
WINDBRAKER_original,0.63542163,0.7144,9.087584,40.666985,27.034164,25.596245,0.96875,27.0
WINDBREAKER_original,15.452427,16.912003,172.52867,988.9553,673.38257,611.6222,0.703125,691.0
cookpadplus_original,3.7246275,7.001824,54.256317,238.37616,293.30444,195.3123,0.6875,262.0
hanako_original,2.5996175,3.0724216,36.71938,166.37552,136.49393,113.196266,0.8125,193.0
honkowa_original,3.308478,7.114203,47.481117,211.7426,254.42416,171.21596,0.8125,215.0
inglishexress_original,1.0211182,1.7215002,14.994048,65.35156,46.559223,42.30161,0.90625,70.0
mini_original,0.82687926,1.9769408,10.366603,52.920273,68.74437,44.010418,0.921875,47.0
smart_original,1.3111506,2.4991357,21.814325,83.913635,74.74397,60.157307,0.921875,92.0
teskatripoca_original,1.159076,1.4282693,18.706337,74.18086,53.717777,48.86833,0.78125,87.0
あかね噺_original,1.6210983,1.8759553,19.21777,103.75029,85.30972,69.42593,1.0,54.0
あっという間にかんたん年賀状_2025,10.051285,13.002148,148.31927,643.2822,317.8323,369.81128,0.734375,724.0
あっという間に完成_!!筆ぐるめ年,6.036472,7.586526,78.01149,386.3342,284.3135,249.55305,0.421875,377.0
あっという間に完成_!!筆まめ年賀,8.213533,10.427867,109.88391,525.66614,234.31596,289.95535,0.703125,532.0
