book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,1.1229084,2.0028913,22.305855,71.866135,53.523666,49.231884,0.765625,79.0
171.T'beau7_original,3.144105,3.864385,62.069622,201.22272,123.114204,128.80217,0.484375,316.0
2024J1_J2J3選手名鑑original,0.09305075,0.15529987,1.7578664,5.955248,20.063866,9.258993,1.0,1.0
2024プロ野球オール写真_名鑑,0.06645198,0.06821604,1.4237161,4.252927,25.649868,10.44217,1.0,0.0
20代で得た知見_original,0.96312505,1.2336432,17.658482,61.640003,32.863037,37.387173,0.703125,81.0
3分クッキング_original,5.692515,7.83836,113.48914,364.32095,291.75983,256.52332,0.546875,742.0
47都道府県_女ひとりで行ってみよう,0.6375446,0.80482155,11.667685,40.802853,24.035797,25.502111,0.90625,38.0
52ヘルツのクジラたち_original,1.0284206,1.4529457,22.57431,65.81892,41.619503,43.337574,0.765625,109.0
63.3年卓上日誌_original,3.41846,4.6063986,55.733433,218.78143,180.27065,151.59517,0.484375,278.0
70歳からのスマホの使いこなし術_original,4.7210455,6.543134,117.17909,302.1469,156.29984,191.87529,0.765625,560.0
80パターン_英語が止まらない！,0.89065766,1.2542635,16.750156,57.00209,34.726807,36.159683,0.71875,82.0
87歳現役トレーダーシゲルさんの教え_original,0.52685356,0.6665142,9.52853,33.718628,26.80893,23.35203,0.96875,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.656522,2.5394967,32.09317,106.01741,70.996765,69.702446,0.765625,161.0
AIRLINE_original,1.6609116,2.6244662,27.984325,106.29834,92.3922,75.55829,0.609375,128.0
B.L.T._original,1.1578383,2.0893342,20.275818,74.101654,59.281845,51.219772,0.921875,103.0
BE-PAL_original,5.716983,13.045887,107.704636,365.8869,320.56982,264.72046,0.78125,563.0
BEGIN_original,1.544345,2.5366478,26.692822,98.83808,69.63457,65.05515,0.671875,126.0
CAPA_original,1.5567667,2.6713724,27.51191,99.63307,64.45976,63.868244,0.796875,120.0
CARandDRIVER_original,0.87619513,1.592412,14.791918,56.07649,42.30967,37.726025,0.828125,59.0
CARトップ_original,1.6729977,2.97418,32.81302,107.07185,75.885315,71.92339,0.875,147.0
CQハムラジオ_original,0.26938376,0.38236818,4.168291,17.24056,32.130245,17.846365,1.0,0.0
Cut_original,1.05198,2.814551,19.938545,67.32672,66.041046,51.1021,0.9375,72.0
Cuugal_original,1.2849569,3.1877382,21.51123,82.23724,79.04031,60.929596,0.875,90.0
ESSE_original,5.448349,9.391761,107.84796,348.69434,215.1179,223.88673,0.703125,662.0
EX大衆_original,1.7236391,4.3654537,27.731228,110.312904,88.65731,75.56715,0.859375,138.0
FINEBOYS_original,1.6210673,2.4868104,30.280327,103.74831,72.30972,68.77945,0.890625,120.0
FPの教科書_3級,1.1033459,1.477879,26.556396,70.614136,38.602478,45.25767,0.859375,131.0
G-works_original,0.91882056,1.6576359,16.712881,58.804516,40.768436,38.761944,0.84375,72.0
GIANKILLING_original,0.8831878,1.1420105,16.535534,56.524017,61.68876,44.916107,1.0,60.0
GIAN_KILLINGoriginal,8.990152,21.495918,115.72187,575.36975,790.4354,493.84238,0.4375,577.0
GINZA_original,1.2137922,1.9332496,20.846458,77.6827,44.96792,47.832355,0.859375,95.0
Gファンタジー_original,2.0286093,4.606053,35.391632,129.831,113.616165,92.946266,0.859375,165.0
J-Wings_original,1.2864718,2.6708262,21.13029,82.3342,77.80184,60.422108,0.765625,105.0
JOOJ_original,5.829693,20.229687,75.28257,373.10034,522.86487,323.74927,0.15625,372.0
JOUU_ジュール,1.1690581,2.2839756,19.135822,74.81972,58.03914,50.66489,0.875,83.0
JR時刻表_original,1.3371648,1.7264227,32.287292,85.578545,47.302757,55.0562,0.671875,121.0
JTB_小さな時刻表,2.3648098,3.4107783,42.624786,151.34782,101.32898,98.43386,0.78125,184.0
JTB時刻表_original,1.6284305,2.7902353,34.721485,104.21955,81.41278,73.45127,0.859375,185.0
KINGダム_original,39.35543,100.190025,546.928,2518.7476,3782.0903,2282.5886,0.734375,2729.0
Kiss_original,2.0602,5.485241,36.076176,131.8528,133.96466,100.6312,0.875,167.0
LDK_original,2.4590778,4.003815,57.87223,157.38098,100.62872,105.293976,0.765625,374.0
LEE_original,10.493259,22.97961,156.6907,671.5686,807.9757,545.4117,0.59375,779.0
MIX_original,0.3834446,0.60684144,5.992567,24.540455,15.799368,15.44413,0.9375,22.0
MOE_original,3.9483967,10.008784,71.35799,252.69739,281.7923,201.94922,0.671875,338.0
MONOQLO_monocro,1.7342824,2.5807967,36.901066,110.99407,66.93817,71.61111,0.734375,197.0
Myojo_ちっこいMyojo,4.7284656,7.3234863,81.57779,302.6218,722.2639,368.82117,0.65625,259.0
NHK_きょうの健康,4.2072015,5.482455,103.80034,269.2609,130.791,167.95074,0.671875,629.0
NHK_しあわせ気分のフランス語,1.6080694,2.1539176,38.187664,102.91644,58.180233,66.428116,0.578125,137.0
NHK_すてきにハンドメイド,3.8754106,5.4497285,94.32215,248.02628,130.935,157.76114,0.765625,596.0
NHK_ハングル講座書いてマスター！,1.2096312,1.4877279,17.06251,77.4164,44.97181,46.48357,0.75,39.0
NHK_俳句,1.250525,2.8884928,27.260044,80.0336,73.51228,60.268642,0.859375,140.0
NHK_短歌,0.6503287,1.010791,11.869098,41.621037,28.098583,27.196238,0.921875,51.0
NHKテキスト_囲碁講座,1.6833386,2.236087,62.71866,107.73367,49.094772,73.182365,0.546875,18.0
NHKテレビハングルッ！_ナビ,1.7552941,2.710973,36.77881,112.33882,79.86519,76.32761,0.828125,208.0
NHKテレビ中国語！_ナビ,1.7108865,2.8467147,37.213737,109.496735,73.85734,73.522606,0.6875,150.0
NHKラジオ_まいにちイタリア語,1.8441865,3.3733616,41.464672,118.02794,94.1151,84.535904,0.78125,213.0
NHKラジオ_まいにちスペイン語,2.2130938,3.3359876,49.30684,141.638,81.44917,90.798004,0.703125,199.0
NHKラジオ_まいにちドイツ語,1.8100096,2.5358841,42.387733,115.840614,56.595974,71.60811,0.671875,177.0
NHKラジオ_まいにちハングル講座,1.5668843,2.2647598,36.965683,100.280594,55.479958,64.24207,0.796875,182.0
NHKラジオ_まいにちフランス語,2.4772458,4.4286647,55.483116,158.54373,118.548065,110.85831,0.8125,290.0
NHKラジオ_まいにちロシア語,0.7600756,1.1403123,15.105324,48.64484,29.662342,31.137503,0.859375,67.0
NHKラジオ_まいにち中国語,2.3720384,4.0665736,51.4636,151.81046,114.25557,105.8432,0.796875,299.0
NHKラジオ_エンジョイ・シンプル・イン,1.1623628,1.5127828,26.227703,74.39122,43.37056,47.996494,0.828125,126.0
NHKラジオ_サブノート1日1文！集中ト,1.6295782,2.1262016,40.406464,104.29301,55.500553,66.73334,0.796875,205.0
NYLON_JAPAN,2.756743,8.536779,44.66536,176.43155,225.04688,148.7146,0.859375,208.0
