book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,1.153012,2.1771858,16.589272,73.79277,69.46133,53.281124,0.84375,79.0
171.T'beau7_original,3.5139647,4.3051786,64.80079,224.89374,113.76345,134.486,0.59375,316.0
2024J1_J2J3選手名鑑original,0.16705236,0.20787698,2.372048,10.691351,15.294541,9.452647,0.0,1.0
2024プロ野球オール写真_名鑑,0.17142633,0.1714743,2.4245799,10.971285,1.40472,4.9335284,0.96875,0.0
20代で得た知見_original,0.9877236,1.2127163,16.856337,63.21431,36.173595,38.74808,0.828125,81.0
3分クッキング_original,5.789573,7.935251,120.987305,370.53268,234.69058,242.07019,0.71875,742.0
47都道府県_女ひとりで行ってみよう,0.6953051,0.8344984,10.718826,44.499527,27.763323,27.660559,0.953125,38.0
52ヘルツのクジラたち_original,0.9591949,1.3593404,22.615366,61.388474,37.831657,40.61183,0.8125,109.0
63.3年卓上日誌_original,4.0164924,5.2354274,57.178093,257.0555,195.89171,170.04176,0.546875,278.0
70歳からのスマホの使いこなし術_original,4.107739,6.1530585,111.17288,262.8953,161.77689,178.61504,0.828125,560.0
80パターン_英語が止まらない！,0.94618046,1.2344508,16.766834,60.55555,35.0829,37.46843,0.8125,82.0
87歳現役トレーダーシゲルさんの教え_original,0.5625966,0.7021653,9.742276,36.006184,28.857376,24.868612,0.96875,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.5954946,2.4378724,32.541492,102.11166,66.2362,66.96311,0.828125,161.0
AIRLINE_original,1.8831658,2.8846235,26.078049,120.52261,85.47621,77.358955,0.75,128.0
B.L.T._original,1.5412903,2.6605184,21.741253,98.64258,93.665146,71.34966,0.75,103.0
BE-PAL_original,6.3719363,15.094943,99.89757,407.80392,445.8835,317.86166,0.796875,563.0
BEGIN_original,1.8353851,2.9796033,27.859575,117.464645,91.35281,78.89234,0.84375,126.0
CAPA_original,1.8172102,3.300294,25.924185,116.30145,104.37176,82.19913,0.859375,120.0
CARandDRIVER_original,0.97096556,1.8935608,12.655534,62.141796,58.10592,44.301086,0.78125,59.0
CARトップ_original,1.9180379,3.810043,32.349014,122.754425,123.67074,92.92472,0.734375,147.0
CQハムラジオ_original,0.19141836,0.20026737,1.8981973,12.250775,25.53703,13.228667,1.0,0.0
Cut_original,1.2399971,3.0455308,16.723675,79.35982,90.37978,62.15443,0.890625,72.0
Cuugal_original,1.4693496,3.7060554,19.12604,94.038376,118.14526,77.103226,0.4375,90.0
ESSE_original,6.6436076,11.531009,115.71907,425.1909,392.92804,311.27933,0.703125,662.0
EX大衆_original,2.1273248,4.981459,29.29071,136.14879,141.07959,102.173035,0.71875,138.0
FINEBOYS_original,1.5300636,2.832146,24.998451,97.92407,89.73078,70.88444,0.859375,120.0
FPの教科書_3級,1.0635798,1.4257926,26.042093,68.06911,43.865097,45.992096,0.890625,131.0
G-works_original,1.1441969,1.9859066,15.583363,73.2286,60.523228,49.778397,0.859375,72.0
GIANKILLING_original,0.8819761,1.135631,17.958668,56.446472,48.824867,41.076668,1.0,60.0
GIAN_KILLINGoriginal,9.499795,21.689333,122.0148,607.9869,397356.7,132695.56,1.0,577.0
GINZA_original,1.3935261,2.3234243,20.082825,89.18567,70.47681,59.9151,0.796875,95.0
Gファンタジー_original,2.5536003,5.323284,36.225002,163.43042,165.58835,121.747925,0.796875,165.0
J-Wings_original,1.5004053,2.9609938,22.439709,96.02594,79.01942,65.82836,0.859375,105.0
JOOJ_original,5.755841,20.126818,81.0148,368.3738,397397.7,132615.69,1.0,372.0
JOUU_ジュール,1.2544363,2.7498002,18.738049,80.28392,87.43565,62.152542,0.828125,83.0
JR時刻表_original,1.5848036,1.9341398,32.332626,101.42743,65.04409,66.26804,0.6875,121.0
JTB_小さな時刻表,2.195735,2.894687,42.006065,140.52704,81.16165,87.898254,0.875,184.0
JTB時刻表_original,2.0186512,2.9420693,41.72236,129.19368,94.68545,88.53384,0.8125,185.0
KINGダム_original,39.247826,99.24022,537.1616,2511.8608,3780.4824,2276.5017,0.734375,2729.0
Kiss_original,2.5922663,6.4763303,34.538475,165.90504,191.15356,130.53236,0.734375,167.0
LDK_original,2.498125,4.3850064,61.371315,159.88,120.371414,113.874245,0.828125,374.0
LEE_original,11.505241,23.522676,160.56987,736.33545,962.0486,619.6513,0.390625,779.0
MIX_original,0.42199862,0.5820336,6.487969,27.007912,20.85011,18.11533,0.96875,22.0
MOE_original,4.3836083,10.059953,68.17182,280.55093,289.14423,212.62231,0.6875,338.0
MONOQLO_monocro,1.8244917,2.5671966,37.594116,116.76747,73.058525,75.8067,0.890625,197.0
Myojo_ちっこいMyojo,3.8016067,8.025408,55.020607,243.30283,267.90213,188.74187,0.640625,259.0
NHK_きょうの健康,5.4864655,6.6351643,112.94241,351.1338,175.63351,213.23657,0.6875,629.0
NHK_しあわせ気分のフランス語,1.920481,2.4348745,30.21956,122.91078,71.50186,74.8774,0.78125,137.0
NHK_すてきにハンドメイド,6.4037733,8.308701,123.02022,409.8415,240.42865,257.76346,0.78125,596.0
NHK_ハングル講座書いてマスター！,1.3915966,1.6093391,11.3933735,89.06218,58.34774,52.93443,0.953125,39.0
NHK_俳句,1.8460104,3.6620824,29.725628,118.14467,106.01965,84.62998,0.875,140.0
NHK_短歌,0.76048714,1.1955289,11.280567,48.671177,37.90721,32.61965,0.984375,51.0
NHKテキスト_囲碁講座,1.7738233,2.1320112,42.398277,113.52469,65.587265,73.83675,0.53125,18.0
NHKテレビハングルッ！_ナビ,2.1932898,3.0410433,41.93976,140.37054,96.67124,92.99384,0.8125,208.0
NHKテレビ中国語！_ナビ,2.005196,3.2613208,30.458918,128.33255,100.13905,86.31018,0.84375,150.0
NHKラジオ_まいにちイタリア語,2.2231214,3.6420975,49.906776,142.27977,109.22444,100.47034,0.859375,213.0
NHKラジオ_まいにちスペイン語,2.6332078,3.8759892,45.687263,168.5253,116.45445,110.22233,0.828125,199.0
NHKラジオ_まいにちドイツ語,2.146659,3.0229912,37.01966,137.38617,94.14763,89.51782,0.796875,177.0
NHKラジオ_まいにちハングル講座,2.0782943,2.8197544,41.22799,133.01083,83.56989,85.93624,0.828125,182.0
NHKラジオ_まいにちフランス語,3.042678,4.714596,66.11551,194.7314,132.77943,131.20879,0.78125,290.0
NHKラジオ_まいにちロシア語,1.08219,1.5310605,14.739842,69.26016,45.68813,43.22938,0.90625,67.0
NHKラジオ_まいにち中国語,3.4290495,4.7858486,69.29298,219.45917,124.78564,137.84593,0.75,299.0
NHKラジオ_エンジョイ・シンプル・イン,1.4067092,1.7569987,32.040226,90.02939,61.524483,61.19803,0.75,126.0
NHKラジオ_サブノート1日1文！集中ト,1.9828877,2.3406045,39.25341,126.904816,73.7224,79.96021,0.859375,205.0
NYLON_JAPAN,3.2364807,8.934958,43.76972,207.13477,269.13626,173.34692,0.828125,208.0
N_original,1.7614946,2.1990376,29.611694,112.73566,83.098526,75.14863,0.90625,167.0
ONEPIECE_magazine,0.3498782,0.5011246,4.421533,22.392204,15.416374,14.076703,0.90625,15.0
ONEPIECE_original,73.156204,144.25417,1043.9729,4681.997,7063.374,4263.1147,0.5,5334.0
OZmagazine_original,2.1018324,2.9662945,32.409885,134.51727,100.87198,89.26638,0.734375,147.0
PASH_original,1.4838867,3.631749,19.080772,94.96875,111.969406,75.33964,0.796875,92.0
PHP_original,2.5519478,4.1888313,55.111855,163.32466,114.97705,111.137856,0.875,299.0
PHPくらしラク～る_original,1.3215771,2.2097833,23.68316,84.58093,65.58741,57.9505,0.859375,110.0
POTATO_original,3.1454117,6.244878,45.972954,201.30635,182.94383,143.40771,0.765625,194.0
RADIOLIFE_original,2.1179702,3.9624667,30.670025,135.5501,126.06263,97.42758,0.828125,154.0
SCALE_Aviationoriginal,1.29705,3.474836,15.745183,83.0112,107.55437,68.770256,0.890625,67.0
STORY_original,3.291619,5.9543505,64.392624,210.66362,151.54208,142.19945,0.734375,330.0
THE21_original,1.0238043,1.4988577,15.811838,65.523476,44.38592,41.907078,0.953125,71.0
TOEICL&RTEST_出る単特急銀,0.8918743,1.0973845,13.827965,57.079956,30.474249,33.794056,0.921875,62.0
TOEICL&RTEST出る単特急金_original,2.0866663,2.4341185,42.4112,133.54665,68.46879,81.47555,0.78125,270.0
TVLIFE_首都圏版,25.153572,44.57634,339.85187,1609.8286,1512.5386,1154.073,0.703125,1664.0
TVfan_original,11.992022,22.59845,193.26067,767.4894,556.7417,505.83057,0.84375,981.0
TVnavi_首都圏版,8.195013,15.934175,123.463715,524.48083,413.10782,353.6841,0.90625,619.0
TVstation_関東版,16.835604,29.555092,222.10426,1077.4786,789.4765,696.3531,0.828125,1099.0
