book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,1.2833202,2.326087,20.149736,82.13249,67.99477,56.759,0.859375,79.0
171.T'beau7_original,4.862249,5.613446,63.782837,311.18393,341.028,238.66492,0.25,316.0
2024J1_J2J3選手名鑑original,0.017387226,0.12468402,0.24526721,1.1127825,1.9025139,1.0868545,0.984375,1.0
2024プロ野球オール写真_名鑑,0.0053774044,0.006062492,0.082867995,0.34415388,0.3919259,0.2729826,0.984375,0.0
20代で得た知見_original,0.99868786,1.2294852,19.038496,63.916023,33.88367,38.946064,0.640625,81.0
3分クッキング_original,5.9579563,8.430879,126.35609,381.3092,235.56087,247.74205,0.734375,742.0
47都道府県_女ひとりで行ってみよう,0.6234327,0.8707478,8.13729,39.899693,24.36639,24.134459,0.71875,38.0
52ヘルツのクジラたち_original,1.0754166,1.4466802,22.98192,68.82666,38.7313,43.513294,0.703125,109.0
63.3年卓上日誌_original,4.3385553,5.466562,56.090584,277.66754,373.8334,235.86385,0.234375,278.0
70歳からのスマホの使いこなし術_original,4.2018294,5.0812845,81.4193,268.91708,314.65692,221.66443,0.984375,560.0
80パターン_英語が止まらない！,0.91350484,1.2490467,16.96408,58.46431,34.391613,36.60667,0.6875,82.0
87歳現役トレーダーシゲルさんの教え_original,0.42729998,0.7669343,5.4622197,27.347198,22.195293,18.334904,0.953125,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.6968777,2.494948,32.50615,108.600174,76.301636,72.46932,0.71875,161.0
AIRLINE_original,1.8072132,2.8627403,26.759222,115.661644,84.00432,75.47506,0.8125,128.0
B.L.T._original,1.4793756,2.7244608,22.157629,94.68004,92.369446,69.73571,0.796875,103.0
BE-PAL_original,7.1001177,15.878444,112.74397,454.40753,477.789,348.31348,0.828125,563.0
BEGIN_original,2.1619713,3.2798984,33.781193,138.36617,100.18424,90.7772,0.75,126.0
CAPA_original,1.7121576,3.1715007,26.775072,109.57809,88.86586,75.073006,0.828125,120.0
CARandDRIVER_original,1.0153974,1.9408183,14.2532625,64.985435,66.95009,48.729595,0.84375,59.0
CARトップ_original,1.918629,3.9369674,32.620636,122.79226,128.02798,94.48029,0.90625,147.0
CQハムラジオ_original,0.06039483,0.07642573,7.315242,3.8652692,34.0756,15.08537,1.0,0.0
Cut_original,1.2768323,3.0352938,19.094324,81.71727,90.69292,63.83484,0.921875,72.0
Cuugal_original,1.3944985,3.1526225,21.678211,89.2479,63.51635,58.14749,0.875,90.0
ESSE_original,6.0900035,11.279865,114.01689,389.76022,371.66602,291.81436,0.765625,662.0
EX大衆_original,2.115309,4.919078,32.380318,135.37978,120.28523,96.015114,0.859375,138.0
FINEBOYS_original,2.282857,3.5577407,31.637985,146.10284,131.3652,103.03534,0.921875,120.0
FPの教科書_3級,1.1556513,1.532989,26.297575,73.961685,40.036232,46.765167,0.8125,131.0
G-works_original,1.1267717,1.9936676,18.15742,72.11339,57.803543,49.358112,0.859375,72.0
GIANKILLING_original,0.9309656,1.1496449,22.524006,59.5818,84.25583,55.453876,1.0,60.0
GIAN_KILLINGoriginal,9.015086,21.514782,115.41831,576.9655,1038.1184,576.83405,0.34375,577.0
GINZA_original,1.2920144,2.2859027,20.946123,82.68892,70.319046,57.984695,0.875,95.0
Gファンタジー_original,2.2921934,5.090073,39.326527,146.70038,178.63455,121.55381,0.90625,165.0
J-Wings_original,1.3716874,2.900456,22.212357,87.787994,78.48087,62.827076,0.828125,105.0
JOOJ_original,5.813574,20.247992,74.418304,372.06873,669.46875,371.98526,0.765625,372.0
JOUU_ジュール,1.4096212,2.8414261,20.141083,90.21576,91.363235,67.24003,0.890625,83.0
JR時刻表_original,1.4806931,1.9240499,28.66346,94.76436,87.25461,70.22748,0.734375,121.0
JTB_小さな時刻表,2.3180895,3.3196878,41.4221,148.35773,86.041664,91.9405,0.875,184.0
JTB時刻表_original,2.2314653,3.521014,39.047997,142.81378,82.63707,88.16628,0.8125,185.0
KINGダム_original,34.554092,96.47999,553.7626,2211.462,2888.9746,1884.733,0.921875,2729.0
Kiss_original,2.4635208,6.5896482,40.713585,157.66533,188.32169,128.90019,0.921875,167.0
