book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,1.0855625,1.8892097,18.699493,69.476,51.204384,46.45996,0.78125,79.0
171.T'beau7_original,2.8694715,3.553647,60.19908,183.64618,106.10689,116.65072,0.5625,316.0
2024J1_J2J3選手名鑑original,0.10887731,0.1648864,2.1667714,6.9681478,16.709911,8.6149435,1.0,1.0
2024プロ野球オール写真_名鑑,0.09471643,0.0955539,1.9906161,6.0618515,21.65741,9.903293,1.0,0.0
20代で得た知見_original,0.98436177,1.2323205,19.909111,62.999153,33.968597,38.958954,0.625,81.0
3分クッキング_original,5.609302,7.745824,115.38291,358.99533,262.67987,245.68604,0.625,742.0
47都道府県_女ひとりで行ってみよう,0.6398858,0.8036137,10.230184,40.95269,23.630459,24.937777,0.890625,38.0
52ヘルツのクジラたち_original,1.0260224,1.439322,23.189442,65.665436,41.79454,43.549805,0.78125,109.0
63.3年卓上日誌_original,3.3225684,4.4918947,56.488285,212.64438,184.27538,151.136,0.4375,278.0
70歳からのスマホの使いこなし術_original,4.0878778,5.766564,96.97015,261.62418,147.0055,168.53328,0.8125,560.0
80パターン_英語が止まらない！,0.8961319,1.2379624,17.565937,57.35244,33.933315,36.2839,0.578125,82.0
87歳現役トレーダーシゲルさんの教え_original,0.5219519,0.67400044,6.51809,33.404922,28.389902,22.770971,0.96875,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.602091,2.4707937,33.69354,102.53382,66.67463,67.633995,0.84375,161.0
AIRLINE_original,1.5697798,2.4665923,25.930832,100.465904,73.10655,66.5011,0.703125,128.0
B.L.T._original,1.130312,1.7952269,21.01672,72.339966,52.635498,48.664062,0.84375,103.0
BE-PAL_original,5.7114,11.878363,117.37523,365.5296,235.24054,239.38179,0.8125,563.0
BEGIN_original,1.5243986,2.4169903,24.228666,97.56151,53.055496,58.28189,0.75,126.0
CAPA_original,1.5137565,2.5398536,25.395939,96.88042,57.85426,60.043537,0.671875,120.0
CARandDRIVER_original,0.7963922,1.4678977,13.318268,50.9691,35.604057,33.297142,0.78125,59.0
CARトップ_original,1.6172676,2.7741258,33.861862,103.50513,56.481064,64.61602,0.8125,147.0
CQハムラジオ_original,0.3061589,0.40252376,2.0641675,19.59417,47.671463,23.109934,0.984375,0.0
Cut_original,0.9304837,2.5517008,17.579607,59.550957,53.935493,43.688686,0.96875,72.0
Cuugal_original,1.1943125,2.8783765,21.30423,76.436,60.5941,52.778107,0.90625,90.0
ESSE_original,6.1398525,9.469969,124.23219,392.95056,187.46921,234.88399,0.75,662.0
EX大衆_original,1.6022028,4.2049055,27.562952,102.54098,82.52821,70.87738,0.875,138.0
FINEBOYS_original,1.5943379,2.409908,25.488167,102.03763,74.70539,67.41039,0.890625,120.0
FPの教科書_3級,1.110502,1.5138423,27.389807,71.07213,39.60095,46.02096,0.859375,131.0
G-works_original,0.8490758,1.4911096,15.045137,54.34085,35.62239,35.002792,0.796875,72.0
GIANKILLING_original,0.9158743,1.2617655,13.206908,58.615955,39.919598,37.247486,0.90625,60.0
GIAN_KILLINGoriginal,9.006571,21.510975,115.99375,576.42053,774.20984,488.87473,0.71875,577.0
GINZA_original,1.1054814,1.6896971,20.969032,70.75081,38.009163,43.243,0.890625,95.0
Gファンタジー_original,1.8853779,4.1240215,34.685867,120.664185,91.78169,82.37725,0.890625,165.0
J-Wings_original,1.3022873,2.6570032,21.859932,83.34639,65.64192,56.949413,0.828125,105.0
JOOJ_original,5.8141284,20.241962,74.99375,372.10422,527.28125,324.79306,0.859375,372.0
JOUU_ジュール,1.1630762,2.063428,19.157717,74.436874,42.473377,45.355988,0.8125,83.0
JR時刻表_original,1.2944462,1.6774945,27.636936,82.84456,49.39119,53.290894,0.71875,121.0
JTB_小さな時刻表,2.4985342,3.4868965,40.688904,159.90619,119.24831,106.61446,0.71875,184.0
JTB時刻表_original,1.6616296,2.7849312,35.085724,106.34429,83.53017,74.98673,0.8125,185.0
KINGダム_original,39.087868,99.88437,548.1871,2501.6235,3859.3994,2303.07,0.484375,2729.0
Kiss_original,2.0148845,5.1428866,39.279285,128.9526,114.69573,94.309204,0.90625,167.0
LDK_original,2.3808584,3.7650697,53.518654,152.37494,91.29029,99.06129,0.8125,374.0
LEE_original,10.237608,22.149057,162.75476,655.2069,649.26556,489.07578,0.609375,779.0
MIX_original,0.40765178,0.59217376,5.3422737,26.089714,17.822718,16.418236,0.953125,22.0
MOE_original,3.9071808,9.997587,68.42359,250.05957,283.74762,200.74359,0.75,338.0
MONOQLO_monocro,1.7497725,2.5056114,36.504417,111.98544,58.95507,69.148315,0.75,197.0
Myojo_ちっこいMyojo,4.7000494,7.3191085,58.232418,300.80316,312.61823,223.8846,0.796875,259.0
NHK_きょうの健康,4.181092,5.172416,104.294914,267.58987,106.02475,159.30318,0.671875,629.0
NHK_しあわせ気分のフランス語,1.5840077,1.9960684,33.862385,101.376495,51.64414,62.29434,0.640625,137.0
NHK_すてきにハンドメイド,3.6250718,5.011517,100.955826,232.0046,101.50267,144.82103,0.84375,596.0
NHK_ハングル講座書いてマスター！,1.3587291,1.7030994,19.595512,86.958664,48.6902,51.748127,0.71875,39.0
NHK_俳句,1.2891645,2.8116646,26.684616,82.50653,72.40181,60.530987,0.9375,140.0
NHK_短歌,0.63931423,0.9791856,11.324287,40.91611,30.457935,27.56611,0.90625,51.0
NHKテキスト_囲碁講座,1.7419736,2.2890027,50.622585,111.48631,53.099392,71.7361,0.484375,18.0
NHKテレビハングルッ！_ナビ,1.7661448,2.6399379,37.623993,113.033264,73.7729,74.81005,0.796875,208.0
NHKテレビ中国語！_ナビ,1.6270976,2.636244,32.379993,104.13425,59.332466,65.282234,0.796875,150.0
NHKラジオ_まいにちイタリア語,1.708396,2.9732003,40.02058,109.33734,69.20469,72.85421,0.8125,213.0
NHKラジオ_まいにちスペイン語,2.0261908,2.993134,40.658806,129.67621,68.24392,79.52631,0.65625,199.0
NHKラジオ_まいにちドイツ語,1.6798419,2.3232431,35.568665,107.50988,52.779926,65.286156,0.625,177.0
NHKラジオ_まいにちハングル講座,1.5169973,2.2082064,33.113243,97.08783,56.001904,62.06766,0.796875,182.0
NHKラジオ_まいにちフランス語,2.2905169,4.1905866,49.20967,146.59308,108.4516,101.41811,0.84375,290.0
NHKラジオ_まいにちロシア語,0.76603484,1.13671,13.608569,49.02623,28.37411,30.336304,0.859375,67.0
NHKラジオ_まいにち中国語,2.4098985,3.8579717,50.036957,154.2335,93.68248,99.31765,0.765625,299.0
NHKラジオ_エンジョイ・シンプル・イン,1.113121,1.4656998,27.180532,71.239746,40.070953,46.163746,0.890625,126.0
NHKラジオ_サブノート1日1文！集中ト,1.727236,2.2211628,42.309875,110.543106,59.73307,70.86202,0.703125,205.0
NYLON_JAPAN,2.6542697,8.309759,41.298378,169.87326,200.2273,137.13298,0.859375,208.0
N_original,1.4274966,1.9451419,37.489693,91.35978,56.544765,61.79808,0.9375,167.0
ONEPIECE_magazine,0.25795963,0.5336896,4.807843,16.509417,18.459255,13.258839,0.890625,15.0
