book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,1.1740074,2.0166516,18.974564,75.136475,54.657364,49.589466,0.828125,79.0
171.T'beau7_original,3.0455189,3.7555883,62.80767,194.91321,106.778336,121.49973,0.5625,316.0
2024J1_J2J3選手名鑑original,0.0759906,0.14612776,1.4934599,4.8633986,29.122646,11.826501,1.0,1.0
2024プロ野球オール写真_名鑑,0.029115472,0.040041033,1.018348,1.8633902,40.07563,14.319122,1.0,0.0
20代で得た知見_original,0.9567524,1.240184,17.784359,61.232155,32.828903,37.281803,0.734375,81.0
3分クッキング_original,5.680086,7.9044704,113.102455,363.5255,291.10352,255.91048,0.53125,742.0
47都道府県_女ひとりで行ってみよう,0.6479699,0.7957773,9.977746,41.470074,24.300983,25.249601,0.921875,38.0
52ヘルツのクジラたち_original,1.0163094,1.4503309,23.17,65.0438,41.278297,43.164032,0.765625,109.0
63.3年卓上日誌_original,3.261384,4.408524,55.22816,208.72858,158.7055,140.8874,0.515625,278.0
70歳からのスマホの使いこなし術_original,4.0216017,5.7340193,105.937645,257.3825,142.56757,168.62924,0.8125,560.0
80パターン_英語が止まらない！,0.89607036,1.2495242,17.196629,57.348503,34.563538,36.369556,0.796875,82.0
87歳現役トレーダーシゲルさんの教え_original,0.49523026,0.69672406,5.7952547,31.694736,27.847256,21.779083,0.96875,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.6545602,2.5579083,35.375473,105.89185,73.19215,71.48649,0.8125,161.0
AIRLINE_original,1.6445017,2.5928652,26.956701,105.24811,83.05526,71.75336,0.6875,128.0
B.L.T._original,1.2573911,2.2419498,29.261494,80.47303,75.64592,61.793484,0.484375,103.0
BE-PAL_original,5.760246,12.678926,104.47166,368.65573,290.7322,254.61987,0.78125,563.0
BEGIN_original,1.5417912,2.4975457,25.019314,98.67464,66.07615,63.256702,0.78125,126.0
CAPA_original,1.5809355,2.649857,26.76722,101.17987,67.76048,65.23586,0.78125,120.0
CARandDRIVER_original,0.8717333,1.5703051,14.203271,55.79093,40.693054,36.895752,0.828125,59.0
CARトップ_original,1.6572173,2.8828938,32.990906,106.061905,67.42937,68.82739,0.828125,147.0
CQハムラジオ_original,0.43137044,0.57942855,2.393564,27.607708,42.251495,24.084257,0.890625,0.0
Cut_original,1.0502895,2.6073337,19.185467,67.21853,60.074745,48.826244,0.9375,72.0
Cuugal_original,1.325125,3.0867226,22.623503,84.808,72.32559,59.919033,0.90625,90.0
ESSE_original,5.6247063,9.487655,116.00946,359.9812,213.3417,229.77747,0.78125,662.0
EX大衆_original,1.7021489,4.2914205,28.245493,108.93753,88.19211,75.125046,0.78125,138.0
FINEBOYS_original,1.6184384,2.4503102,25.62574,103.580055,79.11253,69.439445,0.890625,120.0
FPの教科書_3級,1.1145208,1.5006605,27.026356,71.32933,39.01975,45.79181,0.828125,131.0
G-works_original,0.90065557,1.5592097,16.946651,57.641956,38.42565,37.67142,0.859375,72.0
GIANKILLING_original,0.8995393,1.2147574,17.999187,57.570515,32.938263,36.169323,0.96875,60.0
GIAN_KILLINGoriginal,8.941147,21.492512,115.8001,572.2334,738.63776,475.5571,0.71875,577.0
GINZA_original,1.0593507,1.7783775,20.886595,67.79845,43.497032,44.060688,0.921875,95.0
Gファンタジー_original,2.0782986,4.503766,36.51225,133.01111,108.70804,92.7438,0.8125,165.0
J-Wings_original,1.2590572,2.593293,21.782814,80.57966,70.01194,57.45814,0.828125,105.0
JOOJ_original,5.8036385,20.205587,74.804436,371.43286,499.92383,315.38705,0.84375,372.0
JOUU_ジュール,1.2294308,2.3880665,19.478268,78.68357,61.798584,53.32014,0.90625,83.0
JR時刻表_original,1.3575948,1.7515191,31.04179,86.88607,48.97917,55.635677,0.8125,121.0
JTB_小さな時刻表,2.4117107,3.391699,41.08167,154.34949,117.02177,104.15097,0.75,184.0
JTB時刻表_original,1.564172,2.6722908,35.263557,100.10701,85.33505,73.56854,0.890625,185.0
KINGダム_original,39.279266,100.47907,563.312,2513.873,3894.5762,2323.9204,0.75,2729.0
Kiss_original,2.1223388,5.463323,37.621574,135.82968,131.02222,101.49116,0.90625,167.0
LDK_original,2.3694,3.999169,59.579823,151.6416,103.80972,105.010376,0.84375,374.0
LEE_original,10.324855,22.799984,154.9157,660.7907,761.3745,525.69366,0.640625,779.0
MIX_original,0.40261286,0.58868927,5.592557,25.767223,16.769909,16.04323,0.953125,22.0
MOE_original,4.081012,10.1518955,67.6324,261.18475,296.97443,208.59718,0.734375,338.0
MONOQLO_monocro,1.7328429,2.5766687,34.764324,110.90195,65.236694,70.30099,0.765625,197.0
Myojo_ちっこいMyojo,3.7528396,7.1058216,63.479454,240.18173,619.47253,307.71124,0.609375,259.0
NHK_きょうの健康,4.3285675,5.344725,103.84865,277.02832,125.828476,168.90181,0.703125,629.0
NHK_しあわせ気分のフランス語,1.7091968,2.2126992,40.970577,109.388596,59.864372,70.07452,0.59375,137.0
NHK_すてきにハンドメイド,3.8442218,5.2534184,96.528305,246.0302,110.94797,151.16882,0.765625,596.0
NHK_ハングル講座書いてマスター！,1.3429674,1.671463,25.064259,85.94991,46.13476,52.38298,0.609375,39.0
NHK_俳句,1.2469044,2.8357816,27.166227,79.80188,75.97046,60.979523,0.890625,140.0
NHK_短歌,0.65819156,1.0152265,12.306276,42.12426,31.428375,28.619637,0.9375,51.0
NHKテキスト_囲碁講座,1.6920938,2.2465017,48.670403,108.29401,49.724457,68.89629,0.546875,18.0
NHKテレビハングルッ！_ナビ,1.8074793,2.7817078,37.750973,115.67867,80.976074,78.13524,0.828125,208.0
NHKテレビ中国語！_ナビ,1.7500254,2.8495433,36.263924,112.001625,71.701,73.32218,0.6875,150.0
NHKラジオ_まいにちイタリア語,1.8103268,3.2919369,41.45655,115.860916,87.25218,81.52322,0.796875,213.0
NHKラジオ_まいにちスペイン語,2.230799,3.3446572,43.35222,142.77113,79.10004,88.4078,0.6875,199.0
NHKラジオ_まいにちドイツ語,1.818875,2.555491,37.649693,116.408,58.845627,70.96777,0.703125,177.0
