book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,1.1481938,2.002416,19.391838,73.484406,53.38543,48.75389,0.78125,79.0
171.T'beau7_original,3.149119,3.8597703,63.12782,201.54361,116.542564,127.07133,0.5,316.0
2024J1_J2J3選手名鑑original,0.047162015,0.13315006,1.205016,3.018369,43.89028,16.03789,1.0,1.0
2024プロ野球オール写真_名鑑,0.037079126,0.03830546,1.1588336,2.373064,37.004856,13.512252,1.0,0.0
20代で得た知見_original,0.9602711,1.2305835,17.754501,61.45735,32.633812,37.281887,0.75,81.0
3分クッキング_original,5.6483436,7.7333727,113.49109,361.494,290.49597,255.16035,0.5625,742.0
47都道府県_女ひとりで行ってみよう,0.65969366,0.7974997,9.041216,42.220394,25.43156,25.564392,0.953125,38.0
52ヘルツのクジラたち_original,1.0423785,1.4807436,23.846754,66.71223,42.16591,44.241627,0.765625,109.0
63.3年卓上日誌_original,3.1331558,4.2541976,54.58741,200.52197,156.44759,137.18565,0.484375,278.0
70歳からのスマホの使いこなし術_original,3.8407483,5.4656405,94.430115,245.80789,128.95636,156.39812,0.84375,560.0
80パターン_英語が止まらない！,0.8997526,1.2530217,16.891294,57.584167,35.110588,36.528683,0.78125,82.0
87歳現役トレーダーシゲルさんの教え_original,0.49416122,0.6919587,5.603759,31.626318,25.553802,20.92796,0.921875,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.6621532,2.554045,34.513218,106.37781,72.09978,70.99693,0.796875,161.0
AIRLINE_original,1.5541608,2.4692643,27.955904,99.46629,73.814575,67.078926,0.734375,128.0
B.L.T._original,1.3498616,2.1763923,23.215946,86.39114,51.22592,53.611004,0.921875,103.0
BE-PAL_original,5.944273,12.758593,109.50488,380.43347,297.42935,262.4559,0.75,563.0
BEGIN_original,1.5811901,2.4314423,25.913149,101.19617,65.720825,64.27671,0.734375,126.0
CAPA_original,1.5531774,2.528913,26.893595,99.40335,71.18901,65.82865,0.671875,120.0
CARandDRIVER_original,0.8030218,1.4256877,13.4697695,51.393394,35.394814,33.419327,0.8125,59.0
CARトップ_original,1.6079173,2.7136347,32.295662,102.90671,58.371155,64.524506,0.8125,147.0
CQハムラジオ_original,0.6265448,0.9341685,3.3990166,40.098866,45.163452,29.553778,0.9375,0.0
Cut_original,1.0099006,2.632031,19.518627,64.63364,59.70331,47.95186,0.96875,72.0
Cuugal_original,1.3127962,3.0551233,24.232506,84.01896,71.12756,59.79301,0.9375,90.0
ESSE_original,5.874213,9.2823515,118.313995,375.94965,212.15317,235.47227,0.703125,662.0
EX大衆_original,1.7072637,4.2416654,28.750353,109.26488,87.703735,75.239655,0.859375,138.0
FINEBOYS_original,1.5946009,2.4691288,26.84608,102.05446,72.101364,67.00063,0.84375,120.0
FPの教科書_3級,1.1496153,1.5567849,27.441692,73.57538,38.85733,46.6248,0.84375,131.0
G-works_original,0.89263,1.4879068,17.28772,57.12832,40.657494,38.357845,0.765625,72.0
GIANKILLING_original,0.9050855,1.1643195,15.740952,57.925472,48.995205,40.88721,1.0,60.0
GIAN_KILLINGoriginal,9.008024,21.510656,115.75676,576.51355,779.86536,490.7119,0.71875,577.0
GINZA_original,1.099616,1.8094833,21.270584,70.37543,42.210106,44.618702,0.890625,95.0
Gファンタジー_original,2.2131546,4.4130173,38.779377,141.64189,100.746765,93.72268,0.796875,165.0
J-Wings_original,1.243823,2.5092154,21.994669,79.604675,71.805275,57.80154,0.75,105.0
JOOJ_original,5.8161917,20.244219,74.75676,372.23627,526.0192,324.33743,0.859375,372.0
JOUU_ジュール,1.2169888,2.134877,22.277048,77.88728,48.14242,49.43558,0.75,83.0
JR時刻表_original,1.331232,1.7048945,30.094732,85.198845,49.90145,55.065014,0.71875,121.0
JTB_小さな時刻表,2.2834435,3.2496254,38.677658,146.14038,108.24217,97.68674,0.609375,184.0
JTB時刻表_original,1.6241933,2.6383605,33.932884,103.94837,84.524254,74.13517,0.859375,185.0
KINGダム_original,39.206734,100.17096,554.6242,2509.231,3747.3179,2270.3909,0.78125,2729.0
Kiss_original,2.173048,5.2319613,40.674286,139.07507,121.261696,100.33701,0.875,167.0
LDK_original,2.4399095,3.8064313,56.595345,156.1542,94.90591,102.55182,0.875,374.0
LEE_original,10.38092,22.81277,161.3887,664.3789,700.54663,508.7714,0.703125,779.0
MIX_original,0.38995934,0.5967119,5.6778574,24.957397,17.79704,16.144098,0.953125,22.0
MOE_original,4.056466,10.126989,69.211395,259.61383,279.84274,202.88933,0.734375,338.0
MONOQLO_monocro,1.8331066,2.542147,35.23399,117.318825,62.93421,71.82901,0.671875,197.0
Myojo_ちっこいMyojo,4.468334,7.3200603,98.86798,285.9734,720.7346,368.5253,0.484375,259.0
NHK_きょうの健康,4.325614,5.3637147,106.21393,276.8393,109.33353,164.12892,0.671875,629.0
NHK_しあわせ気分のフランス語,1.992496,2.4088492,42.69296,127.519745,68.81186,79.67486,0.609375,137.0
NHK_すてきにハンドメイド,4.030923,5.2882366,97.49277,257.97906,102.78831,152.75337,0.8125,596.0
NHK_ハングル講座書いてマスター！,1.357994,1.6887969,23.248695,86.91161,46.365734,52.17535,0.5,39.0
NHK_俳句,1.3143423,2.7699213,28.844728,84.117905,70.491714,61.151447,0.78125,140.0
NHK_短歌,0.63190055,0.96747196,11.374415,40.441635,26.940094,26.25205,0.90625,51.0
NHKテキスト_囲碁講座,1.8371689,2.3761528,50.16965,117.57881,50.836617,72.861694,0.515625,18.0
NHKテレビハングルッ！_ナビ,1.7372727,2.6462955,36.067215,111.185455,76.47795,74.57687,0.84375,208.0
NHKテレビ中国語！_ナビ,1.7388725,2.7058747,32.352932,111.28784,65.72573,69.78884,0.765625,150.0
NHKラジオ_まいにちイタリア語,1.8421996,3.1626263,41.7926,117.90077,80.861855,80.18508,0.828125,213.0
NHKラジオ_まいにちスペイン語,2.275372,3.306091,46.66542,145.62381,76.67194,89.653725,0.734375,199.0
NHKラジオ_まいにちドイツ語,1.8344636,2.5618846,37.273987,117.40567,60.031586,71.57041,0.765625,177.0
NHKラジオ_まいにちハングル講座,1.6413748,2.3143091,35.780357,105.04799,61.163467,67.330605,0.84375,182.0
NHKラジオ_まいにちフランス語,2.409608,4.2065024,53.49327,154.2149,111.64992,106.4527,0.828125,290.0
NHKラジオ_まいにちロシア語,0.76427907,1.1353934,14.556135,48.91386,28.541397,30.670464,0.90625,67.0
NHKラジオ_まいにち中国語,2.5315895,3.8752935,52.589287,162.02173,96.25249,103.62118,0.78125,299.0
NHKラジオ_エンジョイ・シンプル・イン,1.145878,1.5025403,29.928986,73.33619,46.669544,49.97824,0.953125,126.0
NHKラジオ_サブノート1日1文！集中ト,1.7642058,2.3002186,46.67868,112.90917,63.75891,74.44892,0.6875,205.0
NYLON_JAPAN,2.805325,8.502167,43.59572,179.5408,221.53943,148.22533,0.78125,208.0
N_original,1.3661032,1.7963946,30.624146,87.4306,60.506172,59.520306,0.875,167.0
ONEPIECE_magazine,0.26166806,0.5293332,3.7108908,16.746756,18.559496,13.005714,0.9375,15.0
ONEPIECE_original,72.962395,143.93324,1014.5956,4669.5933,6511.68,4065.2898,0.59375,5334.0
OZmagazine_original,1.7184536,2.4996312,29.640831,109.98103,58.81241,66.14475,0.75,147.0
PASH_original,1.5559497,3.256929,23.950508,99.58078,81.70235,68.41122,0.859375,92.0
PHP_original,2.4843373,3.577669,51.921455,158.99759,98.736206,103.218414,0.609375,299.0
PHPくらしラク～る_original,1.2123219,1.8011006,23.970974,77.5886,46.00565,49.188404,0.796875,110.0
POTATO_original,2.589994,5.1399765,43.39709,165.75961,125.14062,111.43244,0.828125,194.0
RADIOLIFE_original,1.702884,3.2421718,31.333607,108.98457,85.41452,75.24423,0.75,154.0
SCALE_Aviationoriginal,1.0460846,2.9033146,16.989014,66.94942,64.82474,49.587723,0.890625,67.0
STORY_original,2.6054542,4.661803,71.79642,166.74907,119.50026,119.34858,0.875,330.0
THE21_original,0.9915997,1.3825672,17.016884,63.46238,35.831196,38.770153,0.796875,71.0
TOEICL&RTEST_出る単特急銀,0.8553271,1.0674536,13.436136,54.740936,28.623095,32.26672,0.828125,62.0
TOEICL&RTEST出る単特急金_original,2.0190349,2.435077,44.07615,129.21823,61.812313,78.3689,0.734375,270.0
TVLIFE_首都圏版,26.366718,43.638653,400.012,1687.47,1732.6298,1273.3706,0.65625,1664.0
TVfan_original,9.495619,20.698105,179.45343,607.7196,616.5857,467.9196,0.875,981.0
TVnavi_首都圏版,6.4592896,14.740121,126.72948,413.39453,441.47586,327.19995,0.875,619.0
TVstation_関東版,16.5769,29.082905,230.3178,1060.9216,1080.2328,790.4907,0.546875,1099.0
TVステーション東版_original,3.5431557,4.5530033,33.237534,226.76196,281.34967,180.44972,0.890625,0.0
UOMO_original,1.8646249,3.078142,36.2134,119.33599,76.58899,77.37946,0.84375,178.0
VOCÉ_original,5.033005,14.149733,92.0477,322.11234,301.1283,238.42944,0.671875,340.0
VTuberスタイル_original,1.3107009,2.3665109,23.561882,83.88486,56.324883,54.59054,0.71875,103.0
WINDBRAKER_original,0.5071422,0.7039506,9.513753,32.4571,20.440956,20.803936,0.921875,27.0
WINDBREAKER_original,13.737833,16.912914,262.65085,879.2213,515.218,552.3634,0.5625,691.0
cookpadplus_original,3.5258098,6.6920414,58.156113,225.65182,216.053,166.6203,0.453125,262.0
hanako_original,2.4606283,2.9968224,33.599808,157.48021,111.36658,100.81553,0.859375,193.0
honkowa_original,2.261621,5.1816916,50.0129,144.74374,98.25403,97.67023,0.953125,215.0
inglishexress_original,0.84185165,1.3339574,16.570215,53.878506,31.789974,34.079563,0.890625,70.0
mini_original,0.7664784,1.905524,10.912587,49.05462,56.098457,38.688553,0.96875,47.0
smart_original,1.2478259,2.2557054,21.135002,79.860855,64.959816,55.318558,0.921875,92.0
teskatripoca_original,0.9350873,1.2695651,18.041027,59.84559,35.06108,37.64923,0.921875,87.0
あかね噺_original,4.653095,7.1525807,102.58469,297.79807,200.7214,200.36804,0.671875,54.0
あっという間にかんたん年賀状_2025,9.507982,12.469693,141.60472,608.51086,636.58575,462.2338,0.375,724.0
あっという間に完成_!!筆ぐるめ年,5.1575336,6.8256445,73.73516,330.08215,229.74496,211.18742,0.515625,377.0
あっという間に完成_!!筆まめ年賀,7.221304,9.598394,104.45251,462.16345,482.78284,349.7996,0.40625,532.0
あなたが体験した怖い話_original,1.0665181,2.6080978,21.775167,68.25716,57.62376,49.218693,0.828125,86.0
あなたが殺したのは誰_original,0.23481515,0.33574322,1.8508804,15.02817,32.618507,16.499186,0.53125,5.0
あなたが誰かを殺した_original,0.29975942,0.33694905,3.074253,19.184603,28.795088,17.01798,0.34375,6.0
あなたを疲れから救う休養学_original,0.9636723,1.224137,18.921932,61.675026,35.415367,38.670773,0.90625,78.0
あの星が降る丘で、君とまた出会いたい_original,1.0527042,1.3174583,20.69212,67.37307,36.24316,41.436115,0.9375,88.0
あの花が咲く丘で、君とまた出会えたら_original,1.1139805,1.343171,19.641563,71.294754,41.26908,44.068466,0.828125,88.0
あぶない刑事_DVDコレクション全国,0.180621,0.29195073,1.5141819,11.559744,20.39978,11.157902,0.890625,6.0
ある閉ざされた雪の山荘で_original,0.54987586,0.67443585,7.9739113,35.192055,21.678505,21.614822,0.96875,30.0
いちばんはじめの英文法_超基礎文法編,0.9712173,1.4857733,23.395748,62.157906,40.67953,42.07773,0.90625,108.0
いちばん使いやすい家計ノート_2025,4.666172,6.0312195,75.25241,298.635,279.36948,217.7523,0.421875,384.0
いっしょにあそぼう！まちがいさがし_original,1.1463113,2.0343852,24.442215,73.36392,49.711864,49.17267,0.8125,125.0
いつも幸せな人は、_original,2.3480303,8.839068,41.217525,150.27394,166.02373,119.17173,0.828125,191.0
いのちの車窓から_original,1.1086569,1.5367788,21.127373,70.95404,57.22663,49.76935,0.84375,103.0
いのちをまもる図鑑_original,1.552267,1.9862491,31.121763,99.345085,52.050373,60.83907,0.765625,157.0
うつ蝉_original,0.20884825,0.39889747,2.7705932,13.366288,27.415607,14.517497,1.0,11.0
うるわしの宵の月_original,0.93346584,1.1776443,21.663286,59.741814,50.1204,43.84183,0.984375,66.0
おえかきひめ_original,1.3840616,2.0911007,26.550226,88.57994,57.000282,57.376816,0.796875,111.0
おおきく振りかぶって_original,6.634586,15.521648,85.35675,424.6135,541.1018,350.35733,0.734375,425.0
おしごとそうだんセンター_original,0.7428849,0.943309,13.254992,47.544632,24.96738,28.588999,0.921875,50.0
おしりたんてい_あらたなるかいとう,0.57686645,0.8218514,12.705271,36.919453,26.506804,25.377176,0.875,41.0
