book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,1.5194707,2.1976566,39.615204,97.246124,73.698944,70.18676,0.953125,79.0
171.T'beau7_original,2.3234603,2.9149435,60.049088,148.70146,128.39146,112.38068,0.359375,316.0
2024J1_J2J3選手名鑑original,0.053466797,0.1262148,2.8781447,3.421875,4.9034343,3.7344847,0.984375,1.0
2024プロ野球オール写真_名鑑,0.140625,0.140625,5.2240252,9.0,8.824025,7.6826835,1.0,0.0
20代で得た知見_original,0.958448,1.2270694,18.86788,61.34067,33.295876,37.83481,0.875,81.0
3分クッキング_original,6.1992817,8.469815,125.82254,396.75403,327.64612,283.40756,0.59375,742.0
47都道府県_女ひとりで行ってみよう,0.70410156,0.85499597,11.0322695,45.0625,24.229645,26.774805,0.953125,38.0
52ヘルツのクジラたち_original,1.0869308,1.3826635,23.964584,69.56357,38.31611,43.94809,0.890625,109.0
63.3年卓上日誌_original,3.44943,4.6364074,57.92535,220.76352,279.74896,186.14595,0.296875,278.0
70歳からのスマホの使いこなし術_original,3.636807,5.186534,102.17364,232.75565,139.36014,158.09648,0.765625,560.0
80パターン_英語が止まらない！,0.95825195,1.2439551,18.227615,61.328125,36.684467,38.746735,0.84375,82.0
87歳現役トレーダーシゲルさんの教え_original,0.5888672,0.6896274,9.987948,37.6875,20.568598,22.748016,0.953125,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.7454231,2.492029,39.603386,111.70708,77.162766,76.15774,0.828125,161.0
AIRLINE_original,1.6643319,2.58745,38.965767,106.51724,90.56856,78.68385,0.78125,128.0
B.L.T._original,1.8798182,2.5542717,67.10286,120.308365,93.86946,93.76023,0.9375,103.0
BE-PAL_original,8.540946,15.006121,222.51437,546.62054,488.30392,419.14627,0.90625,563.0
BEGIN_original,2.1444564,3.0009916,45.124973,137.24521,97.962715,93.4443,0.890625,126.0
CAPA_original,1.7186077,2.9328952,53.489674,109.99089,95.43862,86.3064,0.859375,120.0
CARandDRIVER_original,1.0501437,1.7395651,33.59376,67.2092,60.04622,53.616394,0.953125,59.0
CARトップ_original,2.2044632,3.5544662,74.27763,141.08565,126.65645,114.00657,0.9375,147.0
CQハムラジオ_original,1.5875299,1.5893576,39.161728,101.60191,79.80249,73.52204,1.0,0.0
Cut_original,1.9431294,2.9975562,75.95242,124.36028,115.438484,105.2504,0.984375,72.0
Cuugal_original,1.8421504,3.5376482,74.11576,117.89763,126.60813,106.20718,0.953125,90.0
ESSE_original,6.307927,10.727292,186.76193,403.70734,327.50317,305.9908,0.84375,662.0
EX大衆_original,2.287115,4.7285457,56.689476,146.37537,135.53415,112.86633,0.875,138.0
FINEBOYS_original,2.294366,3.0543034,86.671265,146.83942,126.647804,120.052826,0.96875,120.0
FPの教科書_3級,1.0776367,1.452957,28.396235,68.96875,39.350945,45.571976,0.875,131.0
G-works_original,1.1983258,1.8077347,39.575523,76.69285,59.34268,58.537018,0.9375,72.0
GIANKILLING_original,3.829084,3.9824548,164.21515,245.06137,262.2397,223.83875,1.0,60.0
GIAN_KILLINGoriginal,9.015625,21.51562,115.399994,577.0,1038.6,577.0,0.359375,577.0
GINZA_original,1.514446,2.1729276,49.263054,96.924545,72.800476,72.996025,0.9375,95.0
Gファンタジー_original,2.8958766,4.985571,93.16167,185.3361,171.51222,150.00334,0.9375,165.0
J-Wings_original,1.6140215,2.8580759,36.831837,103.29738,92.74782,77.62568,0.859375,105.0
JOOJ_original,5.8125,20.248457,74.4,372.0,669.6,372.0,0.78125,372.0
JOUU_ジュール,1.4801393,2.583138,46.824192,94.72891,90.28755,77.28022,0.9375,83.0
JR時刻表_original,1.7902485,2.0811818,30.820906,114.575905,58.25428,67.8837,0.96875,121.0
JTB_小さな時刻表,2.1619523,3.1570606,92.3564,138.36494,84.18167,104.967674,0.890625,184.0
JTB時刻表_original,2.1582947,2.9307308,43.411354,138.13086,93.36177,91.63467,0.953125,185.0
KINGダム_original,39.328125,100.30695,4710.583,2517.0,3861.965,3696.5159,0.984375,2729.0
Kiss_original,3.4890895,6.1478295,106.53941,223.30173,202.60027,177.48047,0.953125,167.0
LDK_original,5.2633038,6.011206,129.47482,336.85144,223.37218,229.89948,0.984375,374.0
LEE_original,10.820259,22.5341,282.39752,692.4966,695.8074,556.90045,0.828125,779.0
MIX_original,0.4628573,0.5624749,16.485744,29.622868,18.01716,21.375257,0.953125,22.0
MOE_original,4.4437046,10.0714035,161.94199,284.3971,272.7376,239.69221,0.875,338.0
MONOQLO_monocro,1.9737523,2.7388113,45.167015,126.320145,81.67505,84.3874,0.859375,197.0
Myojo_ちっこいMyojo,5.012924,7.5031104,390.9002,320.82715,427.65314,379.7935,0.984375,259.0
NHK_きょうの健康,5.78788,6.743241,192.13527,370.42432,216.17628,259.5786,0.953125,629.0
NHK_しあわせ気分のフランス語,1.852946,2.467431,38.476868,118.58855,80.20531,79.09024,0.765625,137.0
NHK_すてきにハンドメイド,5.461738,7.116785,127.117874,349.55124,212.00201,229.55705,0.90625,596.0
NHK_ハングル講座書いてマスター！,1.5791266,1.7775165,14.408067,101.0641,54.299835,56.590668,0.984375,39.0
NHK_俳句,2.452235,3.6666582,64.87555,156.94304,117.475395,113.09799,0.953125,140.0
NHK_短歌,0.79507065,1.163332,26.387167,50.88452,38.884308,38.718666,0.984375,51.0
NHKテキスト_囲碁講座,2.059466,2.1316352,15.240665,131.80582,67.96298,71.66982,1.0,18.0
NHKテレビハングルッ！_ナビ,2.433312,3.2112143,42.021133,155.73196,95.97046,97.90786,0.796875,208.0
NHKテレビ中国語！_ナビ,2.568262,3.4635785,50.096107,164.36877,112.84849,109.104454,0.890625,150.0
