book_name,z_thresh,context_length,n_days,n_spike,spike_ratio,MAE_spike,RMSE_spike,MAE_non_spike,RMSE_non_spike
15の愛情物語_original,2.0,128,64,2,0.03125,9.458272933959961,9.458272933959961,1.2633802890777588,1.4490411281585693
171.T'beau7_original,2.0,128,64,22,0.34375,3.928919792175293,4.316972255706787,1.482505202293396,1.7848825454711914
2024J1_J2J3選手名鑑original,2.0,128,64,1,0.015625,0.9609375,0.9609375,0.0390625,0.0390625
2024プロ野球オール写真_名鑑,2.0,128,64,0,0.0,,,0.140625,0.140625
20代で得た知見_original,2.0,128,64,3,0.046875,3.4611833095550537,3.587293863296509,0.8353626728057861,0.9730694890022278
3分クッキング_original,2.0,128,64,9,0.140625,17.764842987060547,18.204177856445312,4.306735038757324,5.408222675323486
47都道府県_女ひとりで行ってみよう,2.0,128,64,3,0.046875,2.1171875,2.1171875,0.6346055269241333,0.7392697930335999
52ヘルツのクジラたち_original,2.0,128,64,5,0.078125,3.320422649383545,3.3437864780426025,0.8976519107818604,1.0612432956695557
63.3年卓上日誌_original,2.0,128,64,25,0.390625,6.126319408416748,6.807707786560059,1.7334753274917603,2.3595924377441406
70歳からのスマホの使いこなし術_original,2.0,128,64,3,0.046875,16.318384170532227,16.5424861907959,3.01312255859375,3.84248685836792
80パターン_英語が止まらない！,2.0,128,64,4,0.0625,3.2578125,3.2959585189819336,0.8049479126930237,0.9624775648117065
87歳現役トレーダーシゲルさんの教え_original,2.0,128,64,3,0.046875,2.1354167461395264,2.1868302822113037,0.5128073692321777,0.5135989785194397
898ぴきせいぞろい！ポケモン大図鑑_original,2.0,128,64,6,0.09375,6.3754119873046875,6.625459671020508,1.2664586305618286,1.520396113395691
AIRLINE_original,2.0,128,64,8,0.125,6.016711235046387,6.300858020782471,1.0425634384155273,1.407042145729065
B.L.T._original,2.0,128,64,1,0.015625,9.211816787719727,9.211816787719727,1.7634371519088745,2.298025131225586
BE-PAL_original,2.0,128,64,4,0.0625,49.60982894897461,53.34653854370117,5.803019046783447,7.104391098022461
BEGIN_original,2.0,128,64,4,0.0625,9.260269165039062,9.350940704345703,1.6700687408447266,1.9434524774551392
CAPA_original,2.0,128,64,4,0.0625,9.793773651123047,9.920584678649902,1.1802634000778198,1.6168279647827148
CARandDRIVER_original,2.0,128,64,3,0.046875,6.6159348487854,6.830774784088135,0.7764163017272949,0.9381802082061768
CARトップ_original,2.0,128,64,4,0.0625,12.127896308898926,12.403059005737305,1.5429012775421143,1.794655203819275
CQハムラジオ_original,2.0,128,64,0,0.0,,,1.5875298976898193,1.589357614517212
Cut_original,2.0,128,64,2,0.03125,12.212587356567383,13.606942176818848,1.6118568181991577,1.8173189163208008
Cuugal_original,2.0,128,64,2,0.03125,17.950054168701172,18.012619018554688,1.3225407600402832,1.5660114288330078
ESSE_original,2.0,128,64,4,0.0625,33.93645095825195,35.308441162109375,4.466024875640869,6.295558452606201
EX大衆_original,2.0,128,64,4,0.0625,14.265151977539062,17.39776039123535,1.488579273223877,1.9159725904464722
FINEBOYS_original,2.0,128,64,1,0.015625,14.012896537780762,14.012896537780762,2.1083571910858154,2.5219037532806396
FPの教科書_3級,2.0,128,64,4,0.0625,3.890625,3.977997303009033,0.8901041746139526,1.094010353088379
G-works_original,2.0,128,64,3,0.046875,5.924755573272705,6.091200828552246,0.965878427028656,1.2664506435394287
GIANKILLING_original,2.0,128,64,1,0.015625,0.8949732780456543,0.8949732780456543,3.875657081604004,4.01235294342041
GIAN_KILLINGoriginal,2.0,128,64,4,0.0625,54.75,57.269100189208984,5.9666666984558105,16.587142944335938
GINZA_original,2.0,128,64,2,0.03125,8.469738960266113,8.52856731414795,1.2900816202163696,1.5898388624191284
Gファンタジー_original,2.0,128,64,2,0.03125,23.315906524658203,23.33734130859375,2.237165927886963,2.8441107273101807
J-Wings_original,2.0,128,64,4,0.0625,9.812142372131348,10.097803115844727,1.067480206489563,1.3840020895004272
JOOJ_original,2.0,128,64,3,0.046875,44.0,46.9112663269043,3.9344263076782227,17.94253158569336
JOUU_ジュール,2.0,128,64,4,0.0625,9.288473129272461,9.410161018371582,0.9595835208892822,1.1018322706222534
JR時刻表_original,2.0,128,64,0,0.0,,,1.7902485132217407,2.081181764602661
JTB_小さな時刻表,2.0,128,64,3,0.046875,9.100322723388672,9.149030685424805,1.8207210302352905,2.518052101135254
JTB時刻表_original,2.0,128,64,2,0.03125,11.403860092163086,11.403860092163086,1.8600504398345947,2.161285638809204
KINGダム_original,2.0,128,64,4,0.0625,352.0,363.55535888671875,18.483333587646484,43.82636260986328
Kiss_original,2.0,128,64,3,0.046875,23.945220947265625,25.43480110168457,2.4830503463745117,2.7997207641601562
LDK_original,2.0,128,64,3,0.046875,10.862048149108887,11.35222339630127,4.987955570220947,5.61904764175415
LEE_original,2.0,128,64,4,0.0625,72.70797729492188,81.57041931152344,6.694410800933838,9.902318000793457
MIX_original,2.0,128,64,1,0.015625,1.7193747758865356,1.7193747758865356,0.44291257858276367,0.5239039063453674
MOE_original,2.0,128,64,6,0.09375,24.448593139648438,31.324209213256836,2.3742330074310303,3.228339910507202
MONOQLO_monocro,2.0,128,64,5,0.078125,7.241130828857422,7.469535827636719,1.5273641347885132,1.8462040424346924
Myojo_ちっこいMyojo,2.0,128,64,0,0.0,,,5.0129241943359375,7.503110408782959
NHK_きょうの健康,2.0,128,64,5,0.078125,13.410980224609375,13.52975845336914,5.141854286193848,5.814784049987793
NHK_しあわせ気分のフランス語,2.0,128,64,5,0.078125,6.008913993835449,6.042529582977295,1.5007452964782715,1.8734766244888306
NHK_すてきにハンドメイド,2.0,128,64,4,0.0625,18.997562408447266,19.15972137451172,4.55935001373291,5.43619441986084
NHK_ハングル講座書いてマスター！,2.0,128,64,1,0.015625,6.118076324462891,6.118076324462891,1.507080316543579,1.617274284362793
NHK_俳句,2.0,128,64,2,0.03125,16.448322296142578,16.56947135925293,2.0007481575012207,2.2409162521362305
NHK_短歌,2.0,128,64,1,0.015625,6.005456447601318,6.005456447601318,0.7123658657073975,0.8957424759864807
