KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001140001,T001140002,T001140003,T001140004,T001140005,T001140006,T001140007,T001140008,T001140009,T001140010,T001140011,T001140012,T001140013,T001140014,T001140015,T001140016,T001140017,T001140018,T001140019,T001140020,T001140021,T001140022,T001140023,T001140024,T001140025,T001140026,T001140027,T001140028,T001140029,T001140030,T001140031,T001140032,T001140033,T001140034,T001140035,T001140036,T001140037,T001140038,T001140039,T001140040,T001140041,T001140042,T001140043,T001140044,T001140045,T001140046,T001140047,T001140048,T001140049,T001140050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
55400000,0,,,153,76,77,7,3,4,146,73,73,78,42,36,145,72,73,144,72,72,68,31,37,33,13,20,10,3,7,1,0,1,0,0,0,53,53,10,14,12,10,4,2,1,43,25,18,2,43,0,6,5
55400001,0,,,189,88,101,11,8,3,178,80,98,102,46,56,175,80,95,170,77,93,76,34,42,28,11,17,12,4,8,0,0,0,0,0,0,61,61,6,20,17,5,7,5,1,54,34,20,1,46,0,5,8
55400002,0,,,77,41,36,7,6,1,70,35,35,36,20,16,67,32,35,66,32,34,34,15,19,18,6,12,6,1,5,0,0,0,0,0,0,24,24,1,6,9,5,2,0,1,23,15,8,1,19,0,1,4
55400003,0,,,170,83,87,15,8,7,155,75,80,89,44,45,152,73,79,149,72,77,66,31,35,28,10,18,11,3,8,0,0,0,0,0,0,54,54,5,21,11,4,5,7,1,48,32,16,6,40,0,5,12
55400004,0,,,101,47,54,14,7,7,87,40,47,56,26,30,82,36,46,81,36,45,31,14,17,12,2,10,4,0,4,0,0,0,1,0,1,40,40,6,18,8,6,1,1,0,33,27,6,3,21,0,3,10
55400005,0,,,113,61,52,13,6,7,100,55,45,58,33,25,100,55,45,100,55,45,42,22,20,21,12,9,6,3,3,0,0,0,0,0,0,34,34,3,10,5,10,2,3,1,31,19,12,2,26,0,1,5
55400006,0,,,65,35,30,5,2,3,60,33,27,50,29,21,53,29,24,52,29,23,10,4,6,4,1,3,1,0,1,0,0,0,0,0,0,12,9,1,1,0,3,1,1,2,8,2,6,0,6,0,1,0
55400007,0,,,209,131,78,18,14,4,191,117,74,149,97,52,181,109,72,179,108,71,42,20,22,22,6,16,10,0,10,1,0,1,1,1,0,44,37,11,9,10,6,0,1,0,26,17,9,1,26,0,6,1
55400008,0,,,405,207,198,73,41,32,332,166,166,223,117,106,320,158,162,315,155,160,109,49,60,49,16,33,16,6,10,0,0,0,4,2,2,165,165,52,44,30,23,14,1,1,112,94,18,10,77,0,26,20
