,count,mean,min,25%,50%,75%,max,std
日付,1663836,2024-07-01 12:00:00.000000512,2024-01-01 00:00:00,2024-04-01 00:00:00,2024-07-01 12:00:00,2024-10-01 00:00:00,2024-12-31 00:00:00,
POS販売冊数,1663836.0,0.4370451867580414,0.0,0.0,0.0,0.6931471824645996,8.774158477783203,0.7127575278282166
本体価格,1663836.0,971.07763671875,91.0,680.0,845.0,1200.0,4980.0,440.10809326171875
month_sin,1663836.0,-0.0030002128332853317,-1.0,-0.8660253882408142,-2.4492937051703357e-16,0.5,1.0,0.7061339616775513
month_cos,1663836.0,-0.001000073505565524,-1.0,-0.8660253882408142,-6.123234262925839e-17,0.8660253882408142,1.0,0.7080716490745544
dayofweek,1663836.0,2.9863387978142075,0.0,1.0,3.0,5.0,6.0,2.0033664132962983
day_sin,1663836.0,0.0005499967373907566,-0.9987165331840515,-0.7247927784919739,-2.4492937051703357e-16,0.7247927784919739,0.9987165331840515,0.7128015160560608
day_cos,1663836.0,-0.01633751206099987,-0.9948693513870239,-0.7587581276893616,-0.05064916983246803,0.6889669299125671,1.0,0.7011756896972656
is_holiday,1663836.0,0.05737704783678055,0.0,0.0,0.0,0.0,1.0,0.23256172239780426
momentum,1663836.0,1.0065821409225464,0.0,0.1448979526758194,0.6627393364906311,1.1583011150360107,12.857142448425293,1.5990482568740845
volatility,1663836.0,2.3778581619262695,0.0,0.525306224822998,0.8870050311088562,2.0800254344940186,1319.827392578125,8.278818130493164
z_score,1663836.0,0.0578497052192688,-10.0,-0.5440384149551392,-0.27764861285686493,0.042591964825987816,10.0,1.204113245010376
days_since_spike_2.0,1663836.0,36.36211982430961,0.0,2.0,14.0,47.0,363.0,53.119409387576475
days_since_spike_2.5,1663836.0,44.23235463110547,0.0,2.0,20.0,61.0,363.0,59.81109833446501
days_since_spike_3.0,1663836.0,53.33558355511,0.0,2.0,26.0,79.0,363.0,67.45509425176304
log_price,1663836.0,6.789372444152832,4.521788597106934,6.523562431335449,6.7405195236206055,7.090909957885742,8.513385772705078,0.4201892018318176
大分類_POS販売冊数_relative,1663836.0,0.01792232133448124,-1.7309963703155518,-0.3740798532962799,-0.2937283217906952,0.36312562227249146,8.193368911743164,0.6907105445861816
大分類_POS販売冊数_z_score,1663836.0,-0.8925259709358215,-10.0,-6.071165561676025,-3.245481014251709,4.002352237701416,10.0,6.022853851318359
中分類_POS販売冊数_relative,1663836.0,0.01792232133448124,-1.8328628540039062,-0.37128978967666626,-0.28431111574172974,0.3526686131954193,7.940164089202881,0.6815873384475708
中分類_POS販売冊数_z_score,1663836.0,-0.531071126461029,-10.0,-4.456614971160889,-2.4422683715820312,3.10296630859375,10.0,5.180063724517822
小分類_POS販売冊数_relative,1663836.0,0.01792231947183609,-2.6576650142669678,-0.38066548109054565,-0.24273331463336945,0.3509312719106674,7.5788187980651855,0.6683481335639954
小分類_POS販売冊数_z_score,1663836.0,-0.09606251865625381,-10.0,-2.6378161907196045,-1.24329274892807,1.8803018927574158,10.0,3.7413909435272217
大分類_log_price_relative,1663836.0,3.0520585170279446e-08,-2.152981758117676,-0.15112638473510742,0.011843204498291016,0.1551675796508789,1.5776433944702148,0.33165252208709717
大分類_log_price_z_score,1663836.0,0.03146756812930107,-5.504047870635986,-0.5665104985237122,0.053162574768066406,0.5381858944892883,47.6837158203125,1.5788218975067139
中分類_log_price_relative,1663836.0,7.776880295295996e-08,-2.133439064025879,-0.14091873168945312,-0.026906251907348633,0.13796615600585938,1.6008734703063965,0.3093249201774597
中分類_log_price_z_score,1663836.0,0.031467728316783905,-3.9565813541412354,-0.5535970330238342,-0.12415437400341034,0.49799203872680664,47.6837158203125,1.5707200765609741
小分類_log_price_relative,1663836.0,-2.1863304056068955e-08,-1.2548108100891113,-0.08239221572875977,0.0,0.07898092269897461,1.2583017349243164,0.21889710426330566
小分類_log_price_z_score,1663836.0,-0.020978255197405815,-47.6837158203125,-0.585695743560791,0.0,0.5773482322692871,47.6837158203125,3.2939560413360596
