book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,0.90625,1.7320508075688772,16.0,58.0,33.0,35.666666666666664,0.921875,79
171.T'beau7_original,4.5625,5.370637764735209,63.2,292.0,238.0,197.73333333333335,0.4375,316
2024J1_J2J3選手名鑑original,0.015625,0.125,0.2,1.0,18.799999999999994,6.666666666666664,1.0,1
2024プロ野球オール写真_名鑑,0.0,0.0,0.0,0.0,11.599999999999998,3.866666666666666,1.0,0
20代で得た知見_original,0.921875,1.2562344526401112,16.2,59.0,33.599999999999994,36.266666666666666,0.921875,81
2_5次元の誘惑original,3.671875,4.556931533389546,28.400000000000002,235.0,221.79999999999995,161.73333333333332,0.890625,102
3分クッキング_original,6.25,8.287792227125388,121.60000000000001,400.0,272.4,264.6666666666667,0.625,742
47都道府県_女ひとりで行ってみよう,0.5625,0.9519716382329886,7.6000000000000005,36.0,23.599999999999998,22.400000000000002,0.921875,38
52ヘルツのクジラたち_original,1.09375,1.3693063937629153,21.8,70.0,60.999999999999986,50.93333333333333,1.0,109
63.3年卓上日誌_original,3.703125,4.768057780690163,57.2,237.0,148.6,147.6,0.71875,278
70歳からのスマホの使いこなし術_original,5.109375,6.865903072429729,96.80000000000001,327.0,296.4,240.0666666666667,0.5625,560
80パターン_英語が止まらない！,0.875,1.2747548783981961,16.4,56.0,34.8,35.733333333333334,0.890625,82
87歳現役トレーダーシゲルさんの教え_original,7.15625,7.388758353065825,97.60000000000002,458.0,267.79999999999995,274.46666666666664,0.34375,26
898ぴきせいぞろい！ポケモン大図鑑_original,1.5,2.222048604328897,29.6,96.0,55.99999999999999,60.53333333333333,0.9375,161
AIRLINE_original,1.578125,2.414150989478496,24.8,101.0,71.2,65.66666666666667,0.796875,128
B.L.T._original,0.8125,1.5612494995995996,19.6,52.0,44.79999999999999,38.79999999999999,1.0,103
BE-PAL_original,5.625,13.631305880215585,96.8,360.0,219.6,225.46666666666667,0.78125,563
BEGIN_original,1.25,2.0077973005261263,22.400000000000002,80.0,48.599999999999994,50.333333333333336,0.890625,126
CAPA_original,1.4375,2.7271780286589284,23.4,92.0,63.8,59.73333333333333,0.78125,120
CARandDRIVER_original,0.859375,1.8328597873268975,11.600000000000001,55.0,36.39999999999999,34.33333333333333,0.953125,59
CARトップ_original,1.53125,3.225871975140985,28.400000000000002,98.0,54.199999999999996,60.199999999999996,0.90625,147
COSMOS_original,1.6875,2.229069312515876,17.8,108.0,74.6,66.8,0.9375,89
CQハムラジオ_original,2.09375,6.207354508967568,38.0,134.0,98.8,90.26666666666667,0.890625,202
Cut_original,1.078125,3.0388114452858046,15.2,69.0,47.8,44.0,0.96875,72
Cuugal_original,1.375,3.795556612672244,18.0,88.0,97.6,67.86666666666666,0.890625,90
ESSE_original,5.421875,7.680128579652817,111.80000000000001,347.0,176.2,211.66666666666666,0.640625,662
EX大衆_original,1.734375,4.525966747557918,27.200000000000003,111.0,67.79999999999998,68.66666666666666,0.90625,138
FINEBOYS_original,1.5625,2.7613402542968153,24.6,100.0,91.19999999999996,71.93333333333332,0.921875,120
FPの教科書_3級,1.1875,1.6770509831248424,26.200000000000003,76.0,40.39999999999999,47.53333333333333,0.90625,131
G-works_original,0.953125,1.824314939915803,14.200000000000001,61.0,41.599999999999994,38.93333333333333,0.90625,72
GIANKILLING_original,9.28125,10.228636272739392,40.2,594.0,651.5999999999999,428.59999999999997,0.765625,60
GIAN_KILLINGoriginal,9.046875,21.525058071930957,115.80000000000001,579.0,970.0,554.9333333333333,0.421875,579
GINZA_original,0.75,1.4684175155588413,17.200000000000003,48.0,31.599999999999994,32.266666666666666,1.0,95
Gファンタジー_original,1.78125,4.616546328154847,29.6,114.0,79.6,74.39999999999999,0.921875,165
J-Wings_original,1.28125,2.6040833319999575,20.800000000000004,82.0,66.6,56.46666666666667,0.78125,105
JOOJ_original,6.15625,20.325476624177846,78.80000000000001,394.0,696.8,389.8666666666666,0.59375,394
JOUU_ジュール,0.84375,1.6583123951777,15.000000000000002,54.0,34.599999999999994,34.53333333333333,0.953125,83
JR時刻表_original,2.078125,2.896657556564117,23.400000000000002,133.0,91.19999999999996,82.53333333333332,0.953125,121
JTB_小さな時刻表,1.96875,3.005203820042827,36.80000000000001,126.0,66.79999999999998,76.53333333333333,0.96875,184
JTB時刻表_original,3.453125,4.086945681067954,39.00000000000001,221.0,146.39999999999995,135.46666666666667,0.875,185
J⇔M_original,1.046875,1.4523687548277813,11.400000000000002,67.0,70.79999999999998,49.73333333333333,0.984375,57
KINGダム_original,45.84375,113.13915657277988,622.0,2934.0,3350.8,2302.266666666667,0.703125,3224
Kiss_original,1.734375,5.718664616848937,30.400000000000002,111.0,67.8,69.73333333333333,0.921875,167
LDK_original,2.796875,3.946913350961736,64.60000000000001,179.0,73.6,105.73333333333335,0.90625,419
LEE_original,9.359375,21.43194169924881,151.8,599.0,440.99999999999994,397.26666666666665,0.6875,779
MIX_original,2.1875,2.5678298230217673,5.0,140.0,388.79999999999995,177.9333333333333,1.0,25
MOE_original,3.984375,10.181938666089087,70.0,255.0,277.4,200.79999999999998,0.859375,338
MONOQLO_monocro,1.578125,2.361805453461398,35.0,101.0,43.99999999999999,60.0,0.921875,197
Myojo_ちっこいMyojo,1368.875,1961.9251626272599,21817.8,87608.0,78434.39999999998,62620.06666666666,0.28125,259
NHK_きょうの健康,4.296875,6.0711922222904455,101.4,275.0,124.6,167.0,0.8125,629
NHK_しあわせ気分のフランス語,1.78125,2.436698586202241,28.6,114.0,76.19999999999999,72.93333333333332,0.8125,137
NHK_すてきにハンドメイド,3.796875,5.481502987320175,90.0,243.0,108.59999999999998,147.2,0.859375,596
NHK_ハングル講座書いてマスター！,1.671875,2.190176933491904,27.0,107.0,57.79999999999999,63.93333333333333,0.78125,39
NHK_俳句,1.203125,2.6070817018267762,23.200000000000003,77.0,46.19999999999999,48.79999999999999,0.984375,140
NHK_短歌,0.5625,1.015504800579495,11.600000000000001,36.0,23.999999999999993,23.866666666666664,0.984375,51
NHKテキスト_囲碁講座,2.265625,2.8804296554507283,55.2,145.0,72.59999999999998,90.93333333333332,0.671875,18
NHKテレビハングルッ！_ナビ,1.65625,2.5310570914145734,40.0,106.0,60.79999999999999,68.93333333333332,0.921875,208
NHKテレビ中国語！_ナビ,1.421875,2.3217719526258387,27.800000000000004,91.0,52.19999999999999,57.0,0.953125,150
NHKラジオ_まいにちイタリア語,1.5625,3.1573327350787723,38.00000000000001,100.0,70.39999999999998,69.46666666666665,0.953125,213
NHKラジオ_まいにちスペイン語,1.9375,3.254804141572884,36.800000000000004,124.0,81.79999999999998,80.86666666666666,0.921875,199
NHKラジオ_まいにちドイツ語,1.5,2.29128784747792,28.000000000000004,96.0,63.19999999999999,62.4,0.953125,177
NHKラジオ_まいにちハングル講座,1.75,2.6457513110645907,31.200000000000006,112.0,70.19999999999999,71.13333333333334,0.9375,182
NHKラジオ_まいにちフランス語,2.359375,4.3857011982122085,45.0,151.0,102.39999999999998,99.46666666666665,0.9375,290
NHKラジオ_まいにちロシア語,0.625,1.1989578808281798,12.6,40.0,27.999999999999993,26.866666666666664,0.984375,67
NHKラジオ_まいにち中国語,2.046875,3.461845606031557,43.0,131.0,94.39999999999998,89.46666666666665,0.96875,299
NHKラジオ_エンジョイ・シンプル・イン,2.703125,3.4346579160085215,40.6,173.0,130.59999999999997,114.7333333333333,0.84375,126
NHKラジオ_サブノート1日1文！集中ト,2.109375,2.6190408549696205,38.6,135.0,120.79999999999998,98.13333333333333,0.953125,205
NYLON_JAPAN,2.734375,8.713315958921724,41.0,175.0,183.2,133.06666666666666,0.84375,208
N_original,1.5625,2.1937410968480306,37.2,100.0,66.59999999999998,67.93333333333332,0.96875,209
ONEPIECE_magazine,3.78125,10.675614736398087,48.400000000000006,242.0,433.40000000000003,241.26666666666665,0.46875,242
ONEPIECE_original,89.0625,222.5132720760719,1309.8000000000002,5700.0,6523.0,4510.933333333333,0.921875,7273
OZmagazine_original,1.8125,2.5617376914898995,29.4,116.0,61.399999999999984,68.93333333333332,0.9375,147
PASH_original,1.1875,3.292984968079873,22.400000000000002,76.0,47.599999999999994,48.666666666666664,0.921875,92
PHP_original,2.40625,3.5794552658190883,57.0,154.0,66.0,92.33333333333333,0.875,299
PHPくらしラク～る_original,1.09375,1.713913650100261,20.200000000000003,70.0,34.8,41.666666666666664,0.984375,110
POTATO_original,1.875,3.766629793329841,40.2,120.0,88.39999999999999,82.86666666666666,0.953125,194
RADIOLIFE_original,1.5,3.24037034920393,28.800000000000004,96.0,59.8,61.53333333333334,0.90625,154
SCALE_Aviationoriginal,1.078125,3.0129926982984876,15.000000000000002,69.0,75.80000000000001,53.26666666666667,0.90625,67
SLAM_DUNK新装再編版,5.0625,6.630893604937422,64.2,324.0,319.59999999999997,235.9333333333333,0.96875,325
STORY_original,2.921875,5.395310463726809,65.60000000000001,187.0,130.79999999999998,127.8,0.90625,330
THE21_original,0.8125,1.1858541225631423,14.0,52.0,33.99999999999999,33.333333333333336,0.96875,71
TOEICL&RTEST_出る単特急銀,0.859375,1.125,12.400000000000002,55.0,28.799999999999997,32.06666666666667,0.9375,62
TOEICL&RTEST出る単特急金_original,1.703125,2.3217719526258387,42.60000000000001,109.0,48.8,66.80000000000001,0.9375,270
