book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,1.0203147,2.1523597,17.765041,65.30014,37.937126,40.334103,0.46875,79.0
171.T'beau7_original,4.250639,5.063751,62.79061,272.0409,406.13425,246.98859,0.109375,316.0
2024J1_J2J3選手名鑑original,0.23604916,0.3283203,0.45604017,15.107146,50.507095,22.023428,1.0,1.0
2024プロ野球オール写真_名鑑,1.606452,1.8674877,0.93885076,102.81293,270.53485,124.76221,0.6875,0.0
20代で得た知見_original,0.9396882,1.2452947,16.63447,60.140045,32.833,36.53584,0.765625,81.0
2_5次元の誘惑original,1.259378,1.6146734,21.246098,80.60019,51.774323,51.206867,0.84375,102.0
3分クッキング_original,5.924391,8.229848,115.97737,379.161,247.15544,247.43127,0.578125,742.0
47都道府県_女ひとりで行ってみよう,0.6094397,0.8396558,7.8988557,39.00414,22.706762,23.203253,0.828125,38.0
52ヘルツのクジラたち_original,1.0735855,1.3523834,22.303753,68.70947,37.822765,42.94533,0.890625,109.0
63.3年卓上日誌_original,4.0777254,5.258612,55.807987,260.97443,401.8595,239.5473,0.140625,278.0
70歳からのスマホの使いこなし術_original,5.358918,7.0693192,106.149635,342.97076,270.91986,240.01343,0.546875,560.0
80パターン_英語が止まらない！,0.964724,1.3318847,17.05199,61.742336,40.103294,39.63254,0.71875,82.0
87歳現役トレーダーシゲルさんの教え_original,1.931931,2.1482408,6.2354307,123.643585,66.009575,65.296196,0.625,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.4677806,2.276244,32.02153,93.93796,56.86303,60.940838,0.859375,161.0
AIRLINE_original,1.6071761,2.463364,26.375029,102.85927,64.03411,64.4228,0.6875,128.0
B.L.T._original,0.9071834,1.7205707,19.856365,58.05974,40.94628,39.620796,0.671875,103.0
BE-PAL_original,5.231911,11.565941,99.74326,334.84232,211.09042,215.22534,0.734375,563.0
BEGIN_original,1.3381408,2.0603511,24.724985,85.641014,44.687294,51.68443,0.703125,126.0
CAPA_original,1.412242,2.7988582,23.730833,90.38349,57.017174,57.043835,0.71875,120.0
CARandDRIVER_original,0.8502579,1.806341,12.63401,54.416504,30.326883,32.459133,0.578125,59.0
CARトップ_original,1.5972192,3.456427,30.07101,102.22203,50.143486,60.812176,0.625,147.0
COSMOS_original,1.6682074,2.266898,18.572262,106.765274,72.93897,66.09217,0.5,89.0
CQハムラジオ_original,1.9371715,5.904458,38.939453,123.97897,77.09856,80.00566,0.78125,202.0
Cut_original,0.92697436,2.8364978,14.223336,59.32636,45.754955,39.76822,0.96875,72.0
Cuugal_original,1.3042791,3.540287,18.255379,83.47386,72.91348,58.214245,0.828125,90.0
ESSE_original,5.757262,9.709427,113.98863,368.46478,174.59404,219.01582,0.59375,662.0
EX大衆_original,1.6340346,4.61527,27.200844,104.57822,80.8801,70.88638,0.859375,138.0
FINEBOYS_original,1.3810823,2.2540884,22.540777,88.38927,61.767864,57.565968,0.84375,120.0
FPの教科書_3級,1.0744134,1.45467,26.636765,68.76246,45.120438,46.839886,0.859375,131.0
G-works_original,0.80605793,1.5253723,14.347973,51.587708,32.02526,32.65365,0.90625,72.0
GIANKILLING_original,2.1708724,2.9918528,16.773615,138.93584,141.54897,99.08614,0.75,60.0
GIAN_KILLINGoriginal,8.9671,21.335548,116.2039,573.8944,854.70703,514.9351,0.640625,579.0
GINZA_original,0.80871,1.1708349,17.633144,51.75744,29.855543,33.082043,0.71875,95.0
Gファンタジー_original,1.7863618,4.4933996,30.797638,114.327156,87.27846,77.46775,0.625,165.0
J-Wings_original,1.2039927,2.3976753,20.52972,77.055534,60.866543,52.817265,0.703125,105.0
JOOJ_original,6.158258,20.283104,79.46918,394.1285,641.19684,371.59818,0.78125,394.0
JOUU_ジュール,0.9269729,1.9570957,15.799871,59.326267,29.187946,34.771362,0.5,83.0
JR時刻表_original,1.4010587,1.8762773,27.888008,89.667755,54.886738,57.480835,0.765625,121.0
JTB_小さな時刻表,2.2700274,3.3352573,37.824722,145.28175,110.20109,97.76919,0.78125,184.0
JTB時刻表_original,2.0821655,3.0672474,34.57612,133.25859,101.4395,89.75808,0.8125,185.0
J⇔M_original,1.0262042,1.5352176,12.232006,65.67707,55.288742,44.399273,0.953125,57.0
KINGダム_original,45.346756,114.99132,611.37274,2902.1924,4401.3125,2638.2927,0.65625,3224.0
Kiss_original,1.5782564,5.291413,32.052544,101.00841,70.36915,67.81003,0.765625,167.0
LDK_original,2.7672646,4.342871,66.577225,177.10493,88.01261,110.56492,0.859375,419.0
LEE_original,9.546795,21.730545,151.23518,610.9949,625.91815,462.71606,0.53125,779.0
MIX_original,0.6003712,0.8666832,5.6863337,38.423756,84.89113,43.00041,0.984375,25.0
MOE_original,4.1204453,10.251731,66.23784,263.7085,299.78815,209.9115,0.71875,338.0
MONOQLO_monocro,1.6180584,2.4788978,36.711063,103.55574,43.874893,61.380566,0.8125,197.0
Myojo_ちっこいMyojo,3.8324451,8.334459,52.91748,245.27649,307.59766,201.93054,0.59375,259.0
NHK_きょうの健康,3.9098492,5.6562905,89.09825,250.23035,109.334885,149.5545,0.75,629.0
NHK_しあわせ気分のフランス語,1.5938375,2.41988,28.026085,102.0056,53.533638,61.188435,0.828125,137.0
NHK_すてきにハンドメイド,3.6858683,5.7130003,90.57116,235.89557,93.71887,140.06187,0.859375,596.0
NHK_ハングル講座書いてマスター！,1.3634112,1.6539943,24.19704,87.258316,48.939713,53.465023,0.515625,39.0
NHK_俳句,1.2107372,2.746888,24.6022,77.48718,35.149055,45.746143,0.703125,140.0
NHK_短歌,0.599411,1.0006981,10.419889,38.362305,28.57215,25.784782,0.96875,51.0
NHKテキスト_囲碁講座,1.6592205,2.0229542,36.88951,106.19011,54.576733,65.88545,0.375,18.0
NHKテレビハングルッ！_ナビ,1.854975,2.924782,40.76436,118.7184,82.37407,80.61894,0.796875,208.0
NHKテレビ中国語！_ナビ,1.7295141,2.9745724,30.859974,110.6889,59.23769,66.928856,0.734375,150.0
NHKラジオ_まいにちイタリア語,1.8577504,3.785209,39.5483,118.89603,72.11732,76.85388,0.875,213.0
NHKラジオ_まいにちスペイン語,1.9775385,3.5800443,42.952686,126.56246,80.018486,83.17788,0.6875,199.0
NHKラジオ_まいにちドイツ語,1.6306248,2.5861888,30.939404,104.359985,58.43444,64.57794,0.75,177.0
NHKラジオ_まいにちハングル講座,1.4867108,2.4417322,32.281204,95.14949,62.34104,63.257244,0.875,182.0
NHKラジオ_まいにちフランス語,2.4903867,4.919829,45.44347,159.38475,121.40445,108.744225,0.796875,290.0
NHKラジオ_まいにちロシア語,0.7464546,1.2358093,12.691318,47.773094,35.77872,32.081043,0.890625,67.0
NHKラジオ_まいにち中国語,2.3468752,4.206006,46.111202,150.20001,88.105255,94.80549,0.796875,299.0
NHKラジオ_エンジョイ・シンプル・イン,1.9461104,2.2709808,35.855392,124.55106,87.15334,82.519936,0.703125,126.0
NHKラジオ_サブノート1日1文！集中ト,2.2822099,2.8363316,44.901394,146.06143,92.18467,94.3825,0.765625,205.0
NYLON_JAPAN,2.689515,8.582796,41.224304,172.12897,190.17426,134.50917,0.375,208.0
N_original,1.8959208,2.5053573,36.74932,121.33893,76.701004,78.263084,0.875,209.0
ONEPIECE_magazine,3.9903235,10.487697,49.111805,255.3807,313.888,206.12683,0.59375,242.0
ONEPIECE_original,103.846756,271.03943,1416.0486,6646.1924,10995.018,6352.4194,0.140625,7273.0
OZmagazine_original,1.8623271,2.61736,30.243828,119.188934,66.15765,71.86347,0.828125,147.0
PASH_original,1.1151869,3.0792913,19.966541,71.37196,29.842308,40.393604,0.53125,92.0
PHP_original,2.3852248,3.5424376,50.82289,152.65439,67.02095,90.16608,0.6875,299.0
PHPくらしラク～る_original,1.039423,1.5688993,20.69315,66.52307,34.79447,40.67023,0.828125,110.0
POTATO_original,2.0121574,4.6053166,38.209732,128.77808,96.13875,87.708855,0.859375,194.0
RADIOLIFE_original,1.5456533,3.4666092,28.538916,98.921814,70.99335,66.15136,0.515625,154.0
SCALE_Aviationoriginal,1.1579089,2.9174993,14.3854475,74.10617,69.551735,52.681118,0.8125,67.0
SLAM_DUNK新装再編版,4.9774055,6.8010287,71.91078,318.55396,221.80136,204.0887,0.71875,325.0
STORY_original,2.802636,5.213903,61.70052,179.3687,131.15665,124.07529,0.796875,330.0
THE21_original,0.8583977,1.2778677,14.3880205,54.937454,33.06512,34.1302,0.515625,71.0
TOEICL&RTEST_出る単特急銀,0.88443977,1.1020988,13.552309,56.604145,30.311598,33.489353,0.65625,62.0
TOEICL&RTEST出る単特急金_original,1.7736388,2.247036,40.93858,113.512886,57.000145,70.483864,0.796875,270.0
TVLIFE_首都圏版,23.006336,43.76675,331.79303,1472.4055,1418.3243,1074.1743,0.796875,1664.0
TVfan_original,11.841576,23.662748,179.98216,757.86084,968.3085,635.38385,0.65625,981.0
TVnavi_首都圏版,8.70555,17.566736,114.858765,557.1552,680.42883,450.8143,0.609375,619.0
TVstation_関東版,17.126564,29.758926,228.16838,1096.1001,1677.6199,1000.6294,0.234375,1099.0
TVステーション東版_original,4.1719685,6.464719,12.197886,267.00598,430.5024,236.56877,0.390625,0.0
UOMO_original,1.7511919,3.3012412,34.43141,112.07628,74.44264,73.65011,0.65625,178.0
VOCÉ_original,4.7100744,15.168351,72.52807,301.44476,277.4418,217.13823,0.65625,340.0
VTuberスタイル_original,1.073548,1.992737,20.9133,68.70707,41.20334,43.6079,0.59375,103.0
WINDBRAKER_original,1.1338003,1.2874205,13.961842,72.56322,49.224556,45.249866,0.5,27.0
WINDBREAKER_original,48.223473,52.383827,624.332,3086.3022,1622.1051,1777.5797,0.25,708.0
cookpadplus_original,3.643754,6.6718783,55.43519,233.20026,269.84286,186.15942,0.59375,262.0
hanako_original,1.7730592,2.5580626,31.143028,113.47579,87.574005,77.397606,0.875,193.0
honkowa_original,3.24608,6.985905,44.154457,207.74911,156.53151,136.14502,0.640625,215.0
inglishexress_original,0.8023783,1.4123482,13.987021,51.35221,23.893478,29.744238,0.65625,70.0
mini_original,0.72833645,1.4010786,9.745516,46.613533,52.973362,36.444138,0.96875,47.0
smart_original,1.2109367,2.3301938,18.64119,77.49995,52.158825,49.43332,0.9375,92.0
teskatripoca_original,0.93290955,1.2021759,17.846394,59.70621,34.377876,37.31016,0.890625,87.0
あかね噺_original,5.029172,14.201566,81.51451,321.867,296.3104,233.23064,0.734375,407.0
あきない世伝_金と銀,1.3452756,1.6123949,6.9920316,86.09764,73.82062,55.636765,0.59375,28.0
あたしンちＳＵＰＥＲ_original,2.800629,3.859378,45.59417,179.24025,147.86871,124.234375,0.453125,240.0
あっという間にかんたん年賀状_2025,10.707783,13.704642,143.18407,685.2981,1153.9734,660.81854,0.0625,724.0
あっという間に完成_!!筆ぐるめ年,5.8505974,7.4526286,75.58321,374.43823,649.9759,366.66577,0.0,377.0
あっという間に完成_!!筆まめ年賀,8.180074,10.446663,106.36145,523.5247,924.36,518.08203,0.0,532.0
あなたが体験した怖い話_original,1.3961483,3.2443125,17.910023,89.35349,85.91525,64.39292,0.75,86.0
あなたが殺したのは誰_original,2.745477,2.9923487,1.6751096,175.71053,138.87431,105.41998,0.84375,5.0
あなたが誰かを殺した_original,0.13602972,0.2952845,1.9271258,8.705902,11.924789,7.5192723,0.359375,6.0
あなたを疲れから救う休養学_original,1.6477933,1.8178085,20.794947,105.45877,57.9021,61.385273,0.6875,78.0
あの星が降る丘で、君とまた出会いたい_original,1.0927973,1.4483693,18.550123,69.939026,40.332092,42.940414,0.75,88.0
あの花が咲く丘で、君とまた出会えたら_original,1.1084352,1.4941827,20.260914,70.93985,44.59137,45.26404,0.640625,94.0
