book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,1.2652671,2.1067626,30.90985,80.9771,45.71691,52.53462,0.78125,79.0
171.T'beau7_original,3.2566743,4.0268283,65.18324,208.42715,108.80046,127.4703,0.578125,316.0
2024J1_J2J3選手名鑑original,0.018086212,0.124658264,0.2556852,1.1575176,1.9204979,1.1112336,0.171875,1.0
2024プロ野球オール写真_名鑑,0.005138728,0.0052800886,0.031589963,0.32887858,2.7821436,1.0475374,0.984375,0.0
20代で得た知見_original,0.9982993,1.2108474,19.213474,63.891155,35.37188,39.49217,0.640625,81.0
3分クッキング_original,5.6595716,7.84666,116.45479,362.2126,253.13928,243.93555,0.65625,742.0
47都道府県_女ひとりで行ってみよう,0.69299805,0.8253033,8.51124,44.351875,27.087988,26.650368,0.953125,38.0
52ヘルツのクジラたち_original,0.9969118,1.3141086,22.275867,63.802357,47.594856,44.557693,0.90625,109.0
63.3年卓上日誌_original,4.096078,5.2906523,56.412598,262.149,225.22462,181.26207,0.453125,278.0
70歳からのスマホの使いこなし術_original,6.190082,7.886973,112.724884,396.16525,171.27211,226.72075,0.75,560.0
80パターン_英語が止まらない！,0.9354818,1.2374865,16.98347,59.870834,35.061028,37.30511,0.765625,82.0
87歳現役トレーダーシゲルさんの教え_original,0.5038124,0.70961666,5.940667,32.24399,25.65658,21.280413,0.640625,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.5799928,2.4205358,32.018127,101.11954,64.74236,65.960014,0.859375,161.0
AIRLINE_original,1.574499,2.452129,26.670233,100.76794,61.54314,62.99377,0.71875,128.0
B.L.T._original,1.4995756,2.6395574,21.428211,95.97284,87.63046,68.343834,0.828125,103.0
BE-PAL_original,7.100415,13.473448,177.68292,454.42657,266.28833,299.46594,0.734375,563.0
BEGIN_original,1.7973216,2.7052402,41.556984,115.02858,71.67612,76.08723,0.59375,126.0
CAPA_original,1.7700205,2.7236772,32.978867,113.28131,63.10761,69.78926,0.59375,120.0
CARandDRIVER_original,0.8844093,1.7702668,12.465172,56.602196,47.626526,38.897964,0.921875,59.0
CARトップ_original,1.8727384,3.2515965,37.768627,119.855255,77.21825,78.28071,0.828125,147.0
CQハムラジオ_original,0.17295554,0.29439643,3.0790968,11.069155,43.1007,19.082983,1.0,0.0
Cut_original,1.042084,2.7822843,16.909681,66.693375,57.08854,46.897198,0.9375,72.0
Cuugal_original,1.2139199,3.097767,20.069574,77.69087,63.43068,53.730377,0.9375,90.0
ESSE_original,6.461794,9.937253,141.79611,413.5548,226.15016,260.50037,0.796875,662.0
EX大衆_original,1.9661746,4.5639057,30.659496,125.835175,85.10216,80.53228,0.75,138.0
FINEBOYS_original,1.5354478,2.9071949,26.136948,98.26866,96.544754,73.65012,0.75,120.0
FPの教科書_3級,1.0984945,1.4949808,26.470219,70.30365,42.32936,46.36774,0.859375,131.0
G-works_original,0.95136815,1.6350414,16.145014,60.88756,35.55194,37.52817,0.875,72.0
GIANKILLING_original,0.8675033,1.1139349,13.898051,55.52021,32.04535,33.8212,0.953125,60.0
GIAN_KILLINGoriginal,9.015625,21.51562,115.399994,577.0,1038.6,577.0,0.03125,577.0
GINZA_original,1.3469012,2.2428553,20.069986,86.201675,70.661545,58.977734,0.859375,95.0
Gファンタジー_original,2.613099,4.6541047,64.15607,167.23834,99.74496,110.37979,0.671875,165.0
J-Wings_original,1.4007732,2.7460124,22.622753,89.64948,58.865784,57.046005,0.859375,105.0
JOOJ_original,5.8125,20.248457,74.4,372.0,669.6,372.0,0.046875,372.0
JOUU_ジュール,1.6073225,2.6580434,42.124016,102.86864,52.917747,65.97013,0.703125,83.0
JR時刻表_original,1.3935301,1.6949837,29.993368,89.18593,59.364304,59.514538,0.796875,121.0
JTB_小さな時刻表,2.7113283,3.6731558,39.07486,173.52501,145.20361,119.26782,0.640625,184.0
JTB時刻表_original,1.9866955,2.8747966,38.542866,127.14851,97.29212,87.66116,0.84375,185.0
KINGダム_original,41.94555,113.771095,576.4387,2684.5151,4124.936,2461.9631,0.765625,2898.0
Kiss_original,3.1763005,6.2345862,74.07384,203.28323,148.36594,141.90767,0.71875,167.0
LDK_original,2.4864817,3.7697036,52.62119,159.13483,89.220795,100.3256,0.890625,374.0
LEE_original,11.107232,23.597637,158.3921,710.86285,751.15686,540.13727,0.59375,779.0
MIX_original,0.49785346,0.56272733,10.556004,31.862621,23.207973,21.875534,0.96875,22.0
MOE_original,4.1643386,9.868522,67.75197,266.51767,260.6452,198.30495,0.765625,338.0
MONOQLO_monocro,1.8761683,2.6121216,38.85222,120.07477,74.08371,77.670235,0.859375,197.0
Myojo_ちっこいMyojo,3.8766608,8.169047,57.795563,248.1063,241.22537,182.37573,0.578125,259.0
NHK_きょうの健康,5.243733,6.4726424,104.78792,335.5989,158.64319,199.67668,0.734375,629.0
NHK_しあわせ気分のフランス語,1.7373542,2.2554927,30.504732,111.19067,61.742996,67.8128,0.78125,137.0
NHK_すてきにハンドメイド,4.3700123,5.777561,111.36629,279.6808,133.78764,174.9449,0.875,596.0
NHK_ハングル講座書いてマスター！,1.3693795,1.6476939,16.130287,87.64029,53.231556,52.334045,0.734375,39.0
NHK_俳句,1.6438749,2.943481,37.54194,105.20799,62.13462,68.29485,0.84375,140.0
NHK_短歌,0.784503,1.1395499,13.652781,50.20819,27.984547,30.615173,0.796875,51.0
NHKテキスト_囲碁講座,1.7861881,2.2979648,48.722446,114.31604,59.606903,74.215126,0.53125,18.0
NHKテレビハングルッ！_ナビ,2.114973,2.8323627,37.676407,135.35828,97.32913,90.12128,0.875,208.0
NHKテレビ中国語！_ナビ,1.869537,2.838096,45.67878,119.65037,57.049587,74.12624,0.796875,150.0
NHKラジオ_まいにちイタリア語,2.1672177,3.4894168,68.825554,138.70193,69.89828,92.47526,0.8125,213.0
NHKラジオ_まいにちスペイン語,2.5051117,3.8091245,82.7177,160.32715,71.32889,104.79124,0.671875,199.0
NHKラジオ_まいにちドイツ語,2.0328996,2.9710917,56.520554,130.10558,60.246437,82.290855,0.796875,177.0
NHKラジオ_まいにちハングル講座,1.8129736,2.518692,42.40985,116.03031,68.84122,75.76046,0.875,182.0
NHKラジオ_まいにちフランス語,2.647676,4.437358,90.476456,169.45126,100.334145,120.08729,0.765625,290.0
NHKラジオ_まいにちロシア語,0.8792691,1.2757975,16.887226,56.273224,30.870087,34.676846,0.890625,67.0
NHKラジオ_まいにち中国語,2.7378497,4.076388,83.534386,175.22238,86.49403,115.083595,0.828125,299.0
NHKラジオ_エンジョイ・シンプル・イン,1.300319,1.5898246,27.618666,83.22041,60.112755,56.983948,0.765625,126.0
NHKラジオ_サブノート1日1文！集中ト,1.9884081,2.385192,45.1934,127.25812,70.895386,81.11564,0.796875,205.0
NYLON_JAPAN,2.9483218,8.524019,42.86708,188.6926,217.26105,149.60692,0.828125,208.0
N_original,1.385975,1.8485099,33.67182,88.7024,66.04607,62.806763,0.953125,167.0
ONEPIECE_magazine,0.3327554,0.49860168,5.244383,21.296345,15.664612,14.068446,0.84375,15.0
ONEPIECE_original,103.68933,271.3788,1401.147,6636.117,10763.158,6266.807,0.28125,7110.0
OZmagazine_original,1.9761416,2.8573442,32.29993,126.47306,71.70067,76.824554,0.828125,147.0
PASH_original,1.4107692,3.3945189,19.28635,90.28923,88.507416,66.027664,0.828125,92.0
PHP_original,2.6694589,3.8715608,64.86726,170.84537,80.0271,105.24658,0.78125,299.0
PHPくらしラク～る_original,1.3655381,2.0211735,26.62144,87.39444,50.250107,54.75533,0.875,110.0
POTATO_original,2.9382987,6.0153537,43.56609,188.05112,183.52588,138.38103,0.671875,194.0
RADIOLIFE_original,2.1478438,3.6483796,44.32523,137.462,94.740486,92.1759,0.703125,154.0
SCALE_Aviationoriginal,1.3399096,3.2962463,24.957317,85.75421,72.96708,61.226208,0.8125,67.0
STORY_original,3.5021741,5.8535485,112.92442,224.13914,109.089554,148.71771,0.796875,330.0
THE21_original,0.9813578,1.4569048,14.807224,62.8069,37.7091,38.441074,0.90625,71.0
TOEICL&RTEST_出る単特急銀,0.860127,1.0744753,13.134498,55.048126,28.80534,32.32932,0.8125,62.0
TOEICL&RTEST出る単特急金_original,2.0897949,2.433134,42.05887,133.74687,67.324776,81.04351,0.734375,270.0
TVLIFE_首都圏版,31.243715,44.830563,607.5911,1999.5978,1850.0522,1485.7471,0.4375,1664.0
TVfan_original,10.098341,21.049831,207.19371,646.2938,642.8557,498.7811,0.765625,981.0
TVnavi_首都圏版,6.688424,14.491554,138.23901,428.05914,375.0301,313.7761,0.859375,619.0
TVstation_関東版,17.087963,29.788015,226.36424,1093.6296,892.01215,737.3354,0.8125,1099.0
TVステーション東版_original,0.39612156,0.45876086,3.9409702,25.35178,65.153564,31.482103,0.796875,0.0
UOMO_original,2.2775435,3.9626324,37.128616,145.76279,120.03984,100.97708,0.84375,178.0
VOCÉ_original,4.517397,12.88979,94.92079,289.1134,261.45,215.16139,0.734375,340.0
VTuberスタイル_original,1.5308261,2.819439,21.911583,97.97287,79.75421,66.54623,0.90625,103.0
WINDBRAKER_original,0.9322542,1.0837812,9.784152,59.66427,42.80033,37.41625,0.78125,27.0
WINDBREAKER_original,17.656576,18.815977,262.27765,1130.0209,664.9575,685.752,0.453125,691.0
cookpadplus_original,3.0806499,6.1142898,52.04332,197.16159,154.39217,134.53236,0.625,262.0
hanako_original,2.2425225,2.6792085,37.945248,143.52144,143.04208,108.16959,0.859375,193.0
honkowa_original,3.0662537,7.0120463,47.220074,196.24023,176.05339,139.8379,0.875,215.0
inglishexress_original,0.9595319,1.5010056,17.86651,61.41004,33.536613,37.60439,0.875,70.0
mini_original,0.8467437,1.9774646,10.400683,54.191597,69.0257,44.539326,0.96875,47.0
smart_original,1.3775454,2.6008043,21.027967,88.1629,78.92637,62.70575,0.859375,92.0
teskatripoca_original,0.9476952,1.282574,18.6746,60.652493,50.535187,43.287426,0.984375,87.0
あかね噺_original,1.9306386,2.1042209,16.074118,123.56087,119.72128,86.45209,0.96875,54.0
あっという間にかんたん年賀状_2025,10.382252,13.347665,146.08313,664.4641,724.8509,511.7994,0.234375,724.0
あっという間に完成_!!筆ぐるめ年,5.8876066,7.469396,75.5255,376.80682,562.93207,338.42148,0.15625,377.0
あっという間に完成_!!筆まめ年賀,8.302484,10.525299,106.85243,531.35895,753.9856,464.06567,0.078125,532.0
あなたが体験した怖い話_original,1.4149969,3.1985002,18.40971,90.5598,95.74225,68.23725,0.828125,86.0
あなたが殺したのは誰_original,0.10520913,0.32497287,1.7120891,6.733384,18.124134,8.856536,0.984375,5.0
あなたが誰かを殺した_original,0.21394458,0.30176443,1.631651,13.692453,19.953125,11.759076,1.0,6.0
あなたを疲れから救う休養学_original,0.9725176,1.1693627,17.692863,62.241127,40.54693,40.160305,0.75,78.0
あの星が降る丘で、君とまた出会いたい_original,1.1115594,1.317374,19.808336,71.1398,45.465466,45.471203,0.921875,88.0
あの花が咲く丘で、君とまた出会えたら_original,1.3109626,1.5364449,28.565105,83.9016,51.2321,54.56627,0.65625,88.0
あぶない刑事_DVDコレクション全国,0.22504102,0.31113374,5.2869773,14.402625,14.9273405,11.538981,0.953125,6.0
ある閉ざされた雪の山荘で_original,0.553481,0.68400764,7.2032194,35.422783,25.108318,22.578108,0.46875,30.0
いちばんはじめの英文法_超基礎文法編,0.9942695,1.4103819,21.846989,63.633247,41.702576,42.39427,0.890625,108.0
いちばん使いやすい家計ノート_2025,5.019877,6.320963,76.77582,321.27213,237.18738,211.74512,0.5,384.0
いっしょにあそぼう！まちがいさがし_original,1.2848084,2.0428023,25.26876,82.22774,37.063408,48.186634,0.875,125.0
いつも幸せな人は、_original,2.4562898,9.138645,38.457565,157.20255,165.79382,120.48464,0.890625,191.0
いのちの車窓から_original,1.23719,1.707609,23.683006,79.18016,231.39032,111.41782,1.0,103.0
いのちをまもる図鑑_original,2.004314,2.5999882,31.671396,128.2761,60.98243,73.64331,0.828125,157.0
うつ蝉_original,0.1838489,0.4081795,3.390028,11.76633,15.317507,10.157955,0.953125,11.0
うるわしの宵の月_original,0.9176117,1.1123524,28.914593,58.72715,33.170406,40.270718,0.53125,66.0
おえかきひめ_original,1.7211354,2.630459,22.480015,110.152664,91.47833,74.70367,0.5625,111.0
おおきく振りかぶって_original,6.640625,15.5266905,85.0,425.0,765.0,425.0,0.046875,425.0
おしごとそうだんセンター_original,0.7242038,0.91365266,11.712544,46.349045,26.375658,28.14575,0.859375,50.0
おしりたんてい_あらたなるかいとう,0.6809075,0.84484094,12.26627,43.57808,36.2603,30.701548,0.90625,41.0
おとなのデジタルＴＶナビ_original,3.0756907,6.7414656,66.621925,196.84421,182.26155,148.57588,0.828125,303.0
おとなの週末_original,4.4570713,7.1510606,148.40851,285.25256,297.3577,243.67293,0.984375,844.0
おひとりさま日和_original,0.60258716,0.70633644,7.3468037,38.56558,23.760971,23.224451,0.6875,34.0
おもしろアロー＆スケルトン_original,1.5964558,3.4011662,24.639389,102.17317,118.23399,81.68218,0.875,128.0
お守りのことば_original,1.1660495,1.4411795,23.029575,74.62717,32.821243,43.49266,0.90625,107.0
お探し物は図書室まで_original,0.78400165,0.95544577,11.727939,50.176105,24.094534,28.666193,0.734375,57.0
お料理家計簿_講談社版,7.014749,8.24103,138.79042,448.94394,136.26515,241.33318,0.53125,718.0
お絵かきタイム_original,1.5357405,2.9854481,31.87049,98.28739,63.855705,64.671196,0.75,115.0
かがみの孤城_original,0.58982205,0.8373224,8.462227,37.74861,27.09129,24.434042,0.921875,39.0
からかい上手の高木さん_original,0.129423,0.2725656,1.4681336,8.283072,19.066675,9.605961,1.0,5.0
かんたんフリージング離乳食・幼児食_original,0.94653106,1.1548029,17.9127,60.577988,30.207499,36.23273,0.71875,84.0
かんたん家計ノート_2025,9.07004,11.391007,178.02827,580.48254,256.8496,338.45346,0.546875,911.0
きたきた捕物帖_original,1.1626625,1.5014669,22.662924,74.4104,49.543095,48.872143,0.90625,111.0
きのう何食べた？_original,1.109139,1.3902707,26.549448,70.98489,167.09244,88.20892,0.890625,105.0
きみのお金は誰のため_original,0.9793754,1.2012069,16.426641,62.680027,48.89677,42.667812,0.65625,60.0
きょうの料理_おしえて志麻さん,1.2669287,1.453488,19.389591,81.083435,44.08619,48.1864,0.78125,84.0
きらきらぴかぴか_original,0.96508735,1.2520045,16.247774,61.76559,28.782124,35.598495,0.609375,79.0
ぎょらん_original,0.90103227,1.1658589,12.799879,57.666065,25.6025,32.022816,0.875,62.0
くらのかみ_original,0.67257607,0.9168384,8.69529,43.04487,38.664314,30.134825,0.859375,42.0
ぐらんぶる_original,1.6156023,2.1321719,29.443047,103.398544,134.15363,88.998405,0.875,149.0
こいごころ_original,8.125,13.876689,104.0,520.0,936.0,520.0,0.03125,520.0
こうして、人は老いていく_original,1.4217446,1.5495883,18.46228,90.99165,49.647484,53.033802,0.484375,57.0
こころ_original,0.7279835,0.8209025,9.065519,46.590942,25.01839,26.891617,0.59375,42.0
この世にたやすい仕事はない_original,1.0496526,1.4899534,24.484234,67.177765,45.363144,45.67505,0.890625,121.0
この音とまれ！_original,0.37345585,0.50421697,6.5650373,23.901175,18.534924,16.333712,0.96875,16.0
これが本当のＳＰＩ３だ！_original,0.86172426,1.0265805,15.340269,55.150352,34.193,34.894543,0.796875,72.0
ころりんぽい_original,1.0713929,1.2904159,21.561613,68.569145,44.495434,44.875397,0.796875,98.0
しましまぐるぐる_original,1.085053,1.3821224,20.276672,69.44339,35.96013,41.8934,0.640625,92.0
じい散歩_original,0.53652275,0.8887309,6.8375535,34.337456,25.334076,22.169695,0.546875,32.0
じゃらん_original,1.6963749,2.4434764,35.74511,108.56799,68.826324,71.04648,0.828125,178.0
