book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,0.98615193,1.6857337,18.658718,63.113724,39.1088,40.293747,0.828125,79.0
171.T'beau7_original,2.745266,3.4048553,58.375107,175.69702,99.0574,111.043175,0.59375,316.0
2024J1_J2J3選手名鑑original,0.069015145,0.14750448,0.33631822,4.4169693,82.868935,29.207407,0.828125,1.0
2024プロ野球オール写真_名鑑,0.01860638,0.020893313,0.22319761,1.1908083,52.641556,18.01852,0.75,0.0
20代で得た知見_original,0.9561337,1.2253205,17.098145,61.19256,32.54289,36.94453,0.78125,81.0
3分クッキング_original,5.6035604,7.7554173,113.82115,358.62787,269.0515,247.16685,0.59375,742.0
47都道府県_女ひとりで行ってみよう,0.6662997,0.80354494,8.64562,42.64318,25.708937,25.665915,0.953125,38.0
52ヘルツのクジラたち_original,1.0449891,1.455409,23.461048,66.8793,39.494972,43.278442,0.78125,109.0
63.3年卓上日誌_original,3.015256,4.1093674,55.71357,192.97638,149.28012,132.6567,0.5,278.0
70歳からのスマホの使いこなし術_original,4.509029,6.2703543,100.60376,288.57785,178.98386,189.38849,0.71875,560.0
80パターン_英語が止まらない！,0.89830494,1.2469891,17.41824,57.491516,33.939438,36.283066,0.875,82.0
87歳現役トレーダーシゲルさんの教え_original,0.586182,0.71431965,6.1295996,37.515648,45.575424,29.740225,0.828125,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.5839429,2.4504657,32.567917,101.372345,66.96588,66.96871,0.828125,161.0
AIRLINE_original,1.5010164,2.3350039,25.912739,96.06505,70.92239,64.30006,0.703125,128.0
B.L.T._original,1.0597469,1.8472525,21.417093,67.8238,34.200237,41.147045,0.8125,103.0
BE-PAL_original,5.658045,11.489849,116.35396,362.11487,205.52408,227.99763,0.765625,563.0
BEGIN_original,1.5159092,2.2407684,27.10328,97.01819,52.55204,58.89117,0.734375,126.0
CAPA_original,1.5085794,2.5004113,26.355,96.54908,64.70323,62.53577,0.640625,120.0
CARandDRIVER_original,0.7369378,1.4442823,13.619982,47.16402,37.01304,32.599014,0.734375,59.0
CARトップ_original,1.5016601,2.8414545,31.18736,96.10625,59.238537,62.177383,0.84375,147.0
CQハムラジオ_original,0.7023336,1.1455058,7.157408,44.949352,49.795654,33.967472,0.5625,0.0
Cut_original,0.8637507,2.363203,15.975573,55.280045,45.556942,38.93752,0.90625,72.0
Cuugal_original,1.1353478,2.7551725,18.736488,72.66226,61.52973,50.976162,0.765625,90.0
ESSE_original,5.586364,9.302541,106.156136,357.52728,231.15291,231.6121,0.5625,662.0
EX大衆_original,1.6643267,4.3163686,28.722595,106.51691,81.79294,72.34415,0.875,138.0
FINEBOYS_original,1.627154,2.6218586,25.044828,104.137856,65.77285,64.985176,0.9375,120.0
FPの教科書_3級,1.1364852,1.5522512,27.977156,72.735054,39.338806,46.683674,0.875,131.0
G-works_original,0.79358774,1.403945,15.266703,50.789616,30.38107,32.145798,0.828125,72.0
GIANKILLING_original,0.88590753,1.1417258,13.042566,56.698082,32.21938,33.986675,0.609375,60.0
GIAN_KILLINGoriginal,9.015625,21.51562,115.399994,577.0,1038.6,577.0,0.359375,577.0
GINZA_original,0.9844521,1.5498456,19.904297,63.004936,33.43477,38.781334,0.875,95.0
Gファンタジー_original,1.7169387,3.6327147,35.297104,109.88408,81.00697,75.39605,0.84375,165.0
J-Wings_original,1.3189915,2.5400217,22.681986,84.41546,68.41504,58.50416,0.734375,105.0
JOOJ_original,5.8125,20.248457,74.4,372.0,669.6,372.0,0.765625,372.0
JOUU_ジュール,1.0431007,1.8652943,18.363626,66.758446,32.9497,39.357258,0.703125,83.0
JR時刻表_original,1.2857462,1.6551695,27.064407,82.28776,49.083847,52.812,0.859375,121.0
JTB_小さな時刻表,2.2732978,3.3245306,38.072556,145.49106,113.75287,99.10549,0.546875,184.0
JTB時刻表_original,1.7549434,2.8082342,33.38881,112.316376,85.14259,76.94926,0.8125,185.0
KINGダム_original,42.445778,113.52823,647.4558,2716.5298,4349.8867,2571.2908,0.390625,2898.0
Kiss_original,1.8797987,4.9835935,36.393215,120.30711,100.5103,85.73688,0.71875,167.0
LDK_original,2.488106,3.862938,56.770386,159.23878,91.202965,102.404045,0.828125,374.0
LEE_original,10.11154,21.90942,158.09317,647.13855,778.7921,528.00793,0.546875,779.0
MIX_original,0.41998357,0.5961491,6.4409075,26.878948,19.608494,17.642782,0.90625,22.0
MOE_original,3.9823673,10.070038,70.188774,254.8715,282.97275,202.67767,0.703125,338.0
MONOQLO_monocro,1.6618812,2.2662704,37.32802,106.3604,45.95259,63.21367,0.765625,197.0
Myojo_ちっこいMyojo,3.2790327,7.320865,56.221878,209.8581,181.17313,149.08437,0.75,259.0
NHK_きょうの健康,3.6914558,4.7243032,89.19904,236.25317,91.210785,138.88766,0.734375,629.0
NHK_しあわせ気分のフランス語,1.5782537,2.0355582,32.11959,101.00824,49.24054,60.78946,0.625,137.0
NHK_すてきにハンドメイド,3.7981813,5.1661024,99.48903,243.0836,99.66933,147.41399,0.875,596.0
NHK_ハングル講座書いてマスター！,1.4886012,1.8650645,30.22054,95.27048,47.793045,57.761353,0.640625,39.0
NHK_俳句,1.2214956,2.507618,29.51579,78.17572,53.07265,53.588055,0.9375,140.0
NHK_短歌,0.67592096,0.9997824,12.393112,43.25894,25.797668,27.149908,0.875,51.0
NHKテキスト_囲碁講座,1.8598082,2.6601543,62.124653,119.027725,52.917377,78.02325,0.5,18.0
NHKテレビハングルッ！_ナビ,1.6346775,2.4526575,38.37046,104.61936,66.498924,69.82958,0.84375,208.0
NHKテレビ中国語！_ナビ,1.4520578,2.1996953,34.814873,92.9317,45.277573,57.674713,0.78125,150.0
NHKラジオ_まいにちイタリア語,1.586041,2.5304801,40.356754,101.50662,48.679443,63.51427,0.90625,213.0
NHKラジオ_まいにちスペイン語,1.7654188,2.6903698,38.74859,112.9868,64.8359,72.19043,0.765625,199.0
NHKラジオ_まいにちドイツ語,1.5107138,2.103056,34.301052,96.685684,49.348072,60.111603,0.796875,177.0
NHKラジオ_まいにちハングル講座,1.5829724,2.3206406,37.707626,101.310234,57.12709,65.381645,0.84375,182.0
NHKラジオ_まいにちフランス語,2.0910625,3.5933385,54.594387,133.828,81.69978,90.04073,0.859375,290.0
NHKラジオ_まいにちロシア語,0.67497337,1.0328937,14.444306,43.198296,25.95927,27.867289,0.828125,67.0
NHKラジオ_まいにち中国語,2.030985,3.0487635,48.792732,129.98305,75.23959,84.67179,0.921875,299.0
NHKラジオ_エンジョイ・シンプル・イン,1.1337402,1.5103676,27.028736,72.55937,40.539963,46.709354,0.765625,126.0
NHKラジオ_サブノート1日1文！集中ト,1.67523,2.1418724,39.69906,107.21472,59.03725,68.650345,0.828125,205.0
NYLON_JAPAN,2.6247911,8.490833,40.92798,167.98663,214.67021,141.19495,0.8125,208.0
N_original,1.4124426,1.9602984,33.00102,90.396324,49.266373,57.55457,0.859375,167.0
ONEPIECE_magazine,0.2939049,0.51334953,4.295539,18.809914,20.12758,14.411011,0.921875,15.0
ONEPIECE_original,101.885864,270.66275,1350.5171,6520.6953,10177.655,6016.289,0.53125,7110.0
OZmagazine_original,1.6581631,2.348548,32.38232,106.12244,60.048897,66.18455,0.75,147.0
PASH_original,1.1064764,2.772791,19.472832,70.81449,60.625694,50.30434,0.859375,92.0
PHP_original,2.562645,3.4484265,52.167416,164.00928,84.15399,100.11023,0.65625,299.0
PHPくらしラク～る_original,1.121478,1.5981708,23.477701,71.77459,35.723953,43.65875,0.8125,110.0
POTATO_original,2.2131028,4.87142,41.11927,141.63858,105.86027,96.20603,0.84375,194.0
RADIOLIFE_original,1.6065971,3.188349,28.536833,102.82221,74.10639,68.48847,0.75,154.0
SCALE_Aviationoriginal,0.94718456,2.798005,14.283079,60.619812,58.21855,44.373814,0.859375,67.0
STORY_original,2.7241862,4.8603272,65.60104,174.34792,138.6303,126.193085,0.796875,330.0
THE21_original,0.85990644,1.1538076,15.481518,55.03401,29.83122,33.448917,0.859375,71.0
TOEICL&RTEST_出る単特急銀,0.8588951,1.0748109,13.937305,54.969288,28.514837,32.473812,0.890625,62.0
TOEICL&RTEST出る単特急金_original,1.9729271,2.358523,41.541103,126.267334,60.976627,76.26169,0.8125,270.0
TVLIFE_首都圏版,31.119617,45.790672,683.2948,1991.6555,1972.1105,1549.0201,0.4375,1664.0
TVfan_original,9.488138,21.29263,173.1547,607.24084,697.916,492.7705,0.734375,981.0
