book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,1.0223403,1.650115,19.172823,65.42978,37.770706,40.791103,0.796875,79.0
171.T'beau7_original,2.6022196,3.25168,57.56528,166.54205,91.1424,105.083244,0.625,316.0
2024J1_J2J3選手名鑑original,0.077821776,0.1526303,1.1128589,4.9805937,84.24023,30.111227,0.3125,1.0
2024プロ野球オール写真_名鑑,0.057015687,0.07087734,0.34399956,3.649004,67.73085,23.907951,0.6875,0.0
20代で得た知見_original,0.9444746,1.2224898,17.323605,60.446373,32.333603,36.70119,0.796875,81.0
3分クッキング_original,5.631524,7.7621737,112.54109,360.41754,275.25876,249.4058,0.5625,742.0
47都道府県_女ひとりで行ってみよう,0.6649823,0.80397016,8.526551,42.55887,26.352505,25.812643,0.953125,38.0
52ヘルツのクジラたち_original,1.0215433,1.432398,23.283092,65.37877,39.311054,42.65764,0.78125,109.0
63.3年卓上日誌_original,2.862601,3.9322371,54.76236,183.20647,130.18474,122.71786,0.53125,278.0
70歳からのスマホの使いこなし術_original,4.4248786,6.177359,95.96842,283.19223,186.10086,188.42049,0.71875,560.0
80パターン_英語が止まらない！,0.89885056,1.2325273,17.542698,57.526436,33.561813,36.210316,0.875,82.0
87歳現役トレーダーシゲルさんの教え_original,0.5731708,0.69698024,5.9929504,36.68293,49.74871,30.808197,0.9375,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.569742,2.420735,32.21042,100.463486,65.803215,66.159035,0.84375,161.0
AIRLINE_original,1.4625101,2.2781124,25.910599,93.60065,68.09372,62.53499,0.75,128.0
B.L.T._original,0.9583606,1.5807393,21.21926,61.33508,35.934216,39.496185,0.953125,103.0
BE-PAL_original,5.503924,11.220876,114.968605,352.25113,196.57112,221.26361,0.8125,563.0
BEGIN_original,1.4895692,2.1808398,26.890888,95.33243,50.212917,57.478745,0.734375,126.0
CAPA_original,1.4507003,2.4393907,25.276737,92.84482,62.221863,60.11447,0.640625,120.0
CARandDRIVER_original,0.7674074,1.433532,14.439277,49.114075,36.716232,33.423195,0.6875,59.0
CARトップ_original,1.4960214,2.72246,31.791706,95.74537,55.99436,61.177143,0.859375,147.0
CQハムラジオ_original,1.0820062,1.7508103,11.418765,69.2484,59.146713,46.604626,0.515625,0.0
Cut_original,0.8650514,2.5049665,16.050484,55.36329,48.7366,40.050125,0.921875,72.0
Cuugal_original,1.1453754,2.7364788,18.48034,73.30402,59.499687,50.42802,0.796875,90.0
ESSE_original,5.529814,9.308503,104.72358,353.90808,234.35223,230.99463,0.609375,662.0
EX大衆_original,1.7362028,4.334596,29.10666,111.11698,83.39,74.53788,0.828125,138.0
FINEBOYS_original,1.7005597,2.6364236,25.77995,108.83582,70.04195,68.21924,0.953125,120.0
FPの教科書_3級,1.1406579,1.5557112,27.673326,73.002106,38.86403,46.513153,0.859375,131.0
G-works_original,0.80169415,1.3963022,14.822979,51.308426,31.543297,32.558235,0.8125,72.0
GIANKILLING_original,0.87212974,1.1192222,13.0475235,55.816303,32.33896,33.734264,0.875,60.0
GIAN_KILLINGoriginal,9.015625,21.51562,115.399994,577.0,1038.6,577.0,0.359375,577.0
GINZA_original,0.92826694,1.4460961,20.655207,59.409084,33.03733,37.700542,0.890625,95.0
Gファンタジー_original,1.7475104,3.6710238,35.54595,111.84067,81.32938,76.23867,0.859375,165.0
J-Wings_original,1.2841611,2.4601254,22.551529,82.18631,66.09143,56.94309,0.734375,105.0
JOOJ_original,5.8125,20.248457,74.4,372.0,669.6,372.0,0.765625,372.0
JOUU_ジュール,1.0491749,1.7816697,18.48105,67.147194,29.360847,38.329697,0.703125,83.0
JR時刻表_original,1.3351824,1.6860043,27.884268,85.451675,50.237015,54.524323,0.8125,121.0
JTB_小さな時刻表,2.1779504,3.2225301,37.987915,139.38882,93.57841,90.31838,0.609375,184.0
JTB時刻表_original,1.8484377,2.8725436,35.3459,118.30001,86.49902,80.04831,0.796875,185.0
KINGダム_original,42.47784,113.48561,616.3571,2718.5818,4322.6904,2552.5432,0.484375,2898.0
Kiss_original,1.670356,4.584051,35.407623,106.90279,92.23859,78.183,0.84375,167.0
LDK_original,2.362312,3.72963,54.565582,151.18797,87.50888,97.75415,0.796875,374.0
LEE_original,9.986353,21.393288,162.60077,639.1266,751.1899,517.6391,0.59375,779.0
MIX_original,0.480852,0.55977196,7.821863,30.774529,21.988964,20.195118,0.703125,22.0
MOE_original,3.9110093,10.010462,70.03375,250.3046,279.34918,199.89583,0.6875,338.0
MONOQLO_monocro,1.6457299,2.1946297,36.579243,105.32671,45.926155,62.610706,0.796875,197.0
Myojo_ちっこいMyojo,3.329228,7.3381543,58.01432,213.07059,184.93732,152.0074,0.859375,259.0
NHK_きょうの健康,3.737525,4.7941914,90.791756,239.2016,98.574265,142.85588,0.765625,629.0
NHK_しあわせ気分のフランス語,1.5914614,2.078685,33.076355,101.85353,53.646652,62.858845,0.625,137.0
NHK_すてきにハンドメイド,3.7123165,4.9495354,98.966896,237.58826,97.334076,144.62975,0.890625,596.0
NHK_ハングル講座書いてマスター！,1.5651282,1.9552485,35.612846,100.168205,49.48105,61.754032,0.5625,39.0
NHK_俳句,1.243567,2.4826965,27.084167,79.58829,54.289085,53.65385,0.953125,140.0
NHK_短歌,0.648716,0.9671248,12.029219,41.517822,25.309214,26.285418,0.859375,51.0
NHKテキスト_囲碁講座,1.9150538,2.72138,66.47269,122.563446,54.742752,81.25963,0.453125,18.0
NHKテレビハングルッ！_ナビ,1.7209921,2.4895103,41.37465,110.14349,70.03734,73.85183,0.78125,208.0
NHKテレビ中国語！_ナビ,1.4327374,2.2025747,38.21641,91.69519,46.503464,58.805023,0.765625,150.0
NHKラジオ_まいにちイタリア語,1.602591,2.5329201,39.533394,102.56583,51.02511,64.37478,0.859375,213.0
NHKラジオ_まいにちスペイン語,1.7582946,2.7210526,41.000793,112.53085,67.131195,73.55428,0.65625,199.0
NHKラジオ_まいにちドイツ語,1.5260559,2.1554918,37.083992,97.66758,49.52464,61.425404,0.71875,177.0
NHKラジオ_まいにちハングル講座,1.6834722,2.5173895,41.3806,107.74222,60.03746,69.72009,0.75,182.0
NHKラジオ_まいにちフランス語,2.132587,3.6409624,53.93858,136.48557,86.93393,92.4527,0.84375,290.0
NHKラジオ_まいにちロシア語,0.68082714,1.0512443,14.879555,43.572937,27.36988,28.607458,0.8125,67.0
NHKラジオ_まいにち中国語,2.0400956,2.9767604,48.59179,130.56612,76.15616,85.10468,0.796875,299.0
NHKラジオ_エンジョイ・シンプル・イン,1.1577007,1.5234642,26.642237,74.09284,44.357918,48.36433,0.796875,126.0
NHKラジオ_サブノート1日1文！集中ト,1.7310829,2.204239,40.930557,110.78931,60.967804,70.89589,0.8125,205.0
NYLON_JAPAN,2.5718422,8.415525,41.65618,164.5979,211.05919,139.10443,0.8125,208.0
N_original,1.4064461,1.9465804,32.716995,90.01255,48.709053,57.1462,0.859375,167.0
ONEPIECE_magazine,0.2738881,0.51477623,4.525007,17.52884,16.38564,12.813161,0.765625,15.0
ONEPIECE_original,102.23133,270.86365,1351.2483,6542.805,10325.59,6073.215,0.484375,7110.0
OZmagazine_original,1.5568674,2.185182,33.87373,99.63951,54.45426,62.655834,0.78125,147.0
PASH_original,1.1123817,2.7993388,20.1778,71.19243,62.219116,51.196445,0.875,92.0
PHP_original,2.5216537,3.4339032,51.463474,161.38583,78.552536,97.13395,0.671875,299.0
PHPくらしラク～る_original,1.1003718,1.5966561,23.061924,70.4238,36.33309,43.272938,0.8125,110.0
POTATO_original,2.1961572,4.6937017,44.18669,140.55406,99.1757,94.63882,0.90625,194.0
RADIOLIFE_original,1.5272819,3.0613415,27.69751,97.74604,69.642334,65.028625,0.75,154.0
SCALE_Aviationoriginal,0.942909,2.7279696,15.54245,60.346176,56.341927,44.076855,0.84375,67.0
STORY_original,2.7713625,4.897821,67.06135,177.3672,133.85608,126.09488,0.8125,330.0
THE21_original,0.85863435,1.163181,16.75887,54.9526,30.013802,33.908424,0.828125,71.0
