book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,1.3512162,2.4213564,15.800001,86.47784,83.065,61.780945,0.390625,79.0
171.T'beau7_original,4.093302,4.922176,63.720337,261.9713,311.31738,212.33635,0.203125,316.0
2024J1_J2J3選手名鑑original,0.015625,0.125,0.20000008,1.0,3.7833345,1.6611115,0.0,1.0
2024プロ野球オール写真_名鑑,2.7939677e-09,2.7939677e-09,3.2186506e-07,1.7881393e-07,4.6600018,1.5533341,0.0,0.0
20代で得た知見_original,0.88303304,1.23275,16.020155,56.514114,34.880608,35.80496,0.546875,81.0
3分クッキング_original,6.5819817,9.142993,123.55455,421.24683,453.45016,332.75052,0.5,742.0
47都道府県_女ひとりで行ってみよう,0.73933923,1.0312294,7.6000004,47.31771,25.560682,26.826132,0.34375,38.0
52ヘルツのクジラたち_original,1.1371945,1.5068396,21.035976,72.78045,37.09661,43.637676,0.703125,109.0
63.3年卓上日誌_original,4.0586867,5.260559,55.600002,259.75595,215.40236,176.91943,0.359375,278.0
70歳からのスマホの使いこなし術_original,4.9381094,6.796207,109.59627,316.039,214.99298,213.54274,0.703125,560.0
80パターン_英語が止まらない！,1.0004009,1.3397256,22.159172,64.02566,42.262047,42.815624,0.640625,82.0
87歳現役トレーダーシゲルさんの教え_original,0.4687185,0.8003512,5.200001,29.997984,21.719917,18.972633,0.265625,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.762168,2.6662555,33.542133,112.778755,93.166245,79.82905,0.609375,161.0
AIRLINE_original,1.9843419,2.9945912,25.6,126.99788,100.94104,84.51298,0.390625,128.0
B.L.T._original,1.6645694,2.7341409,20.218609,106.53244,113.25983,80.003624,0.390625,103.0
BE-PAL_original,7.12533,16.315216,111.179504,456.02112,619.5578,395.58615,0.6875,563.0
BEGIN_original,1.9453125,3.244587,25.020002,124.5,113.70574,87.74191,0.390625,126.0
CAPA_original,1.8554878,3.3391147,24.0,118.75122,125.760086,89.50376,0.296875,120.0
CARandDRIVER_original,0.9531555,1.9605542,11.800001,61.001953,59.04924,43.950397,0.40625,59.0
CARトップ_original,2.273329,4.0113196,30.664516,145.49306,151.76286,109.306816,0.59375,147.0
CQハムラジオ_original,0.015635202,0.088445954,2.968311e-06,1.0006529,20.289974,7.0968766,0.0,0.0
Cut_original,1.2037035,3.1387918,14.400002,77.037025,98.221855,63.219624,0.25,72.0
Cuugal_original,1.4529972,3.8088953,18.0,92.99182,128.95535,79.98239,0.21875,90.0
ESSE_original,8.3189945,12.7538,132.33807,532.41565,617.40955,427.3878,0.53125,662.0
EX大衆_original,2.242121,5.0470557,27.599998,143.49574,174.47902,115.19159,0.3125,138.0
FINEBOYS_original,1.8582101,3.1340523,24.16918,118.925446,114.12746,85.74069,0.5625,120.0
FPの教科書_3級,1.2413939,1.6770678,27.945503,79.44921,45.85537,51.083363,0.75,131.0
G-works_original,1.1171818,2.114856,14.400002,71.49963,84.588684,56.829437,0.203125,72.0
GIANKILLING_original,0.9064498,1.1793029,12.000004,58.012787,35.588337,35.200375,0.421875,60.0
GIAN_KILLINGoriginal,9.015625,21.51562,115.399994,577.0,1038.0233,576.8078,0.0,577.0
GINZA_original,1.9697982,2.6671038,28.341864,126.067085,82.55165,78.98687,0.421875,95.0
Gファンタジー_original,2.4310737,5.3036084,33.000004,155.58871,151.79263,113.46045,0.484375,165.0
J-Wings_original,1.6834679,3.183393,21.000002,107.74194,110.00532,79.58242,0.28125,105.0
JOOJ_original,5.8125,20.248457,74.4,372.0,667.6871,371.36234,0.0,372.0
JOUU_ジュール,1.3046846,2.853863,16.600002,83.49982,102.47746,67.525764,0.34375,83.0
JR時刻表_original,1.5348842,1.9571325,27.539593,98.23259,58.123634,61.298603,0.59375,121.0
JTB_小さな時刻表,2.9492557,3.8365278,36.619118,188.75237,136.71935,120.69694,0.546875,184.0
JTB時刻表_original,2.4416728,3.1995866,59.15642,156.26706,91.57326,102.332245,0.671875,185.0
KINGダム_original,41.87683,113.46432,581.453,2680.1172,4394.9795,2552.1833,0.515625,2898.0
Kiss_original,2.562444,6.6661205,33.4,163.99641,256.8423,151.4129,0.234375,167.0
LDK_original,3.7901368,5.7015843,68.39445,242.56876,206.18689,172.38336,0.65625,374.0
LEE_original,11.674408,24.17644,157.43365,747.1621,1094.3171,666.30426,0.296875,779.0
MIX_original,0.6350616,0.8099545,4.4000044,40.643944,31.204084,25.41601,0.296875,22.0
MOE_original,4.586934,10.196552,67.82326,293.56378,328.64935,230.01213,0.578125,338.0
MONOQLO_monocro,2.2045798,3.103455,41.04082,141.09311,106.75234,96.29542,0.671875,197.0
Myojo_ちっこいMyojo,4.090179,8.128865,51.42274,261.77145,546.859,286.68442,0.625,259.0
NHK_きょうの健康,5.465121,6.9390836,116.28377,349.76773,212.67403,226.24184,0.59375,629.0
NHK_しあわせ気分のフランス語,1.7567866,2.5801446,27.220001,112.43434,86.2103,75.288216,0.5625,137.0
NHK_すてきにハンドメイド,5.780714,7.7307143,113.03476,369.9657,231.73178,238.24408,0.78125,596.0
NHK_ハングル講座書いてマスター！,1.3576167,1.7546629,21.195015,86.88747,52.3939,53.492126,0.265625,39.0
NHK_俳句,2.5943801,4.174108,28.000004,166.04033,134.68494,109.575096,0.421875,140.0
NHK_短歌,0.87543845,1.4089063,10.200002,56.02806,43.642853,36.62364,0.390625,51.0
NHKテキスト_囲碁講座,2.0299253,2.1990113,34.439186,129.91522,72.00998,78.788124,0.234375,18.0
NHKテレビハングルッ！_ナビ,2.7379522,3.6098042,46.740273,175.22894,112.268105,111.41244,0.703125,208.0
NHKテレビ中国語！_ナビ,2.1030672,3.5546052,32.85055,134.5963,111.69806,93.0483,0.59375,150.0
NHKラジオ_まいにちイタリア語,2.4542017,4.160048,41.673553,157.06891,134.2748,111.00576,0.671875,213.0
NHKラジオ_まいにちスペイン語,2.796101,4.615326,41.398098,178.95047,148.672,123.00686,0.53125,199.0
NHKラジオ_まいにちドイツ語,2.3464096,3.3956945,36.048653,150.17021,107.585526,97.93479,0.421875,177.0
NHKラジオ_まいにちハングル講座,2.2809138,3.30022,37.058228,145.97849,121.23915,101.42529,0.734375,182.0
NHKラジオ_まいにちフランス語,3.4297676,5.713732,56.042953,219.50513,190.32306,155.29039,0.71875,290.0
NHKラジオ_まいにちロシア語,1.104322,1.654841,13.400002,70.676605,48.24483,44.107147,0.40625,67.0
NHKラジオ_まいにち中国語,4.8776436,6.554142,61.219124,312.1692,232.02179,201.80336,0.546875,299.0
NHKラジオ_エンジョイ・シンプル・イン,2.155364,2.5594923,61.871788,137.9433,69.73072,89.8486,0.59375,126.0
NHKラジオ_サブノート1日1文！集中ト,2.3199975,2.8517828,57.17038,148.47984,65.809006,90.48641,0.671875,205.0
