book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
898ぴきせいぞろい！ポケモン大図鑑_original,1.7606204,2.7173011,33.911633,112.6797,98.38356,81.6583,0.59375,161.0
みんなが選んだアロークロス傑作選_original,1.75,3.453938,22.400002,112.0,95.933914,76.77797,0.40625,112.0
よふかしのうた_original,0.45309445,0.8146675,5.000001,28.998045,26.923286,20.307112,0.21875,25.0
アロークロスパル_original,2.578125,4.3210964,33.0,165.0,172.38654,123.46218,0.34375,165.0
コロコロイチバン！_original,1.696873,2.4216285,25.0461,108.59987,74.04939,69.23179,0.578125,128.0
シャングリラ・フロンティア_original,10.137282,20.599638,154.90387,648.7861,607.03973,470.24326,0.78125,743.0
ドラゴンクエスト_ダイの大冒険勇,0.9659702,1.1623594,7.600004,61.822094,63.684364,44.36882,0.40625,38.0
プレジデント_original,5.8331633,8.639032,118.624176,373.32245,274.9324,255.62634,0.78125,623.0
ポケモンずかんドリル_4さいひらがな,1.0428771,1.4237727,20.566364,66.74413,49.525253,45.61192,0.78125,105.0
ライトニング_original,2.094081,3.4154,28.8,134.02118,133.73245,98.85122,0.453125,144.0
呪術廻戦_original,200.5755,868.7715,2682.5728,12836.832,22166.56,12561.988,0.546875,14152.0
夜桜さんちの大作戦_original,0.54306424,0.8689078,6.600001,34.75611,24.037088,21.797735,0.328125,33.0
月刊陸上競技_original,2.0475533,4.5467424,24.800003,131.04341,161.69305,105.84549,0.34375,124.0
漢字メイトMINI_original,3.25,6.1745443,41.6,208.0,284.56506,178.05501,0.21875,208.0
英語長文問題集_original,0.7422925,0.936816,10.200002,47.50672,20.199913,25.968878,0.484375,51.0
血界戦線_Beat,0.12888524,0.386514,1.4000006,8.248655,14.129412,7.926023,0.078125,7.0
転換の時代を生き抜く投資の教科書_original,0.52420497,0.7479724,6.200001,33.549118,22.296864,20.681993,0.375,31.0
青の祓魔師_original,0.5857256,1.0878824,7.000005,37.48644,119.513794,54.666748,0.328125,35.0
ＭｅｇａｍｉＭＡＧＡＺＩＮＥ_original,1.327985,2.6677663,16.2,84.99104,99.10303,66.76469,0.21875,81.0
Ｏｇgi_original,4.819355,7.270256,85.184586,308.43872,296.22003,229.94777,0.53125,400.0
ＱＵＩＣＫＣＵＢＥ_original,0.7508471,1.2247249,12.200001,48.054214,32.58464,30.946283,0.546875,61.0
