book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,0.82449365,1.3539251,16.154709,52.767593,30.929878,33.28406,0.265625,79.0
171.T'beau7_original,3.508251,4.3652983,57.002808,224.52806,107.49837,129.6764,0.640625,316.0
2024J1_J2J3選手名鑑original,0.10026041,0.26942745,0.20000008,6.416666,8.133334,4.9166665,0.0,1.0
2024プロ野球オール写真_名鑑,0.67093563,0.9617938,3.2186506e-07,42.93988,33.479996,25.473291,0.0,0.0
20代で得た知見_original,0.9455598,1.2672322,15.600514,60.515827,34.519836,36.878727,0.484375,81.0
3分クッキング_original,5.8309507,7.9655995,119.80846,373.18085,329.48883,274.1594,0.515625,742.0
47都道府県_女ひとりで行ってみよう,0.71361196,0.97237337,7.6000004,45.671165,28.10329,27.124817,0.375,38.0
52ヘルツのクジラたち_original,1.1476569,1.615763,21.800001,73.45004,46.27462,47.174885,0.609375,109.0
63.3年卓上日誌_original,1.9797748,2.7783456,48.19612,126.70559,144.75546,106.55239,0.484375,278.0
70歳からのスマホの使いこなし術_original,4.818096,6.609153,95.009705,308.35815,280.2559,227.87459,0.53125,560.0
80パターン_英語が止まらない！,0.86400163,1.2086139,16.2194,55.296104,34.153343,35.22295,0.625,82.0
87歳現役トレーダーシゲルさんの教え_original,0.5937815,0.8705424,5.200001,38.002014,35.69863,26.300217,0.3125,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.8389896,2.8613384,31.265821,117.695335,84.19914,77.7201,0.5625,161.0
AIRLINE_original,1.6251273,2.4918556,26.270578,104.00815,61.55265,63.943798,0.453125,128.0
B.L.T._original,1.2952769,2.6228611,19.656555,82.89772,43.891804,48.815357,0.4375,103.0
BE-PAL_original,5.833292,15.038011,107.54036,373.3307,290.7185,257.1965,0.703125,563.0
BEGIN_original,1.328125,2.503123,24.82,85.0,46.63878,52.152924,0.421875,126.0
CAPA_original,1.2582105,2.3281624,23.440548,80.525475,53.88716,52.617725,0.234375,120.0
CARandDRIVER_original,0.7501037,1.4576776,13.484731,48.006638,28.980042,30.157135,0.359375,59.0
CARトップ_original,1.5308264,3.0822508,23.989964,97.97289,53.852142,58.605,0.625,147.0
CQハムラジオ_original,0.39087957,1.0161666,2.968311e-06,25.016293,34.020542,19.678946,0.0,0.0
Cut_original,0.72665703,1.9794438,14.400002,46.50605,21.936754,27.614267,0.328125,72.0
Cuugal_original,1.3358483,3.1462083,25.90625,85.49429,80.552765,63.984436,0.1875,90.0
ESSE_original,5.7319016,10.897354,115.53817,366.8417,287.77066,256.71683,0.5625,662.0
EX大衆_original,1.5861754,4.5814652,26.260601,101.51523,76.015205,67.93035,0.328125,138.0
FINEBOYS_original,1.701348,2.6092827,32.224083,108.88627,78.117714,73.07602,0.5,120.0
FPの教科書_3級,1.3505831,1.8311929,27.084412,86.43732,60.089096,57.870274,0.59375,131.0
G-works_original,0.9925626,1.9662722,14.400002,63.524006,54.53335,44.152454,0.328125,72.0
GIANKILLING_original,0.9064498,1.4060819,12.000004,58.012787,44.577213,38.196667,0.328125,60.0
GIAN_KILLINGoriginal,8.999989,21.513618,115.399994,575.99927,906.4536,532.6176,0.328125,577.0
GINZA_original,0.7816652,1.3376254,16.703903,50.026573,36.449272,34.39325,0.5,95.0
Gファンタジー_original,2.0420518,5.1768885,32.821857,130.69131,101.07902,88.197395,0.421875,165.0
J-Wings_original,1.2191128,2.5095017,20.042816,78.02322,60.043823,52.70329,0.25,105.0
JOOJ_original,5.8125,20.248457,74.4,372.0,537.4863,327.96213,0.078125,372.0
JOUU_ジュール,0.96096903,1.9775252,16.259392,61.502018,31.503681,36.421696,0.234375,83.0
JR時刻表_original,1.2968559,1.9222025,35.496666,82.99878,49.672672,56.05604,0.546875,121.0
JTB_小さな時刻表,2.742913,3.800878,36.800003,175.54643,193.3534,135.23328,0.296875,184.0
JTB時刻表_original,1.6464901,2.5209997,36.39849,105.37537,50.819218,64.19769,0.78125,185.0
KINGダム_original,41.616142,114.30873,564.5946,2663.433,3958.004,2395.344,0.640625,2898.0
Kiss_original,1.2064573,3.8587587,27.57312,77.213264,49.41362,51.400005,0.390625,167.0
LDK_original,2.5607638,4.3972893,57.55667,163.88889,104.576744,108.6741,0.78125,374.0
LEE_original,10.109179,23.163078,154.87225,646.9874,759.05695,520.30554,0.375,779.0
MIX_original,0.34375003,0.6614378,4.4000044,22.000002,21.656342,16.018782,0.21875,22.0
MOE_original,4.0950904,10.312727,64.51012,262.0858,299.7744,208.7901,0.65625,338.0
MONOQLO_monocro,1.5663719,2.371145,35.82654,100.2478,49.98378,62.019375,0.734375,197.0
Myojo_ちっこいMyojo,3.9960296,8.347826,52.465424,255.7459,304.9847,204.39868,0.359375,259.0
NHK_きょうの健康,4.007638,5.3441105,98.82057,256.48883,125.06447,160.12462,0.671875,629.0
NHK_しあわせ気分のフランス語,1.71875,2.484326,31.0,110.0,68.017975,69.67266,0.53125,137.0
NHK_すてきにハンドメイド,3.7059772,5.6649475,91.13583,237.18254,115.981316,148.0999,0.765625,596.0
NHK_ハングル講座書いてマスター！,1.4315032,1.8853996,24.013256,91.6162,46.58632,54.071926,0.25,39.0
NHK_俳句,1.3208592,3.3429344,21.064716,84.53499,36.90297,47.50089,0.46875,140.0
NHK_短歌,0.61750126,1.1939765,9.257972,39.52008,33.85312,27.543724,0.4375,51.0
NHKテキスト_囲碁講座,1.7804048,2.5930996,66.0727,113.94591,48.879738,76.299446,0.1875,18.0
NHKテレビハングルッ！_ナビ,1.7125216,2.5502086,39.631256,109.60138,54.732136,67.98826,0.765625,208.0
NHKテレビ中国語！_ナビ,1.2975318,2.2324138,37.806995,83.04204,43.598972,54.815998,0.484375,150.0
NHKラジオ_まいにちイタリア語,1.7120411,2.9314017,38.988495,109.57063,40.665184,63.074768,0.703125,213.0
NHKラジオ_まいにちスペイン語,1.82722,3.1287308,50.225227,116.94208,54.8753,74.0142,0.515625,199.0
NHKラジオ_まいにちドイツ語,1.4506259,2.2922916,32.000378,92.84006,41.505287,55.448578,0.53125,177.0
NHKラジオ_まいにちハングル講座,1.4928011,2.1592221,35.47554,95.53927,50.90303,60.63928,0.6875,182.0
NHKラジオ_まいにちフランス語,1.4824419,2.1920035,50.29805,94.87628,60.44236,68.5389,0.6875,290.0
NHKラジオ_まいにちロシア語,0.65678465,1.2626507,11.642099,42.034218,26.609613,26.761976,0.4375,67.0
NHKラジオ_まいにち中国語,1.7359139,2.6614463,36.575138,111.09849,54.158356,67.27733,0.671875,299.0
NHKラジオ_エンジョイ・シンプル・イン,1.2427832,1.6639328,25.304108,79.538124,43.279427,49.373886,0.65625,126.0
NHKラジオ_サブノート1日1文！集中ト,1.6580245,2.1156654,42.161453,106.11357,61.870667,70.04856,0.734375,205.0
NYLON_JAPAN,2.599078,8.463388,39.518227,166.34099,209.13817,138.33246,0.375,208.0
N_original,1.4636753,2.092156,31.694454,93.67522,63.408794,62.92616,0.703125,167.0
ONEPIECE_magazine,0.234375,0.5448624,3.0000029,15.0,25.312946,14.43765,0.0,15.0
ONEPIECE_original,105.87424,272.16327,1400.9648,6775.951,11302.5,6493.1387,0.546875,7110.0
OZmagazine_original,1.3017024,1.8532565,27.013454,83.30895,60.090992,56.804462,0.40625,147.0
PASH_original,1.1718552,2.8332477,23.702023,74.99873,32.627777,43.77618,0.265625,92.0
