book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
898ぴきせいぞろい！ポケモン大図鑑_original,1.7690564,2.8068864,32.120495,113.21961,78.437004,74.59237,0.609375,161.0
みんなが選んだアロークロス傑作選_original,1.0278487,2.0304177,19.447308,65.78232,35.24501,40.158215,0.34375,112.0
よふかしのうた_original,0.5309063,0.8240851,5.000001,33.978004,28.390587,22.456198,0.234375,25.0
アロークロスパル_original,1.6764953,3.3589585,33.165592,107.2957,113.60295,84.68808,0.359375,165.0
コロコロイチバン！_original,1.1417094,1.672831,25.844017,73.069405,43.070305,47.32791,0.65625,128.0
シャングリラ・フロンティア_original,9.2189,20.501936,148.10597,590.0096,529.6168,422.57748,0.703125,743.0
ドラゴンクエスト_ダイの大冒険勇,0.5859604,1.0878786,7.600004,37.501465,34.64298,26.581482,0.28125,38.0
プレジデント_original,5.4920545,7.5962586,126.41922,351.4915,194.5065,224.13908,0.671875,623.0
ポケモンずかんドリル_4さいひらがな,0.946712,1.3224907,19.88301,60.58957,32.624126,37.698902,0.734375,105.0
ライトニング_original,1.6317527,2.6878262,28.28147,104.432175,84.03667,72.2501,0.359375,144.0
呪術廻戦_original,197.86887,866.7005,2655.8718,12663.607,15742.722,10354.067,0.65625,14152.0
夜桜さんちの大作戦_original,0.7349045,1.0460551,6.600001,47.03389,69.98042,41.204773,0.40625,33.0
月刊陸上競技_original,1.578139,3.6495993,28.518042,101.00089,82.85913,70.79269,0.203125,124.0
漢字メイトMINI_original,2.5514035,5.5421853,42.07446,163.28983,164.32378,123.22935,0.421875,208.0
英語長文問題集_original,0.65688,1.0419855,10.200002,42.04032,34.253635,28.83132,0.328125,51.0
血界戦線_Beat,0.109375,0.375,1.4000006,7.0,19.61694,9.338981,0.0625,7.0
転換の時代を生き抜く投資の教科書_original,0.44534975,0.7368343,6.200001,28.502384,17.199974,17.300787,0.359375,31.0
青の祓魔師_original,0.546875,1.0825318,7.000005,35.0,94.56495,45.521652,0.109375,35.0
ＭｅｇａｍｉＭＡＧＡＺＩＮＥ_original,1.00769,2.1312625,15.7459955,64.49216,44.027924,41.422024,0.234375,81.0
Ｏｇgi_original,3.8822403,6.69301,68.66073,248.46338,202.32446,173.14954,0.5,400.0
ＱＵＩＣＫＣＵＢＥ_original,0.81313,1.1989642,13.812742,52.04032,27.551754,31.13494,0.546875,61.0
