book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,1.3885759,2.1827483,18.748573,88.86886,67.06072,58.226055,0.546875,79.0
171.T'beau7_original,4.509588,5.27186,64.15866,288.61362,435.2583,262.67685,0.109375,316.0
2024J1_J2J3選手名鑑original,0.069940545,0.1419488,6.8525515,4.476195,8.473392,6.6007133,0.984375,1.0
2024プロ野球オール写真_名鑑,0.047246955,0.048177503,5.3525515,3.0238051,9.331512,5.9026227,1.0,0.0
20代で得た知見_original,0.9450153,1.2373016,33.652855,60.48098,41.486973,45.206936,0.28125,81.0
3分クッキング_original,6.2757096,8.642925,135.89102,401.64542,440.9529,326.16312,0.3125,742.0
47都道府県_女ひとりで行ってみよう,0.6912329,0.82746714,26.617264,44.238907,24.866669,31.907614,0.328125,38.0
52ヘルツのクジラたち_original,1.0898728,1.4106334,30.27435,69.75186,51.221313,50.415844,0.578125,109.0
63.3年卓上日誌_original,4.0345387,5.180511,56.9028,258.21048,389.4171,234.84346,0.171875,278.0
70歳からのスマホの使いこなし術_original,3.6982772,5.2906413,76.342476,236.68974,201.36377,171.46533,0.53125,560.0
80パターン_英語が止まらない！,0.92230755,1.2495779,32.197174,59.027683,43.805485,45.010113,0.375,82.0
87歳現役トレーダーシゲルさんの教え_original,0.55674237,0.6779993,6.395553,35.63151,18.129093,20.052053,0.828125,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.744524,2.5396333,41.373184,111.649536,93.26688,82.096535,0.53125,161.0
AIRLINE_original,1.7139246,2.64957,28.73266,109.69118,119.47742,85.96708,0.265625,128.0
B.L.T._original,1.7234762,2.5891323,29.10643,110.302475,84.686325,74.69841,0.84375,103.0
BE-PAL_original,8.1528635,15.126822,109.579544,521.78326,507.45242,379.60507,0.765625,563.0
BEGIN_original,2.07061,3.0163507,44.98033,132.51904,109.214386,95.57125,0.359375,126.0
CAPA_original,1.6742473,3.0066407,28.51492,107.151825,105.17478,80.28051,0.8125,120.0
CARandDRIVER_original,1.000685,1.7403108,13.724682,64.04384,53.781437,43.849987,0.890625,59.0
CARトップ_original,2.0120292,3.5700932,33.35193,128.76987,113.273056,91.79828,0.859375,147.0
CQハムラジオ_original,1.2545636,1.2550304,5.881818,80.29207,47.75747,44.643787,0.984375,0.0
Cut_original,1.6540487,2.9511015,27.952103,105.859116,92.800026,75.53708,0.921875,72.0
Cuugal_original,1.6255685,3.5450768,31.113758,104.036385,106.28784,80.47933,0.953125,90.0
ESSE_original,6.427638,11.003564,121.57393,411.36884,425.25006,319.3976,0.65625,662.0
EX大衆_original,2.185917,4.7719007,29.998405,139.89868,149.26056,106.38589,0.765625,138.0
FINEBOYS_original,1.997234,2.9032018,29.145441,127.822975,97.54354,84.83732,0.953125,120.0
FPの教科書_3級,1.1133736,1.4813358,28.66713,71.25591,46.665707,48.862915,0.515625,131.0
G-works_original,1.1577153,1.8324956,17.944397,74.09378,61.920933,51.319702,0.828125,72.0
GIANKILLING_original,2.8691983,3.0741003,42.498558,183.6287,152.12125,126.08283,1.0,60.0
GIAN_KILLINGoriginal,9.109003,21.553926,122.55255,582.9762,994.6834,566.73737,0.359375,577.0
GINZA_original,1.4418631,2.1892838,22.31206,92.279236,69.211525,61.26761,0.828125,95.0
Gファンタジー_original,2.65523,5.0071964,40.203804,169.93472,155.0643,121.734276,0.921875,165.0
J-Wings_original,1.6215496,2.901153,22.81315,103.779175,108.07055,78.220955,0.484375,105.0
JOOJ_original,5.905878,20.279575,81.55255,377.9762,658.87366,372.80078,0.78125,372.0
JOUU_ジュール,1.3602883,2.6042454,21.04312,87.05845,86.48802,64.8632,0.828125,83.0
JR時刻表_original,1.680441,1.9726359,66.449036,107.548225,53.513107,75.836784,0.40625,121.0
JTB_小さな時刻表,2.1348305,2.7184708,72.20923,136.62915,85.76399,98.20078,0.5,184.0
JTB時刻表_original,2.0558426,2.8777761,63.412548,131.57393,80.751526,91.91267,0.5625,185.0
KINGダム_original,46.27129,95.86782,696.71265,2961.3625,3254.1538,2304.0764,0.828125,2729.0
Kiss_original,3.155127,6.1820493,45.70578,201.92813,186.65991,144.7646,0.921875,167.0
LDK_original,3.419415,5.1163445,63.293053,218.84256,203.79419,161.97661,0.484375,374.0
LEE_original,10.985083,22.85794,173.83775,703.0453,795.5852,557.48944,0.734375,779.0
MIX_original,0.62774396,0.66714406,22.343243,40.175613,17.117447,26.545435,0.25,22.0
MOE_original,4.5431786,9.95899,83.240814,290.76343,326.89478,233.63301,0.34375,338.0
MONOQLO_monocro,1.9485717,2.7914147,45.91121,124.70859,109.53733,93.38571,0.375,197.0
Myojo_ちっこいMyojo,4.1305523,7.613363,164.42943,264.35535,270.62408,233.13629,0.9375,259.0
NHK_きょうの健康,5.592122,6.718998,206.44897,357.8958,249.3229,271.22256,0.21875,629.0
NHK_しあわせ気分のフランス語,1.7513037,2.495154,37.155334,112.083435,101.789536,83.6761,0.421875,137.0
NHK_すてきにハンドメイド,5.2603397,7.140928,142.60916,336.66174,234.19836,237.82307,0.515625,596.0
NHK_ハングル講座書いてマスター！,1.4668059,1.6660925,68.410736,93.87558,41.352036,67.87945,0.25,39.0
NHK_俳句,2.338532,3.676752,36.383213,149.66605,109.306915,98.45206,0.484375,140.0
NHK_短歌,0.79924464,1.1533293,12.842495,51.151657,31.515,31.836386,0.640625,51.0
NHKテキスト_囲碁講座,1.8401328,1.9193118,82.18623,117.7685,45.795532,81.916756,0.140625,18.0
NHKテレビハングルッ！_ナビ,2.3166208,3.1468396,90.734406,148.26373,90.30271,109.766945,0.40625,208.0
NHKテレビ中国語！_ナビ,2.4414177,3.4622798,54.808,156.25073,123.97791,111.67889,0.5,150.0
NHKラジオ_まいにちイタリア語,2.8427806,4.1137667,68.42233,181.93796,135.93806,128.76611,0.390625,213.0
NHKラジオ_まいにちスペイン語,3.31118,4.4256573,85.01935,211.91553,158.45718,151.79735,0.28125,199.0
NHKラジオ_まいにちドイツ語,2.5180297,3.2677763,68.98083,161.1539,99.67289,109.935875,0.421875,177.0
NHKラジオ_まいにちハングル講座,2.2259698,2.7395155,60.52454,142.46207,79.92114,94.30258,0.484375,182.0
NHKラジオ_まいにちフランス語,3.8272696,5.226246,114.5959,244.94525,168.26144,175.9342,0.3125,290.0
NHKラジオ_まいにちロシア語,1.0512552,1.4864213,29.844921,67.280334,51.76894,49.631397,0.3125,67.0
NHKラジオ_まいにち中国語,4.3248196,5.3982964,131.42502,276.78845,173.8696,194.0277,0.375,299.0
NHKラジオ_エンジョイ・シンプル・イン,2.5976896,2.899767,134.02559,166.25214,62.328842,120.86886,0.28125,126.0
NHKラジオ_サブノート1日1文！集中ト,1.9400656,2.3200622,87.715225,124.1642,56.39824,89.42588,0.46875,205.0
NYLON_JAPAN,3.227941,8.782441,45.13067,206.58823,278.57465,176.76453,0.765625,208.0
N_original,3.9577804,4.2777085,208.53574,253.29794,94.87276,185.5688,0.15625,167.0
